[2017-11-04 06:00:01] Scraping start
[2017-11-04 06:00:01] Connected Elasticsearch server
[2017-11-04 06:00:02] Opened PhantomJS webdriver
[2017-11-04 06:00:07] Complete to bring blogs seed page
[2017-11-04 06:00:08] Complete to move to travel category
[2017-11-04 06:00:09] Complete to move to domestic travel page
[2017-11-04 06:00:09] Start to parse each posts
[2017-11-04 06:00:09] Click the page - 1page
[2017-11-04 06:00:11] Complate to parse - shine092_221132109646
[2017-11-04 06:00:11] Error - Already exists document
[2017-11-04 06:00:11] Complate to parse - grant2_221132061719
[2017-11-04 06:00:11] Error - Already exists document
[2017-11-04 06:00:11] Complate to parse - juco9075_221132110968
[2017-11-04 06:00:11] Error - Already exists document
[2017-11-04 06:00:11] Complate to parse - kpostbank_221131978826
[2017-11-04 06:00:11] Error - Already exists document
[2017-11-04 06:00:11] Complate to parse - hanajuni21_221131983400
[2017-11-04 06:00:11] Error - Already exists document
[2017-11-04 06:00:11] Complate to parse - mmmeii_221131974292
[2017-11-04 06:00:11] Error - Already exists document
[2017-11-04 06:00:12] Complate to parse - sandcastle44_221132203256
[2017-11-04 06:00:12] Error - Already exists document
[2017-11-04 06:00:12] Complate to parse - irisnu_221131936275
[2017-11-04 06:00:12] Error - Already exists document
[2017-11-04 06:00:12] Complate to parse - narulove09_221128200621
[2017-11-04 06:00:12] Error - Already exists document
[2017-11-04 06:00:12] Complate to parse - mh84love_221132093034
[2017-11-04 06:00:12] Error - Already exists document
[2017-11-04 06:00:12] Click the page - 2page
[2017-11-04 06:00:14] Complate to parse - hanam_story_221131938066
[2017-11-04 06:00:14] Error - Already exists document
[2017-11-04 06:00:14] Complate to parse - todaylike_221132064534
[2017-11-04 06:00:14] Error - Already exists document
[2017-11-04 06:00:15] Complate to parse - bluebko_221131957724
[2017-11-04 06:00:15] Error - Already exists document
[2017-11-04 06:00:15] Complate to parse - sksmstls1106_221132048747
[2017-11-04 06:00:15] Error - Already exists document
[2017-11-04 06:00:15] Complate to parse - joolp00_221132035554
[2017-11-04 06:00:15] Error - Already exists document
[2017-11-04 06:00:15] Complate to parse - specialpsk1_221131989274
[2017-11-04 06:00:15] Error - Already exists document
[2017-11-04 06:00:15] Complate to parse - soon09143_221131942330
[2017-11-04 06:00:15] Error - Already exists document
[2017-11-04 06:00:16] Complate to parse - hey_mystyle_221132203985
[2017-11-04 06:00:16] Error - Already exists document
[2017-11-04 06:00:16] Complate to parse - 93jeongdahye_221132170610
[2017-11-04 06:00:16] Error - Already exists document
[2017-11-04 06:00:16] Complate to parse - nstand1_221132016978
[2017-11-04 06:00:16] Error - Already exists document
[2017-11-04 06:00:16] Click the page - 3page
[2017-11-04 06:00:18] Complate to parse - althxodid_221132151113
[2017-11-04 06:00:18] Error - Already exists document
[2017-11-04 06:00:18] Complate to parse - goldenlady73_221132015440
[2017-11-04 06:00:18] Error - Already exists document
[2017-11-04 06:00:18] Complate to parse - jhyang58_221131972884
[2017-11-04 06:00:18] Error - Already exists document
[2017-11-04 06:00:19] Complate to parse - hanbonggi_221131944853
[2017-11-04 06:00:19] Error - Already exists document
[2017-11-04 06:00:19] Complate to parse - skyellow2_221131936095
[2017-11-04 06:00:19] Error - Already exists document
[2017-11-04 06:00:19] Complate to parse - simple_choi_221132111965
[2017-11-04 06:00:19] Error - Already exists document
[2017-11-04 06:00:19] Complate to parse - maycool0728_221132104764
[2017-11-04 06:00:19] Error - Already exists document
[2017-11-04 06:00:19] Complate to parse - b_sang_221132088921
[2017-11-04 06:00:19] Error - Already exists document
[2017-11-04 06:00:19] Complate to parse - kugsun12_221132083371
[2017-11-04 06:00:19] Error - Already exists document
[2017-11-04 06:00:20] Complate to parse - armeise5_221132049039
[2017-11-04 06:00:20] Error - Already exists document
[2017-11-04 06:00:20] Click the page - 4page
[2017-11-04 06:00:22] Complate to parse - suyeon052_221131962699
[2017-11-04 06:00:22] Error - Already exists document
[2017-11-04 06:00:22] Complate to parse - kunmerri_221131952797
[2017-11-04 06:00:22] Error - Already exists document
[2017-11-04 06:00:22] Complate to parse - sun3034sksk_221132128036
[2017-11-04 06:00:22] Error - Already exists document
[2017-11-04 06:00:22] Complate to parse - joye009_221132117892
[2017-11-04 06:00:22] Error - Already exists document
[2017-11-04 06:00:22] Complate to parse - geochanggun_221131635544
[2017-11-04 06:00:22] Error - Already exists document
[2017-11-04 06:00:22] Complate to parse - dreamer_______221131935714
[2017-11-04 06:00:22] Error - Already exists document
[2017-11-04 06:00:23] Complate to parse - cookbad1_221132199435
[2017-11-04 06:00:23] Error - Already exists document
[2017-11-04 06:00:23] Complate to parse - rockyu205_221120442237
[2017-11-04 06:00:23] Error - Already exists document
[2017-11-04 06:00:23] Complate to parse - artexhibit_221132114432
[2017-11-04 06:00:23] Error - Already exists document
[2017-11-04 06:00:23] Complate to parse - nicearra_221132059426
[2017-11-04 06:00:23] Error - Already exists document
[2017-11-04 06:00:23] Click the page - 5page
[2017-11-04 06:00:25] Complate to parse - shslike18_221132020414
[2017-11-04 06:00:25] Error - Already exists document
[2017-11-04 06:00:25] Complate to parse - gridaf_221131959254
[2017-11-04 06:00:25] Error - Already exists document
[2017-11-04 06:00:25] Complate to parse - 2remona2_221132165500
[2017-11-04 06:00:25] Error - Already exists document
[2017-11-04 06:00:26] Complate to parse - gongju7000_221132040224
[2017-11-04 06:00:26] Error - Already exists document
[2017-11-04 06:00:27] Complate to parse - jjworld6_221132035599
[2017-11-04 06:00:27] Error - Already exists document
[2017-11-04 06:00:27] Complate to parse - sekjin1_221132025675
[2017-11-04 06:00:27] Error - Already exists document
[2017-11-04 06:00:27] Complate to parse - 1023cdh_221131962346
[2017-11-04 06:00:27] Error - Already exists document
[2017-11-04 06:00:28] Complate to parse - lechy_221132150828
[2017-11-04 06:00:28] Error - Already exists document
[2017-11-04 06:00:28] Complate to parse - bbibbiana89_221132142662
[2017-11-04 06:00:28] Error - Already exists document
[2017-11-04 06:00:28] Complate to parse - kokage1120_221132136171
[2017-11-04 06:00:28] Error - Already exists document
[2017-11-04 06:00:28] Click the page - 6page
[2017-11-04 06:00:30] Complate to parse - ock811004_221132132339
[2017-11-04 06:00:30] Error - Already exists document
[2017-11-04 06:00:30] Complate to parse - mongniyang_221132116258
[2017-11-04 06:00:30] Error - Already exists document
[2017-11-04 06:00:30] Complate to parse - dct6851_221132098583
[2017-11-04 06:00:30] Error - Already exists document
[2017-11-04 06:00:30] Complate to parse - cyber397_221128927224
[2017-11-04 06:00:30] Error - Already exists document
[2017-11-04 06:00:31] Complate to parse - sueevely_221132087475
[2017-11-04 06:00:31] Error - Already exists document
[2017-11-04 06:00:31] Complate to parse - soda305_221132074315
[2017-11-04 06:00:31] Error - Already exists document
[2017-11-04 06:00:31] Complate to parse - hyerinkang09_221132047289
[2017-11-04 06:00:31] Error - Already exists document
[2017-11-04 06:00:31] Complate to parse - babyyang_k_221131192271
[2017-11-04 06:00:31] Error - Already exists document
[2017-11-04 06:00:31] Complate to parse - 8302yang_221131975585
[2017-11-04 06:00:31] Error - Already exists document
[2017-11-04 06:00:31] Complate to parse - nivearein_221131960809
[2017-11-04 06:00:31] Error - Already exists document
[2017-11-04 06:00:31] Click the page - 7page
[2017-11-04 06:00:33] Complate to parse - chamomile_t_221130246189
[2017-11-04 06:00:33] Error - Already exists document
[2017-11-04 06:00:33] Complate to parse - bnosun_221132085162
[2017-11-04 06:00:33] Error - Already exists document
[2017-11-04 06:00:34] Complate to parse - fbdudqls4441_221132147014
[2017-11-04 06:00:34] Error - Already exists document
[2017-11-04 06:00:34] Complate to parse - rkdfurgkrp_221131980996
[2017-11-04 06:00:34] Error - Already exists document
[2017-11-04 06:00:34] Complate to parse - lcu99_221132108472
[2017-11-04 06:00:34] Error - Already exists document
[2017-11-04 06:00:34] Complate to parse - yamyami01_221132092075
