[2017-11-05 15:00:02] Scraping start
[2017-11-05 15:00:02] Connected Elasticsearch server
[2017-11-05 15:00:03] Opened PhantomJS webdriver
[2017-11-05 15:00:04] Complete to bring blogs seed page
[2017-11-05 15:00:04] Complete to move to travel category
[2017-11-05 15:00:05] Complete to move to domestic travel page
[2017-11-05 15:00:05] Start to parse each posts
[2017-11-05 15:00:05] Click the page - 1page
[2017-11-05 15:00:07] Complate to parse - daichung_221132875039
[2017-11-05 15:00:07] Error - Already exists document
[2017-11-05 15:00:07] Complate to parse - serena914_221132771641
[2017-11-05 15:00:07] Error - Already exists document
[2017-11-05 15:00:07] Complate to parse - austinwine_221132796755
[2017-11-05 15:00:07] Error - Already exists document
[2017-11-05 15:00:07] Complate to parse - jbgokr_221131709640
[2017-11-05 15:00:07] Error - Already exists document
[2017-11-05 15:00:08] Complate to parse - ebbenke_221132804219
[2017-11-05 15:00:08] Error - Already exists document
[2017-11-05 15:00:08] Complate to parse - xhfl1031_221132906243
[2017-11-05 15:00:08] Error - Already exists document
[2017-11-05 15:00:08] Complate to parse - you1620_221132653320
[2017-11-05 15:00:08] Error - Already exists document
[2017-11-05 15:00:08] Complate to parse - rsmvf_221132831524
[2017-11-05 15:00:08] Error - Already exists document
[2017-11-05 15:00:08] Complate to parse - binsuk8_221132697228
[2017-11-05 15:00:08] Error - Already exists document
[2017-11-05 15:00:09] Complate to parse - jykim515_221132822630
[2017-11-05 15:00:09] Error - Already exists document
[2017-11-05 15:00:09] Click the page - 2page
[2017-11-05 15:00:11] Complate to parse - 1978mm_221132871873
[2017-11-05 15:00:11] Error - Already exists document
[2017-11-05 15:00:11] Complate to parse - mongniyang_221132152629
[2017-11-05 15:00:11] Error - Already exists document
[2017-11-05 15:00:11] Complate to parse - jbgokr_221131741713
[2017-11-05 15:00:11] Error - Already exists document
[2017-11-05 15:00:11] Complate to parse - maum0577_221132794539
[2017-11-05 15:00:11] Error - Already exists document
[2017-11-05 15:00:11] Complate to parse - 1006hjy_221124772075
[2017-11-05 15:00:11] Error - Already exists document
[2017-11-05 15:00:11] Complate to parse - gangguri__221132878970
[2017-11-05 15:00:11] Error - Already exists document
[2017-11-05 15:00:12] Complate to parse - sopoongjeju_221132919438
[2017-11-05 15:00:12] Error - Already exists document
[2017-11-05 15:00:12] Complate to parse - junhyuk_abba_221132900916
[2017-11-05 15:00:12] Error - Already exists document
[2017-11-05 15:00:12] Complate to parse - cuti0118_221132873234
[2017-11-05 15:00:12] Error - Already exists document
[2017-11-05 15:00:12] Complate to parse - yllove7979_221132833204
[2017-11-05 15:00:12] Error - Already exists document
[2017-11-05 15:00:12] Click the page - 3page
[2017-11-05 15:00:14] Complate to parse - idioe48_221131086107
[2017-11-05 15:00:14] Error - Already exists document
[2017-11-05 15:00:14] Complate to parse - ichmount_221131671857
[2017-11-05 15:00:14] Error - Already exists document
[2017-11-05 15:00:14] Complate to parse - honguree_221132617120
[2017-11-05 15:00:14] Error - Already exists document
[2017-11-05 15:00:15] Complate to parse - rkdguswjdkhj_221132806068
[2017-11-05 15:00:15] Error - Already exists document
[2017-11-05 15:00:15] Complate to parse - 9594jh_221132804745
[2017-11-05 15:00:15] Error - Already exists document
[2017-11-05 15:00:15] Complate to parse - kby8478_221132095505
[2017-11-05 15:00:15] Error - Already exists document
[2017-11-05 15:00:15] Complate to parse - pinkdk1124_221132915040
[2017-11-05 15:00:15] Error - Already exists document
[2017-11-05 15:00:15] Complate to parse - sh1866_221132556778
[2017-11-05 15:00:15] Error - Already exists document
[2017-11-05 15:00:16] Complate to parse - mss2mking_221132825848
[2017-11-05 15:00:16] Error - Already exists document
[2017-11-05 15:00:16] Complate to parse - forceofwill_221132814135
[2017-11-05 15:00:16] Error - Already exists document
[2017-11-05 15:00:16] Click the page - 4page
[2017-11-05 15:00:18] Complate to parse - h0849_221132813609
[2017-11-05 15:00:18] Error - Already exists document
[2017-11-05 15:00:18] Complate to parse - flskfl88_221132927660
[2017-11-05 15:00:18] Error - Already exists document
[2017-11-05 15:00:18] Complate to parse - lkd8659_221132691729
[2017-11-05 15:00:18] Error - Already exists document
[2017-11-05 15:00:18] Complate to parse - kunby_221132836237
[2017-11-05 15:00:18] Error - Already exists document
[2017-11-05 15:00:19] Complate to parse - rivertour_221132827148
[2017-11-05 15:00:19] Error - Already exists document
[2017-11-05 15:00:19] Complate to parse - spring921_221132916954
[2017-11-05 15:00:19] Error - Already exists document
[2017-11-05 15:00:19] Complate to parse - jhee4_221132870775
[2017-11-05 15:00:19] Error - Already exists document
[2017-11-05 15:00:19] Complate to parse - chflrhf_221132848174
[2017-11-05 15:00:19] Error - Already exists document
[2017-11-05 15:00:19] Complate to parse - yolo_hui_221130300015
[2017-11-05 15:00:19] Error - Already exists document
[2017-11-05 15:00:19] Complate to parse - investmoon_221132081027
[2017-11-05 15:00:19] Error - Already exists document
[2017-11-05 15:00:19] Click the page - 5page
[2017-11-05 15:00:21] Complate to parse - hhocho65_221131423016
[2017-11-05 15:00:21] Error - Already exists document
[2017-11-05 15:00:21] Complate to parse - rkdfurgkrp_221132532746
[2017-11-05 15:00:21] Error - Already exists document
[2017-11-05 15:00:22] Complate to parse - bow_land_221132947604
[2017-11-05 15:00:22] Complate to percolate - bow_land_221132947604
[2017-11-05 15:00:22] Complate to parse - kjheoo_221132898571
[2017-11-05 15:00:22] Error - Already exists document
[2017-11-05 15:00:22] Complate to parse - rkdguswjdkhj_221132811263
[2017-11-05 15:00:22] Error - Already exists document
[2017-11-05 15:00:23] Complate to parse - yosupia_221132826006
[2017-11-05 15:00:23] Error - Already exists document
[2017-11-05 15:00:23] Complate to parse - sandy0464_221132669588
[2017-11-05 15:00:23] Error - Already exists document
[2017-11-05 15:00:23] Complate to parse - 8302yang_221132958577
[2017-11-05 15:00:23] Complate to percolate - 8302yang_221132958577
[2017-11-05 15:00:24] Complate to parse - wkd7425_221132895421
[2017-11-05 15:00:24] Error - Already exists document
[2017-11-05 15:00:24] Complate to parse - lyu1388_221132886225
[2017-11-05 15:00:24] Error - Already exists document
[2017-11-05 15:00:24] Click the page - 6page
[2017-11-05 15:00:26] Complate to parse - dct1028_221132020314
[2017-11-05 15:00:26] Error - Already exists document
[2017-11-05 15:00:26] Complate to parse - maum0577_221132852449
[2017-11-05 15:00:26] Error - Already exists document
[2017-11-05 15:00:26] Complate to parse - iyc21net_221127886486
[2017-11-05 15:00:26] Error - Already exists document
[2017-11-05 15:00:26] Complate to parse - lovely_jung7_221132842605
[2017-11-05 15:00:26] Error - Already exists document
[2017-11-05 15:00:26] Complate to parse - latry_221132627374
[2017-11-05 15:00:26] Error - Already exists document
[2017-11-05 15:00:27] Complate to parse - jongsulim_221131875519
[2017-11-05 15:00:27] Error - Already exists document
[2017-11-05 15:00:27] Complate to parse - springlll8_221116628811
[2017-11-05 15:00:27] Error - Already exists document
[2017-11-05 15:00:27] Complate to parse - colorstory_j_221131821320
[2017-11-05 15:00:27] Error - Already exists document
[2017-11-05 15:00:27] Complate to parse - yeoniess_221132789615
[2017-11-05 15:00:27] Error - Already exists document
[2017-11-05 15:00:27] Complate to parse - poohhoo_221132835523
[2017-11-05 15:00:27] Error - Already exists document
[2017-11-05 15:00:27] Click the page - 7page
[2017-11-05 15:00:29] Complate to parse - cyberbinpol_221132565539
[2017-11-05 15:00:29] Error - Already exists document
[2017-11-05 15:00:29] Complate to parse - pressinfo_221131737509
[2017-11-05 15:00:29] Error - Already exists document
[2017-11-05 15:00:29] Complate to parse - joye009_221132924301
[2017-11-05 15:00:30] Complate to percolate - joye009_221132924301
[2017-11-05 15:00:30] Complate to parse - fastcheonan_221129543570
[2017-11-05 15:00:30] Error - Already exists document
[2017-11-05 15:00:30] Complate to parse - pikellove_221132854758
[2017-11-05 15:00:30] Error - Already exists document
[2017-11-05 15:00:30] Complate to parse - umdh2_221129601528
[2017-11-05 15:00:30] Error - Already exists document
[2017-11-05 15:00:30] Complate to parse - tmddlf_221132852514
[2017-11-05 15:00:30] Error - Already exists document
[2017-11-05 15:00:31] Complate to parse - udud9292_221132657171
[2017-11-05 15:00:31] Error - Already exists document
[2017-11-05 15:00:31] Complate to parse - pky9913_221132841158
[2017-11-05 15:00:31] Error - Already exists document
[2017-11-05 15:00:31] Complate to parse - so01004_221132677651
[2017-11-05 15:00:31] Error - Already exists document
[2017-11-05 15:00:31] Click the page - 8page
[2017-11-05 15:00:33] Complate to parse - hanaworks_221131353737
[2017-11-05 15:00:33] Error - Already exists document
