[2017-11-04 19:00:01] Scraping start
[2017-11-04 19:00:01] Connected Elasticsearch server
[2017-11-04 19:00:02] Opened PhantomJS webdriver
[2017-11-04 19:00:03] Complete to bring blogs seed page
[2017-11-04 19:00:04] Complete to move to travel category
[2017-11-04 19:00:04] Complete to move to domestic travel page
[2017-11-04 19:00:04] Start to parse each posts
[2017-11-04 19:00:04] Click the page - 1page
[2017-11-04 19:00:06] Complate to parse - koreamoringa_221132300803
[2017-11-04 19:00:06] Error - Already exists document
[2017-11-04 19:00:06] Complate to parse - anndam_221132135561
[2017-11-04 19:00:06] Error - Already exists document
[2017-11-04 19:00:06] Complate to parse - 0114977635_221132289202
[2017-11-04 19:00:06] Error - Already exists document
[2017-11-04 19:00:07] Complate to parse - daichung_221132360538
[2017-11-04 19:00:07] Error - Already exists document
[2017-11-04 19:00:07] Complate to parse - turpu_221132270938
[2017-11-04 19:00:07] Error - Already exists document
[2017-11-04 19:00:07] Complate to parse - kji206_221132088765
[2017-11-04 19:00:07] Error - Already exists document
[2017-11-04 19:00:07] Complate to parse - 8302yang_221132263298
[2017-11-04 19:00:07] Error - Already exists document
[2017-11-04 19:00:07] Complate to parse - deux300_221123641532
[2017-11-04 19:00:07] Error - Already exists document
[2017-11-04 19:00:08] Complate to parse - toga33_221129793862
[2017-11-04 19:00:08] Error - Already exists document
[2017-11-04 19:00:08] Complate to parse - kinogirl100_221132318995
[2017-11-04 19:00:08] Error - Already exists document
[2017-11-04 19:00:08] Click the page - 2page
[2017-11-04 19:00:10] Complate to parse - autopeed0050_221131739795
[2017-11-04 19:00:10] Error - Already exists document
[2017-11-04 19:00:10] Complate to parse - babo0547_221132345839
[2017-11-04 19:00:10] Error - Already exists document
[2017-11-04 19:00:10] Complate to parse - ejejucom_221132423375
[2017-11-04 19:00:10] Error - Already exists document
[2017-11-04 19:00:10] Complate to parse - sun751213_221132391060
[2017-11-04 19:00:10] Error - Already exists document
[2017-11-04 19:00:11] Complate to parse - sirenj2813_221132342317
[2017-11-04 19:00:11] Error - Already exists document
[2017-11-04 19:00:11] Complate to parse - jcjkks_221127488959
[2017-11-04 19:00:11] Error - Already exists document
[2017-11-04 19:00:11] Complate to parse - babtol2000_221132295216
[2017-11-04 19:00:11] Error - Already exists document
[2017-11-04 19:00:11] Complate to parse - bolikeme_221131318828
[2017-11-04 19:00:11] Error - Already exists document
[2017-11-04 19:00:11] Complate to parse - sseotaiji_221132255438
[2017-11-04 19:00:11] Error - Already exists document
[2017-11-04 19:00:12] Complate to parse - sky047000_221132254423
[2017-11-04 19:00:12] Error - Already exists document
[2017-11-04 19:00:12] Click the page - 3page
[2017-11-04 19:00:13] Complate to parse - oblove3_221132404420
[2017-11-04 19:00:13] Error - Already exists document
[2017-11-04 19:00:14] Complate to parse - junjuly4_221132365926
[2017-11-04 19:00:14] Error - Already exists document
[2017-11-04 19:00:14] Complate to parse - lovelyhoya07_221132183125
[2017-11-04 19:00:14] Error - Already exists document
[2017-11-04 19:00:14] Complate to parse - ksl1259_221132496864
[2017-11-04 19:00:14] Error - Already exists document
[2017-11-04 19:00:14] Complate to parse - jsn920_221132413601
[2017-11-04 19:00:14] Error - Already exists document
[2017-11-04 19:00:14] Complate to parse - idioe48_221131713781
[2017-11-04 19:00:14] Error - Already exists document
[2017-11-04 19:00:14] Complate to parse - mina860527_221132356748
[2017-11-04 19:00:14] Error - Already exists document
[2017-11-04 19:00:15] Complate to parse - uggang2_221132076136
[2017-11-04 19:00:15] Error - Already exists document
[2017-11-04 19:00:15] Complate to parse - kingcapper_221129417868
[2017-11-04 19:00:15] Error - Already exists document
[2017-11-04 19:00:15] Complate to parse - junhyuk_abba_221132300908
[2017-11-04 19:00:15] Error - Already exists document
[2017-11-04 19:00:15] Click the page - 4page
[2017-11-04 19:00:17] Complate to parse - daesunjujo_221131771698
[2017-11-04 19:00:17] Error - Already exists document
[2017-11-04 19:00:17] Complate to parse - ivory27_221132289554
[2017-11-04 19:00:17] Error - Already exists document
[2017-11-04 19:00:17] Complate to parse - jhgeel_221132278470
[2017-11-04 19:00:17] Error - Already exists document
[2017-11-04 19:00:17] Complate to parse - qhadldhaus98_221132276228
