[2017-11-08 02:00:01] Scraping start
[2017-11-08 02:00:01] Connected Elasticsearch server
[2017-11-08 02:00:02] Opened PhantomJS webdriver
[2017-11-08 02:00:07] Complete to bring blogs seed page
[2017-11-08 02:00:08] Complete to move to travel category
[2017-11-08 02:00:08] Complete to move to domestic travel page
[2017-11-08 02:00:08] Start to parse each posts
[2017-11-08 02:00:08] Click the page - 1page
[2017-11-08 02:00:10] Complate to parse - scpark1214_221134743522
[2017-11-08 02:00:10] Error - Already exists document
[2017-11-08 02:00:10] Complate to parse - qnfjqekqnfjdnj_221134840496
[2017-11-08 02:00:10] Error - Already exists document
[2017-11-08 02:00:10] Complate to parse - pss2317_221134549909
[2017-11-08 02:00:10] Error - Already exists document
[2017-11-08 02:00:11] Complate to parse - oblove3_221134869690
[2017-11-08 02:00:11] Error - Already exists document
[2017-11-08 02:00:11] Complate to parse - coooca_221134535824
[2017-11-08 02:00:11] Error - Already exists document
[2017-11-08 02:00:11] Complate to parse - hwa202_221134502258
[2017-11-08 02:00:11] Error - Already exists document
[2017-11-08 02:00:11] Complate to parse - wjsurdpqhk_221134728907
[2017-11-08 02:00:11] Error - Already exists document
[2017-11-08 02:00:12] Complate to parse - ksb115205_221134649828
[2017-11-08 02:00:12] Error - Already exists document
[2017-11-08 02:00:12] Complate to parse - sopoongjeju_221134631318
[2017-11-08 02:00:12] Error - Already exists document
[2017-11-08 02:00:12] Complate to parse - tazan00009_221134529284
[2017-11-08 02:00:12] Error - Already exists document
[2017-11-08 02:00:12] Click the page - 2page
[2017-11-08 02:00:14] Complate to parse - bling0430_221134552794
[2017-11-08 02:00:14] Error - Already exists document
[2017-11-08 02:00:14] Complate to parse - ybg_baram_221134893090
[2017-11-08 02:00:14] Error - Already exists document
[2017-11-08 02:00:14] Complate to parse - bmcg1_221134754848
[2017-11-08 02:00:14] Error - Already exists document
[2017-11-08 02:00:15] Complate to parse - choikoil_221134750804
[2017-11-08 02:00:15] Error - Already exists document
[2017-11-08 02:00:15] Complate to parse - newgisadan_221134575856
[2017-11-08 02:00:15] Error - Already exists document
[2017-11-08 02:00:15] Complate to parse - aurtkfwkqdl_221134826385
[2017-11-08 02:00:15] Error - Already exists document
[2017-11-08 02:00:15] Complate to parse - hexeph_221134772305
[2017-11-08 02:00:15] Error - Already exists document
[2017-11-08 02:00:15] Complate to parse - lyu1388_221134717700
[2017-11-08 02:00:15] Error - Already exists document
[2017-11-08 02:00:16] Complate to parse - ohho52_221134685334
[2017-11-08 02:00:16] Error - Already exists document
[2017-11-08 02:00:16] Complate to parse - vegemilstory_221134647378
[2017-11-08 02:00:16] Error - Already exists document
[2017-11-08 02:00:16] Click the page - 3page
[2017-11-08 02:00:18] Complate to parse - wnhjeju_221134642846
[2017-11-08 02:00:18] Error - Already exists document
[2017-11-08 02:00:18] Complate to parse - eriogena_221133397575
[2017-11-08 02:00:18] Error - Already exists document
[2017-11-08 02:00:18] Complate to parse - hankookrent_221134523698
[2017-11-08 02:00:18] Error - Already exists document
[2017-11-08 02:00:18] Complate to parse - lovtrout_221134859816
[2017-11-08 02:00:18] Error - Already exists document
[2017-11-08 02:00:19] Complate to parse - jirisan72_221134749251
[2017-11-08 02:00:19] Error - Already exists document
[2017-11-08 02:00:19] Complate to parse - potoi_221134669611
[2017-11-08 02:00:19] Error - Already exists document
[2017-11-08 02:00:19] Complate to parse - hayanee_221134626672
[2017-11-08 02:00:19] Error - Already exists document
[2017-11-08 02:00:19] Complate to parse - capzzang70_221134571888
[2017-11-08 02:00:19] Error - Already exists document
[2017-11-08 02:00:19] Complate to parse - kissi3oy_221134779374
[2017-11-08 02:00:19] Error - Already exists document
[2017-11-08 02:00:20] Complate to parse - cyberbinpol_221134776563
[2017-11-08 02:00:20] Error - Already exists document
[2017-11-08 02:00:20] Click the page - 4page
[2017-11-08 02:00:22] Complate to parse - joon-ri-1215_221134719323
[2017-11-08 02:00:22] Error - Already exists document
[2017-11-08 02:00:22] Complate to parse - bnbmoh_221134657447
[2017-11-08 02:00:22] Error - Already exists document
[2017-11-08 02:00:22] Complate to parse - suncheonsi_221134689948
[2017-11-08 02:00:22] Error - Already exists document
[2017-11-08 02:00:22] Complate to parse - so9122_221134662948
[2017-11-08 02:00:22] Error - Already exists document
[2017-11-08 02:00:22] Complate to parse - mylittlechan_221134656985
[2017-11-08 02:00:22] Error - Already exists document
[2017-11-08 02:00:23] Complate to parse - gndctour_221134603428
[2017-11-08 02:00:23] Error - Already exists document
[2017-11-08 02:00:23] Complate to parse - madecolor_221134563568
[2017-11-08 02:00:23] Error - Already exists document
[2017-11-08 02:00:23] Complate to parse - trueka20_221134914945
[2017-11-08 02:00:23] Error - Already exists document
[2017-11-08 02:00:23] Complate to parse - acura06_221134675109
[2017-11-08 02:00:23] Error - Already exists document
[2017-11-08 02:00:23] Complate to parse - kunby_221134632472
[2017-11-08 02:00:23] Error - Already exists document
[2017-11-08 02:00:23] Click the page - 5page
[2017-11-08 02:00:25] Complate to parse - fbf52_221134605477
[2017-11-08 02:00:25] Error - Already exists document
[2017-11-08 02:00:25] Complate to parse - canvaslab_221134793927
[2017-11-08 02:00:25] Error - Already exists document
[2017-11-08 02:00:26] Complate to parse - nopqda_221134706866
[2017-11-08 02:00:26] Error - Already exists document
[2017-11-08 02:00:26] Complate to parse - armful31_221134590765
[2017-11-08 02:00:26] Error - Already exists document
[2017-11-08 02:00:26] Complate to parse - whiteday8277_221134582191
[2017-11-08 02:00:26] Error - Already exists document
[2017-11-08 02:00:26] Complate to parse - soot3879_221134158309
[2017-11-08 02:00:26] Error - Already exists document
[2017-11-08 02:00:26] Complate to parse - 2_eunjee_221134937709
[2017-11-08 02:00:26] Error - Already exists document
[2017-11-08 02:00:27] Complate to parse - candyra9_221134922238
[2017-11-08 02:00:27] Error - Already exists document
[2017-11-08 02:00:27] Complate to parse - sinymi77_221134918841
[2017-11-08 02:00:27] Complate to percolate - sinymi77_221134918841
[2017-11-08 02:00:27] Complate to parse - ailee06_221134913628
[2017-11-08 02:00:27] Complate to percolate - ailee06_221134913628
[2017-11-08 02:00:27] Click the page - 6page
[2017-11-08 02:00:29] Complate to parse - fbf52_221134605477
[2017-11-08 02:00:29] Error - Already exists document
[2017-11-08 02:00:29] Complate to parse - canvaslab_221134793927
[2017-11-08 02:00:29] Error - Already exists document
[2017-11-08 02:00:30] Complate to parse - nopqda_221134706866
[2017-11-08 02:00:30] Error - Already exists document
[2017-11-08 02:00:30] Complate to parse - armful31_221134590765
[2017-11-08 02:00:30] Error - Already exists document
[2017-11-08 02:00:30] Complate to parse - whiteday8277_221134582191
[2017-11-08 02:00:30] Error - Already exists document
[2017-11-08 02:00:30] Complate to parse - soot3879_221134158309
[2017-11-08 02:00:30] Error - Already exists document
[2017-11-08 02:00:30] Complate to parse - 2_eunjee_221134937709
[2017-11-08 02:00:30] Error - Already exists document
[2017-11-08 02:00:31] Complate to parse - candyra9_221134922238
[2017-11-08 02:00:31] Error - Already exists document
[2017-11-08 02:00:31] Complate to parse - sinymi77_221134918841
[2017-11-08 02:00:31] Error - Already exists document
[2017-11-08 02:00:31] Complate to parse - ailee06_221134913628
[2017-11-08 02:00:31] Error - Already exists document
[2017-11-08 02:00:31] Click the page - 7page
[2017-11-08 02:00:33] Complate to parse - photo8318_221134545099
[2017-11-08 02:00:33] Error - Already exists document
[2017-11-08 02:00:33] Complate to parse - chc3536_221134537394
[2017-11-08 02:00:33] Error - Already exists document
[2017-11-08 02:00:33] Complate to parse - jykim575_221134522850
[2017-11-08 02:00:33] Error - Already exists document
[2017-11-08 02:00:33] Complate to parse - chj6245_221134505586
[2017-11-08 02:00:33] Error - Already exists document
[2017-11-08 02:00:33] Complate to parse - sandcastle44_221134275262
[2017-11-08 02:00:33] Error - Already exists document
[2017-11-08 02:00:34] Complate to parse - aejbaby_221134965258
[2017-11-08 02:00:34] Complate to percolate - aejbaby_221134965258
[2017-11-08 02:00:34] Complate to parse - dailytalk_hy_221134956249
[2017-11-08 02:00:34] Error - Already exists document
[2017-11-08 02:00:34] Complate to parse - natur_herz_221134955234
[2017-11-08 02:00:34] Error - Already exists document
[2017-11-08 02:00:34] Complate to parse - giyoung0901_221134806686
[2017-11-08 02:00:34] Error - Already exists document
[2017-11-08 02:00:35] Complate to parse - jongsulim_221134725949
[2017-11-08 02:00:35] Error - Already exists document
[2017-11-08 02:00:35] Click the page - 8page
[2017-11-08 02:00:36] Complate to parse - gndctour_221134640533
[2017-11-08 02:00:36] Error - Already exists document
[2017-11-08 02:00:37] Complate to parse - jjung8102_221134589043
[2017-11-08 02:00:37] Error - Already exists document
[2017-11-08 02:00:37] Complate to parse - kangchonplay_221134581748
[2017-11-08 02:00:37] Error - Already exists document
[2017-11-08 02:00:37] Complate to parse - the_trip_221134565163
[2017-11-08 02:00:37] Error - Already exists document
[2017-11-08 02:00:37] Complate to parse - gyeonggi_gov_221134539709
[2017-11-08 02:00:37] Error - Already exists document
[2017-11-08 02:00:37] Complate to parse - pcn1970_221134523159
[2017-11-08 02:00:37] Error - Already exists document
[2017-11-08 02:00:37] Complate to parse - hyeon10108_221134860492
[2017-11-08 02:00:37] Error - Already exists document
[2017-11-08 02:00:38] Complate to parse - gy00ny_221134732964
[2017-11-08 02:00:38] Error - Already exists document
[2017-11-08 02:00:38] Complate to parse - joolp00_221134711000
[2017-11-08 02:00:38] Error - Already exists document
[2017-11-08 02:00:38] Complate to parse - bonnylady912_221134696750
[2017-11-08 02:00:38] Error - Already exists document
[2017-11-08 02:00:38] Click the page - 9page
[2017-11-08 02:00:40] Complate to parse - kissi3oy_221134660653
[2017-11-08 02:00:40] Error - Already exists document
[2017-11-08 02:00:40] Complate to parse - nscity_221134585217
[2017-11-08 02:00:40] Error - Already exists document
[2017-11-08 02:00:40] Complate to parse - seon7689_221134094401
[2017-11-08 02:00:40] Error - Already exists document
[2017-11-08 02:00:41] Complate to parse - allylove88_221134623751
[2017-11-08 02:00:41] Error - Already exists document
[2017-11-08 02:00:41] Complate to parse - namdokorea_221134569144
[2017-11-08 02:00:41] Error - Already exists document
[2017-11-08 02:00:41] Complate to parse - lumiere-7_221134521947
[2017-11-08 02:00:41] Error - Already exists document
[2017-11-08 02:00:41] Complate to parse - namhaestorys_221134515227
[2017-11-08 02:00:41] Error - Already exists document
[2017-11-08 02:00:41] Complate to parse - asamade_221134513074
[2017-11-08 02:00:41] Error - Already exists document
[2017-11-08 02:00:42] Complate to parse - salee7908_221134918390
[2017-11-08 02:00:42] Error - Already exists document
