[2017-11-08 09:00:02] Scraping start
[2017-11-08 09:00:02] Connected Elasticsearch server
[2017-11-08 09:00:03] Opened PhantomJS webdriver
[2017-11-08 09:00:04] Complete to bring blogs seed page
[2017-11-08 09:00:04] Complete to move to travel category
[2017-11-08 09:00:05] Complete to move to domestic travel page
[2017-11-08 09:00:05] Start to parse each posts
[2017-11-08 09:00:05] Click the page - 1page
[2017-11-08 09:00:07] Complate to parse - qnfjqekqnfjdnj_221134840496
[2017-11-08 09:00:07] Error - Already exists document
[2017-11-08 09:00:07] Complate to parse - oblove3_221134869690
[2017-11-08 09:00:07] Error - Already exists document
[2017-11-08 09:00:07] Complate to parse - natur_herz_221134955234
[2017-11-08 09:00:07] Error - Already exists document
[2017-11-08 09:00:07] Complate to parse - whdrnr95_221134771425
[2017-11-08 09:00:07] Error - Already exists document
[2017-11-08 09:00:07] Complate to parse - hp0210_221134826251
[2017-11-08 09:00:07] Error - Already exists document
[2017-11-08 09:00:08] Complate to parse - ybg_baram_221134893090
[2017-11-08 09:00:08] Error - Already exists document
[2017-11-08 09:00:08] Complate to parse - kci_kci_221135062205
[2017-11-08 09:00:08] Error - Already exists document
[2017-11-08 09:00:08] Complate to parse - ichmount_221131699932
[2017-11-08 09:00:08] Error - Already exists document
[2017-11-08 09:00:08] Complate to parse - dptmfdl3135_221134984334
[2017-11-08 09:00:08] Error - Already exists document
[2017-11-08 09:00:08] Complate to parse - dailytalk_hy_221134956249
[2017-11-08 09:00:08] Error - Already exists document
[2017-11-08 09:00:08] Click the page - 2page
[2017-11-08 09:00:10] Complate to parse - lovtrout_221134859816
[2017-11-08 09:00:10] Error - Already exists document
[2017-11-08 09:00:10] Complate to parse - songsdang_221134979136
[2017-11-08 09:00:10] Error - Already exists document
[2017-11-08 09:00:11] Complate to parse - trueka20_221134914945
[2017-11-08 09:00:11] Error - Already exists document
[2017-11-08 09:00:11] Complate to parse - consockorea_221134966480
[2017-11-08 09:00:11] Error - Already exists document
[2017-11-08 09:00:11] Complate to parse - maimai20_221133962673
[2017-11-08 09:00:11] Error - Already exists document
[2017-11-08 09:00:11] Complate to parse - goodjcs_221135059561
[2017-11-08 09:00:11] Error - Already exists document
[2017-11-08 09:00:11] Complate to parse - juomsook21_221135011966
[2017-11-08 09:00:11] Error - Already exists document
[2017-11-08 09:00:12] Complate to parse - snslive_221127206021
[2017-11-08 09:00:12] Error - Already exists document
[2017-11-08 09:00:12] Complate to parse - choichokk_221133294178
[2017-11-08 09:00:12] Error - Already exists document
[2017-11-08 09:00:12] Complate to parse - 2_eunjee_221134937709
[2017-11-08 09:00:12] Error - Already exists document
[2017-11-08 09:00:12] Click the page - 3page
[2017-11-08 09:00:14] Complate to parse - chaein9885_221134934487
[2017-11-08 09:00:14] Error - Already exists document
[2017-11-08 09:00:14] Complate to parse - candyra9_221134922238
[2017-11-08 09:00:14] Error - Already exists document
[2017-11-08 09:00:14] Complate to parse - sinymi77_221134918841
[2017-11-08 09:00:14] Error - Already exists document
[2017-11-08 09:00:15] Complate to parse - ailee06_221134913628
[2017-11-08 09:00:15] Error - Already exists document
[2017-11-08 09:00:15] Complate to parse - dahalife_221135006840
[2017-11-08 09:00:15] Error - Already exists document
[2017-11-08 09:00:15] Complate to parse - rayam_221134970170
[2017-11-08 09:00:15] Error - Already exists document
[2017-11-08 09:00:15] Complate to parse - aejbaby_221134965258
[2017-11-08 09:00:15] Error - Already exists document
[2017-11-08 09:00:16] Complate to parse - titicoca_221134953670
[2017-11-08 09:00:16] Error - Already exists document
[2017-11-08 09:00:16] Complate to parse - tofl3107_221134912739
[2017-11-08 09:00:16] Error - Already exists document
[2017-11-08 09:00:16] Complate to parse - rockyu205_221124158432
[2017-11-08 09:00:16] Error - Already exists document
[2017-11-08 09:00:16] Click the page - 4page
[2017-11-08 09:00:18] Complate to parse - emmastar_221134915293
[2017-11-08 09:00:18] Error - Already exists document
[2017-11-08 09:00:18] Complate to parse - hyeon10108_221134860492
[2017-11-08 09:00:18] Error - Already exists document
[2017-11-08 09:00:19] Complate to parse - soon09143_221134832488
[2017-11-08 09:00:19] Complate to percolate - soon09143_221134832488
[2017-11-08 09:00:19] Complate to parse - salee7908_221134918390
[2017-11-08 09:00:19] Error - Already exists document
[2017-11-08 09:00:19] Complate to parse - gongju7000_221134959743
[2017-11-08 09:00:19] Error - Already exists document
[2017-11-08 09:00:19] Complate to parse - woo_planet_221134852609
[2017-11-08 09:00:19] Error - Already exists document
[2017-11-08 09:00:20] Complate to parse - katarina1213_221134949965
[2017-11-08 09:00:20] Error - Already exists document
[2017-11-08 09:00:20] Complate to parse - risapa_221134948072
[2017-11-08 09:00:20] Error - Already exists document
[2017-11-08 09:00:20] Complate to parse - 7lovei_221134938396
