[2017-11-07 10:00:01] Scraping start
[2017-11-07 10:00:01] Connected Elasticsearch server
[2017-11-07 10:00:02] Opened PhantomJS webdriver
[2017-11-07 10:00:03] Complete to bring blogs seed page
[2017-11-07 10:00:03] Complete to move to travel category
[2017-11-07 10:00:04] Complete to move to domestic travel page
[2017-11-07 10:00:04] Start to parse each posts
[2017-11-07 10:00:04] Click the page - 1page
[2017-11-07 10:00:06] Complate to parse - soso7869_221134279713
[2017-11-07 10:00:06] Complate to percolate - soso7869_221134279713
[2017-11-07 10:00:06] Complate to parse - natur_herz_221134043022
[2017-11-07 10:00:06] Error - Already exists document
[2017-11-07 10:00:07] Complate to parse - ddaengule_221133500553
[2017-11-07 10:00:07] Error - Already exists document
[2017-11-07 10:00:07] Complate to parse - suya6904_221133958059
[2017-11-07 10:00:07] Error - Already exists document
[2017-11-07 10:00:07] Complate to parse - kimcoco1_221134276906
[2017-11-07 10:00:08] Complate to percolate - kimcoco1_221134276906
[2017-11-07 10:00:08] Complate to parse - suk4408_221133922012
[2017-11-07 10:00:08] Error - Already exists document
[2017-11-07 10:00:08] Complate to parse - cute_bbotty_221134045019
[2017-11-07 10:00:08] Error - Already exists document
[2017-11-07 10:00:08] Complate to parse - sunny013364_221134149444
[2017-11-07 10:00:08] Error - Already exists document
[2017-11-07 10:00:09] Complate to parse - jhyang58_221134189729
[2017-11-07 10:00:09] Error - Already exists document
[2017-11-07 10:00:09] Complate to parse - potoi_221134176645
[2017-11-07 10:00:09] Error - Already exists document
[2017-11-07 10:00:09] Click the page - 2page
[2017-11-07 10:00:11] Complate to parse - al_satang_221134164477
[2017-11-07 10:00:11] Error - Already exists document
[2017-11-07 10:00:11] Complate to parse - turpu_221134251742
[2017-11-07 10:00:11] Error - Already exists document
[2017-11-07 10:00:11] Complate to parse - kimrg_221134250869
[2017-11-07 10:00:11] Error - Already exists document
[2017-11-07 10:00:12] Complate to parse - zizinara1004_221134248062
[2017-11-07 10:00:12] Error - Already exists document
[2017-11-07 10:00:12] Complate to parse - fingership_221133519384
[2017-11-07 10:00:12] Error - Already exists document
[2017-11-07 10:00:12] Complate to parse - ellwoo_221134228561
[2017-11-07 10:00:12] Error - Already exists document
[2017-11-07 10:00:12] Complate to parse - lastkycool_221133511892
[2017-11-07 10:00:12] Error - Already exists document
[2017-11-07 10:00:13] Complate to parse - lnll1260_221134119410
[2017-11-07 10:00:13] Error - Already exists document
[2017-11-07 10:00:13] Complate to parse - sun751213_221134061654
[2017-11-07 10:00:13] Error - Already exists document
[2017-11-07 10:00:13] Complate to parse - risapa_221134112647
[2017-11-07 10:00:13] Error - Already exists document
[2017-11-07 10:00:13] Click the page - 3page
[2017-11-07 10:00:15] Complate to parse - cruise24_221134096818
[2017-11-07 10:00:15] Error - Already exists document
[2017-11-07 10:00:15] Complate to parse - pjq000_221134091901
[2017-11-07 10:00:15] Error - Already exists document
[2017-11-07 10:00:15] Complate to parse - h100489_221134101377
[2017-11-07 10:00:15] Error - Already exists document
[2017-11-07 10:00:16] Complate to parse - sy900523_221134271366
[2017-11-07 10:00:16] Complate to percolate - sy900523_221134271366
[2017-11-07 10:00:16] Complate to parse - minahongkong_221134134644
[2017-11-07 10:00:16] Error - Already exists document
[2017-11-07 10:00:16] Complate to parse - tjdrud34_221134250829
[2017-11-07 10:00:16] Error - Already exists document
[2017-11-07 10:00:16] Complate to parse - ejin3j_221131352325
[2017-11-07 10:00:16] Error - Already exists document
[2017-11-07 10:00:17] Complate to parse - 8302yang_221134239362
[2017-11-07 10:00:17] Error - Already exists document
[2017-11-07 10:00:17] Complate to parse - 9594jh_221134224078
[2017-11-07 10:00:17] Error - Already exists document
[2017-11-07 10:00:17] Complate to parse - godzilla_r35_221134153381
[2017-11-07 10:00:17] Error - Already exists document
[2017-11-07 10:00:17] Click the page - 4page
[2017-11-07 10:00:19] Complate to parse - kokage1120_221134095046
[2017-11-07 10:00:19] Error - Already exists document
[2017-11-07 10:00:19] Complate to parse - surfergold_221133198793
[2017-11-07 10:00:19] Error - Already exists document
[2017-11-07 10:00:19] Complate to parse - jinju0788_221134040944
[2017-11-07 10:00:19] Error - Already exists document
[2017-11-07 10:00:19] Complate to parse - rgm96x_221133249244
