[2017-11-04 05:00:01] Scraping start
[2017-11-04 05:00:01] Connected Elasticsearch server
[2017-11-04 05:00:02] Opened PhantomJS webdriver
[2017-11-04 05:00:03] Complete to bring blogs seed page
[2017-11-04 05:00:03] Complete to move to travel category
[2017-11-04 05:00:04] Complete to move to domestic travel page
[2017-11-04 05:00:04] Start to parse each posts
[2017-11-04 05:00:04] Click the page - 1page
[2017-11-04 05:00:06] Complate to parse - shine092_221132109646
[2017-11-04 05:00:06] Error - Already exists document
[2017-11-04 05:00:06] Complate to parse - lsy5088_221131893455
[2017-11-04 05:00:06] Error - Already exists document
[2017-11-04 05:00:06] Complate to parse - grant2_221132061719
[2017-11-04 05:00:06] Error - Already exists document
[2017-11-04 05:00:07] Complate to parse - juco9075_221132110968
[2017-11-04 05:00:07] Error - Already exists document
[2017-11-04 05:00:07] Complate to parse - kpostbank_221131978826
[2017-11-04 05:00:07] Error - Already exists document
[2017-11-04 05:00:07] Complate to parse - hanajuni21_221131983400
[2017-11-04 05:00:07] Error - Already exists document
[2017-11-04 05:00:07] Complate to parse - mmmeii_221131974292
[2017-11-04 05:00:07] Error - Already exists document
[2017-11-04 05:00:07] Complate to parse - youmcholong_221131920080
[2017-11-04 05:00:07] Error - Already exists document
[2017-11-04 05:00:08] Complate to parse - eriogena_221131166804
[2017-11-04 05:00:08] Error - Already exists document
[2017-11-04 05:00:08] Complate to parse - irisnu_221131936275
[2017-11-04 05:00:08] Error - Already exists document
[2017-11-04 05:00:08] Click the page - 2page
[2017-11-04 05:00:10] Complate to parse - narulove09_221128200621
[2017-11-04 05:00:10] Error - Already exists document
[2017-11-04 05:00:10] Complate to parse - mh84love_221132093034
[2017-11-04 05:00:10] Error - Already exists document
[2017-11-04 05:00:10] Complate to parse - hanam_story_221131938066
[2017-11-04 05:00:10] Error - Already exists document
[2017-11-04 05:00:10] Complate to parse - fill121_221131901074
[2017-11-04 05:00:10] Error - Already exists document
[2017-11-04 05:00:10] Complate to parse - todaylike_221132064534
[2017-11-04 05:00:10] Error - Already exists document
[2017-11-04 05:00:11] Complate to parse - bluebko_221131957724
[2017-11-04 05:00:11] Error - Already exists document
[2017-11-04 05:00:11] Complate to parse - gndctour_221131921037
[2017-11-04 05:00:11] Error - Already exists document
[2017-11-04 05:00:11] Complate to parse - roye79_221131896898
[2017-11-04 05:00:11] Error - Already exists document
[2017-11-04 05:00:11] Complate to parse - kimbestone_221131888018
[2017-11-04 05:00:11] Error - Already exists document
[2017-11-04 05:00:11] Complate to parse - sksmstls1106_221132048747
[2017-11-04 05:00:11] Error - Already exists document
[2017-11-04 05:00:11] Click the page - 3page
[2017-11-04 05:00:13] Complate to parse - joolp00_221132035554
[2017-11-04 05:00:13] Error - Already exists document
[2017-11-04 05:00:13] Complate to parse - specialpsk1_221131989274
[2017-11-04 05:00:13] Error - Already exists document
[2017-11-04 05:00:14] Complate to parse - soon09143_221131942330
[2017-11-04 05:00:14] Error - Already exists document
[2017-11-04 05:00:14] Complate to parse - dlaehdgkspro_221131904110
[2017-11-04 05:00:14] Error - Already exists document
