[2017-11-08 13:00:01] Scraping start
[2017-11-08 13:00:01] Connected Elasticsearch server
[2017-11-08 13:00:02] Opened PhantomJS webdriver
[2017-11-08 13:00:03] Complete to bring blogs seed page
[2017-11-08 13:00:04] Complete to move to travel category
[2017-11-08 13:00:04] Complete to move to domestic travel page
[2017-11-08 13:00:04] Start to parse each posts
[2017-11-08 13:00:04] Click the page - 1page
[2017-11-08 13:00:06] Complate to parse - shillajeju__221134711242
[2017-11-08 13:00:06] Error - Already exists document
[2017-11-08 13:00:06] Complate to parse - daichung_221135202626
[2017-11-08 13:00:06] Complate to percolate - daichung_221135202626
[2017-11-08 13:00:07] Complate to parse - jcjkks_221127464372
[2017-11-08 13:00:07] Error - Already exists document
[2017-11-08 13:00:07] Complate to parse - jsj5564_221135101013
[2017-11-08 13:00:07] Error - Already exists document
[2017-11-08 13:00:07] Complate to parse - 8302yang_221135081513
[2017-11-08 13:00:07] Error - Already exists document
[2017-11-08 13:00:07] Complate to parse - kkongi3028_221134827471
[2017-11-08 13:00:07] Error - Already exists document
[2017-11-08 13:00:08] Complate to parse - cyc0913_221133936579
[2017-11-08 13:00:08] Error - Already exists document
[2017-11-08 13:00:08] Complate to parse - whdrnr95_221134771425
[2017-11-08 13:00:08] Error - Already exists document
[2017-11-08 13:00:08] Complate to parse - hp0210_221134826251
[2017-11-08 13:00:08] Error - Already exists document
[2017-11-08 13:00:08] Complate to parse - byun07_221135156492
[2017-11-08 13:00:08] Error - Already exists document
[2017-11-08 13:00:08] Click the page - 2page
[2017-11-08 13:00:10] Complate to parse - suhochung_221134164849
[2017-11-08 13:00:10] Error - Already exists document
[2017-11-08 13:00:10] Complate to parse - dewdoll_221135156838
[2017-11-08 13:00:10] Error - Already exists document
[2017-11-08 13:00:11] Complate to parse - ddawndew_221135022856
[2017-11-08 13:00:11] Error - Already exists document
[2017-11-08 13:00:11] Complate to parse - yejee0620_221135025672
[2017-11-08 13:00:11] Error - Already exists document
[2017-11-08 13:00:11] Complate to parse - youknow0203_221135217189
[2017-11-08 13:00:11] Complate to percolate - youknow0203_221135217189
[2017-11-08 13:00:11] Complate to parse - jejulovetour_221135208899
[2017-11-08 13:00:12] Complate to percolate - jejulovetour_221135208899
[2017-11-08 13:00:12] Complate to parse - eriogena_221135071726
[2017-11-08 13:00:12] Complate to percolate - eriogena_221135071726
[2017-11-08 13:00:12] Complate to parse - mongniyang_221134963520
[2017-11-08 13:00:12] Error - Already exists document
[2017-11-08 13:00:13] Complate to parse - jhgeel_221134089111
[2017-11-08 13:00:13] Error - Already exists document
[2017-11-08 13:00:13] Complate to parse - nailstan_221134115678
[2017-11-08 13:00:13] Error - Already exists document
[2017-11-08 13:00:13] Click the page - 3page
[2017-11-08 13:00:15] Complate to parse - jtowelcome_221135097117
[2017-11-08 13:00:15] Error - Already exists document
[2017-11-08 13:00:15] Complate to parse - turpu_221135078341
[2017-11-08 13:00:15] Error - Already exists document
[2017-11-08 13:00:15] Complate to parse - top4228_221132087560
[2017-11-08 13:00:15] Error - Already exists document
