[2017-11-05 05:00:01] Scraping start
[2017-11-05 05:00:01] Connected Elasticsearch server
[2017-11-05 05:00:02] Opened PhantomJS webdriver
[2017-11-05 05:00:08] Complete to bring blogs seed page
[2017-11-05 05:00:08] Complete to move to travel category
[2017-11-05 05:00:09] Complete to move to domestic travel page
[2017-11-05 05:00:09] Start to parse each posts
[2017-11-05 05:00:09] Click the page - 1page
[2017-11-05 05:00:10] Complate to parse - ey6202_221132715211
[2017-11-05 05:00:10] Error - Already exists document
[2017-11-05 05:00:11] Complate to parse - maum0577_221132671800
[2017-11-05 05:00:11] Error - Already exists document
[2017-11-05 05:00:11] Complate to parse - tazan00009_221132578554
[2017-11-05 05:00:11] Error - Already exists document
[2017-11-05 05:00:11] Complate to parse - forceofwill_221132542846
[2017-11-05 05:00:11] Error - Already exists document
[2017-11-05 05:00:11] Complate to parse - goldsunriver_221132724341
[2017-11-05 05:00:11] Error - Already exists document
[2017-11-05 05:00:12] Complate to parse - z9205_221132670547
[2017-11-05 05:00:12] Error - Already exists document
[2017-11-05 05:00:12] Complate to parse - lifeofbliss_221132651127
[2017-11-05 05:00:12] Error - Already exists document
[2017-11-05 05:00:12] Complate to parse - green2house_221132613799
[2017-11-05 05:00:12] Error - Already exists document
[2017-11-05 05:00:12] Complate to parse - vitamintrees_221132567621
[2017-11-05 05:00:12] Error - Already exists document
[2017-11-05 05:00:12] Complate to parse - jandb86_221132516683
[2017-11-05 05:00:12] Error - Already exists document
[2017-11-05 05:00:12] Click the page - 2page
[2017-11-05 05:00:14] Complate to parse - shyran0104_221132659305
[2017-11-05 05:00:14] Error - Already exists document
[2017-11-05 05:00:14] Complate to parse - titicoca_221132623899
[2017-11-05 05:00:14] Error - Already exists document
[2017-11-05 05:00:15] Complate to parse - hini0609_221132617190
[2017-11-05 05:00:15] Error - Already exists document
[2017-11-05 05:00:15] Complate to parse - bbobbo790_221132627169
[2017-11-05 05:00:15] Error - Already exists document
[2017-11-05 05:00:15] Complate to parse - hankookceo_221132498161
[2017-11-05 05:00:15] Error - Already exists document
[2017-11-05 05:00:15] Complate to parse - byun07_221132592458
[2017-11-05 05:00:15] Error - Already exists document
[2017-11-05 05:00:15] Complate to parse - todaylike_221132728885
[2017-11-05 05:00:15] Error - Already exists document
[2017-11-05 05:00:16] Complate to parse - reeyoung82_221132738912
[2017-11-05 05:00:16] Error - Already exists document
[2017-11-05 05:00:16] Complate to parse - mt653_221132652562
[2017-11-05 05:00:16] Error - Already exists document
[2017-11-05 05:00:16] Complate to parse - namdokorea_221132647314
[2017-11-05 05:00:16] Error - Already exists document
[2017-11-05 05:00:16] Click the page - 3page
[2017-11-05 05:00:18] Complate to parse - you1620_221132629164
[2017-11-05 05:00:18] Error - Already exists document
[2017-11-05 05:00:18] Complate to parse - z9205_221132549463
[2017-11-05 05:00:18] Error - Already exists document
[2017-11-05 05:00:18] Complate to parse - wkd7425_221132543027
[2017-11-05 05:00:18] Error - Already exists document
[2017-11-05 05:00:18] Complate to parse - sake1503_221132061763
[2017-11-05 05:00:18] Error - Already exists document
[2017-11-05 05:00:18] Complate to parse - redpudding_221132753432
[2017-11-05 05:00:18] Error - Already exists document
[2017-11-05 05:00:19] Complate to parse - bnbmoh_221132644818
[2017-11-05 05:00:19] Error - Already exists document
[2017-11-05 05:00:19] Complate to parse - hyerinkang09_221132592764
[2017-11-05 05:00:19] Error - Already exists document
[2017-11-05 05:00:19] Complate to parse - jsj5564_221132558618
[2017-11-05 05:00:19] Error - Already exists document
[2017-11-05 05:00:19] Complate to parse - s2sue_221132642560
[2017-11-05 05:00:19] Error - Already exists document
[2017-11-05 05:00:19] Complate to parse - kwpjulie_221132603058
[2017-11-05 05:00:19] Error - Already exists document
[2017-11-05 05:00:19] Click the page - 4page
[2017-11-05 05:00:21] Complate to parse - aroma1004kr_221132593869
[2017-11-05 05:00:21] Error - Already exists document
[2017-11-05 05:00:21] Complate to parse - nalago12_221132593655
[2017-11-05 05:00:21] Error - Already exists document
[2017-11-05 05:00:22] Complate to parse - ii6087ii_221132698337
[2017-11-05 05:00:22] Error - Already exists document
[2017-11-05 05:00:22] Complate to parse - erumyang_221132648170
[2017-11-05 05:00:22] Error - Already exists document
[2017-11-05 05:00:22] Complate to parse - thsxhq48_221132622423
[2017-11-05 05:00:22] Error - Already exists document
[2017-11-05 05:00:22] Complate to parse - kunby_221132585634
[2017-11-05 05:00:22] Error - Already exists document
[2017-11-05 05:00:22] Complate to parse - kingdomofgod0691_221132555045
[2017-11-05 05:00:22] Error - Already exists document
[2017-11-05 05:00:23] Complate to parse - miryangsi_221122786727
[2017-11-05 05:00:23] Error - Already exists document
[2017-11-05 05:00:23] Complate to parse - foxray03_221132584519
[2017-11-05 05:00:23] Error - Already exists document
[2017-11-05 05:00:23] Complate to parse - jmj5385_221132565329
[2017-11-05 05:00:23] Error - Already exists document
[2017-11-05 05:00:23] Click the page - 5page
[2017-11-05 05:00:25] Complate to parse - maisonsondemul_221132558194
[2017-11-05 05:00:25] Error - Already exists document
[2017-11-05 05:00:25] Complate to parse - healthgoodlu_221132024643
[2017-11-05 05:00:25] Error - Already exists document
[2017-11-05 05:00:25] Complate to parse - 1429son_221132777286
[2017-11-05 05:00:25] Error - Already exists document
[2017-11-05 05:00:26] Complate to parse - momomo1q2w_221132752812
[2017-11-05 05:00:26] Error - Already exists document
[2017-11-05 05:00:26] Complate to parse - 2_eunjee_221132714107
[2017-11-05 05:00:26] Error - Already exists document
[2017-11-05 05:00:26] Complate to parse - rizmina85_221132713001
[2017-11-05 05:00:26] Error - Already exists document
[2017-11-05 05:00:26] Complate to parse - suk4408_221132690436
[2017-11-05 05:00:26] Error - Already exists document
[2017-11-05 05:00:26] Complate to parse - yetigo_221132571996
[2017-11-05 05:00:26] Error - Already exists document
[2017-11-05 05:00:27] Complate to parse - kjia76_221132548551
[2017-11-05 05:00:27] Error - Already exists document
[2017-11-05 05:00:27] Complate to parse - meekblue_221132546346
[2017-11-05 05:00:27] Error - Already exists document
[2017-11-05 05:00:27] Click the page - 6page
[2017-11-05 05:00:29] Complate to parse - nastevia_221132525015
[2017-11-05 05:00:29] Error - Already exists document
[2017-11-05 05:00:29] Complate to parse - romantoia_221132524527
[2017-11-05 05:00:29] Error - Already exists document
[2017-11-05 05:00:29] Complate to parse - ka8564_221132515684
[2017-11-05 05:00:29] Error - Already exists document
[2017-11-05 05:00:29] Complate to parse - warmspeech3_221132767448
[2017-11-05 05:00:29] Error - Already exists document
[2017-11-05 05:00:29] Complate to parse - zizinara1004_221132731334
[2017-11-05 05:00:29] Error - Already exists document
[2017-11-05 05:00:30] Complate to parse - mouche007_221132712293
[2017-11-05 05:00:30] Error - Already exists document
[2017-11-05 05:00:30] Complate to parse - dirch10_221132687446
[2017-11-05 05:00:30] Error - Already exists document
[2017-11-05 05:00:30] Complate to parse - jjjjjung_e_221132684989
[2017-11-05 05:00:30] Error - Already exists document
[2017-11-05 05:00:30] Complate to parse - mystyle0504_221132652413
[2017-11-05 05:00:30] Error - Already exists document
[2017-11-05 05:00:30] Complate to parse - hong0691_221132631846
[2017-11-05 05:00:30] Error - Already exists document
[2017-11-05 05:00:30] Click the page - 7page
[2017-11-05 05:00:32] Complate to parse - dahalife_221132593134
[2017-11-05 05:00:32] Error - Already exists document
[2017-11-05 05:00:33] Complate to parse - cybertoplee_221132540411
[2017-11-05 05:00:33] Error - Already exists document
[2017-11-05 05:00:33] Complate to parse - foryouwi_221132504854
[2017-11-05 05:00:33] Error - Already exists document
[2017-11-05 05:00:33] Complate to parse - 30364_221132760071
[2017-11-05 05:00:33] Error - Already exists document
[2017-11-05 05:00:33] Complate to parse - lkd8659_221132659932
[2017-11-05 05:00:33] Error - Already exists document
[2017-11-05 05:00:33] Complate to parse - hyoung4647_221132161313
[2017-11-05 05:00:33] Error - Already exists document
[2017-11-05 05:00:34] Complate to parse - tnwlsdl702_221132646668
[2017-11-05 05:00:34] Error - Already exists document
[2017-11-05 05:00:34] Complate to parse - consl_221132618801
[2017-11-05 05:00:34] Error - Already exists document
[2017-11-05 05:00:34] Complate to parse - junjuly4_221132612061
[2017-11-05 05:00:34] Error - Already exists document
[2017-11-05 05:00:34] Complate to parse - hakppp_221132606141
[2017-11-05 05:00:34] Error - Already exists document
[2017-11-05 05:00:34] Click the page - 8page
[2017-11-05 05:00:36] Complate to parse - belkara_221132594687
[2017-11-05 05:00:36] Error - Already exists document
[2017-11-05 05:00:36] Complate to parse - sanaella_221132015209
[2017-11-05 05:00:36] Error - Already exists document
[2017-11-05 05:00:36] Complate to parse - dbrud8829_221132548113
[2017-11-05 05:00:36] Error - Already exists document
[2017-11-05 05:00:37] Complate to parse - neowolf777_221132775044
[2017-11-05 05:00:37] Error - Already exists document
[2017-11-05 05:00:37] Complate to parse - inmagoong_221132766675
[2017-11-05 05:00:37] Error - Already exists document
[2017-11-05 05:00:37] Complate to parse - jeju_blue_221132755828
[2017-11-05 05:00:37] Error - Already exists document
[2017-11-05 05:00:37] Complate to parse - areum673_221132729053
[2017-11-05 05:00:37] Error - Already exists document
[2017-11-05 05:00:37] Complate to parse - gkadudtkfkd_221132689156
[2017-11-05 05:00:37] Error - Already exists document
[2017-11-05 05:00:38] Complate to parse - mek0504_221132656447
[2017-11-05 05:00:38] Error - Already exists document
[2017-11-05 05:00:38] Complate to parse - yaeeun0301_221132532681
[2017-11-05 05:00:38] Error - Already exists document
[2017-11-05 05:00:38] Click the page - 9page
[2017-11-05 05:00:40] Complate to parse - lyw9923_221132531925
[2017-11-05 05:00:40] Error - Already exists document
[2017-11-05 05:00:40] Complate to parse - jeju3377_221132719183
[2017-11-05 05:00:40] Error - Already exists document
[2017-11-05 05:00:40] Complate to parse - myssosso_221132710585
[2017-11-05 05:00:40] Error - Already exists document
[2017-11-05 05:00:40] Complate to parse - ssosso6406_221132685681
[2017-11-05 05:00:40] Error - Already exists document
[2017-11-05 05:00:40] Complate to parse - zzangkr19_221132659525
[2017-11-05 05:00:40] Error - Already exists document
[2017-11-05 05:00:41] Complate to parse - shensubin_221132591139
[2017-11-05 05:00:41] Error - Already exists document
[2017-11-05 05:00:41] Complate to parse - floral_pic_221132580456
[2017-11-05 05:00:41] Error - Already exists document
