[2017-11-04 20:00:02] Scraping start
[2017-11-04 20:00:02] Connected Elasticsearch server
[2017-11-04 20:00:03] Opened PhantomJS webdriver
[2017-11-04 20:00:04] Complete to bring blogs seed page
[2017-11-04 20:00:05] Complete to move to travel category
[2017-11-04 20:00:05] Complete to move to domestic travel page
[2017-11-04 20:00:05] Start to parse each posts
[2017-11-04 20:00:05] Click the page - 1page
[2017-11-04 20:00:07] Complate to parse - koreamoringa_221132300803
[2017-11-04 20:00:07] Error - Already exists document
[2017-11-04 20:00:07] Complate to parse - anndam_221132135561
[2017-11-04 20:00:07] Error - Already exists document
[2017-11-04 20:00:07] Complate to parse - 0114977635_221132289202
[2017-11-04 20:00:07] Error - Already exists document
[2017-11-04 20:00:08] Complate to parse - daichung_221132360538
[2017-11-04 20:00:08] Error - Already exists document
[2017-11-04 20:00:08] Complate to parse - turpu_221132270938
[2017-11-04 20:00:08] Error - Already exists document
[2017-11-04 20:00:08] Complate to parse - kji206_221132088765
[2017-11-04 20:00:08] Error - Already exists document
[2017-11-04 20:00:08] Complate to parse - 8302yang_221132263298
[2017-11-04 20:00:08] Error - Already exists document
[2017-11-04 20:00:08] Complate to parse - deux300_221123641532
[2017-11-04 20:00:08] Error - Already exists document
[2017-11-04 20:00:09] Complate to parse - toga33_221129793862
[2017-11-04 20:00:09] Error - Already exists document
[2017-11-04 20:00:09] Complate to parse - kinogirl100_221132318995
[2017-11-04 20:00:09] Error - Already exists document
[2017-11-04 20:00:09] Click the page - 2page
[2017-11-04 20:00:11] Complate to parse - autopeed0050_221131739795
[2017-11-04 20:00:11] Error - Already exists document
[2017-11-04 20:00:11] Complate to parse - babo0547_221132345839
[2017-11-04 20:00:11] Error - Already exists document
[2017-11-04 20:00:11] Complate to parse - coooca_221132496622
[2017-11-04 20:00:11] Error - Already exists document
[2017-11-04 20:00:11] Complate to parse - ejejucom_221132423375
[2017-11-04 20:00:11] Error - Already exists document
[2017-11-04 20:00:12] Complate to parse - sun751213_221132391060
[2017-11-04 20:00:12] Error - Already exists document
[2017-11-04 20:00:12] Complate to parse - sirenj2813_221132342317
[2017-11-04 20:00:12] Error - Already exists document
[2017-11-04 20:00:12] Complate to parse - jcjkks_221127488959
[2017-11-04 20:00:12] Error - Already exists document
[2017-11-04 20:00:12] Complate to parse - babtol2000_221132295216
[2017-11-04 20:00:12] Error - Already exists document
[2017-11-04 20:00:12] Complate to parse - bolikeme_221131318828
[2017-11-04 20:00:12] Error - Already exists document
[2017-11-04 20:00:13] Complate to parse - oblove3_221132404420
[2017-11-04 20:00:13] Error - Already exists document
[2017-11-04 20:00:13] Click the page - 3page
[2017-11-04 20:00:14] Complate to parse - junjuly4_221132365926
[2017-11-04 20:00:14] Error - Already exists document
[2017-11-04 20:00:15] Complate to parse - lovelyhoya07_221132183125
[2017-11-04 20:00:15] Error - Already exists document
[2017-11-04 20:00:15] Complate to parse - ksl1259_221132496864
[2017-11-04 20:00:15] Error - Already exists document
[2017-11-04 20:00:15] Complate to parse - jsn920_221132413601
[2017-11-04 20:00:15] Error - Already exists document
[2017-11-04 20:00:15] Complate to parse - idioe48_221131713781
[2017-11-04 20:00:15] Error - Already exists document
[2017-11-04 20:00:15] Complate to parse - mina860527_221132356748
[2017-11-04 20:00:15] Error - Already exists document
[2017-11-04 20:00:16] Complate to parse - uggang2_221132076136
[2017-11-04 20:00:16] Error - Already exists document
[2017-11-04 20:00:16] Complate to parse - kingcapper_221129417868
[2017-11-04 20:00:16] Error - Already exists document
[2017-11-04 20:00:16] Complate to parse - junhyuk_abba_221132300908
[2017-11-04 20:00:16] Error - Already exists document
[2017-11-04 20:00:16] Complate to parse - daesunjujo_221131771698
[2017-11-04 20:00:16] Error - Already exists document
[2017-11-04 20:00:16] Click the page - 4page
[2017-11-04 20:00:18] Complate to parse - ivory27_221132289554
[2017-11-04 20:00:18] Error - Already exists document
[2017-11-04 20:00:18] Complate to parse - jhgeel_221132278470
[2017-11-04 20:00:18] Error - Already exists document
[2017-11-04 20:00:18] Complate to parse - qhadldhaus98_221132276228
[2017-11-04 20:00:18] Error - Already exists document
[2017-11-04 20:00:18] Complate to parse - suheeryu_221119236111
[2017-11-04 20:00:18] Error - Already exists document
[2017-11-04 20:00:19] Complate to parse - ttpp2002_221131019130
[2017-11-04 20:00:19] Error - Already exists document
[2017-11-04 20:00:19] Complate to parse - lol_awesome_221132000362
[2017-11-04 20:00:19] Error - Already exists document
[2017-11-04 20:00:19] Complate to parse - tastydish_221132261113
[2017-11-04 20:00:19] Error - Already exists document
[2017-11-04 20:00:19] Complate to parse - forceofwill_221132542846
[2017-11-04 20:00:20] Complate to percolate - forceofwill_221132542846
[2017-11-04 20:00:20] Complate to parse - dct1028_221132047403
[2017-11-04 20:00:20] Error - Already exists document
[2017-11-04 20:00:20] Complate to parse - mss2mking_221132400272
[2017-11-04 20:00:20] Error - Already exists document
[2017-11-04 20:00:20] Click the page - 5page
[2017-11-04 20:00:22] Complate to parse - dqtwdqtw_221132319508
[2017-11-04 20:00:22] Error - Already exists document
[2017-11-04 20:00:22] Complate to parse - jina0676_221132179881
[2017-11-04 20:00:22] Error - Already exists document
[2017-11-04 20:00:22] Complate to parse - dingdong1233_221132307059
[2017-11-04 20:00:22] Error - Already exists document
[2017-11-04 20:00:22] Complate to parse - howl0113_221132291146
[2017-11-04 20:00:22] Error - Already exists document
[2017-11-04 20:00:23] Complate to parse - hwangyul9178_221130594806
[2017-11-04 20:00:23] Error - Already exists document
[2017-11-04 20:00:23] Complate to parse - lyu1388_221131214058
[2017-11-04 20:00:23] Error - Already exists document
[2017-11-04 20:00:23] Complate to parse - tjfcnzkcnzk_221131347013
[2017-11-04 20:00:23] Error - Already exists document
[2017-11-04 20:00:23] Complate to parse - jandb86_221132516683
[2017-11-04 20:00:23] Error - Already exists document
[2017-11-04 20:00:24] Complate to parse - ehyeone_221132447102
[2017-11-04 20:00:24] Error - Already exists document
[2017-11-04 20:00:24] Complate to parse - cyberbinpol_221132424159
[2017-11-04 20:00:24] Error - Already exists document
[2017-11-04 20:00:24] Click the page - 6page
[2017-11-04 20:00:26] Complate to parse - namhaestorys_221132415685
[2017-11-04 20:00:26] Error - Already exists document
[2017-11-04 20:00:26] Complate to parse - dongtwo_221132383643
[2017-11-04 20:00:26] Error - Already exists document
[2017-11-04 20:00:26] Complate to parse - sjmcdib1_221132292890
[2017-11-04 20:00:26] Error - Already exists document
[2017-11-04 20:00:26] Complate to parse - namhaestorys_221132270932
[2017-11-04 20:00:26] Error - Already exists document
[2017-11-04 20:00:26] Complate to parse - bk85219_221129736180
[2017-11-04 20:00:26] Error - Already exists document
[2017-11-04 20:00:27] Complate to parse - agant5548_221132161439
[2017-11-04 20:00:27] Error - Already exists document
[2017-11-04 20:00:27] Complate to parse - dropy_221132327234
[2017-11-04 20:00:27] Error - Already exists document
[2017-11-04 20:00:27] Complate to parse - yko53_221132248498
[2017-11-04 20:00:27] Error - Already exists document
[2017-11-04 20:00:27] Complate to parse - hhocho65_221131410506
[2017-11-04 20:00:27] Error - Already exists document
[2017-11-04 20:00:27] Complate to parse - hankookceo_221132498161
[2017-11-04 20:00:27] Error - Already exists document
[2017-11-04 20:00:27] Click the page - 7page
[2017-11-04 20:00:29] Complate to parse - skykicha_221132497326
[2017-11-04 20:00:29] Error - Already exists document
[2017-11-04 20:00:29] Complate to parse - jandb86_221132413905
[2017-11-04 20:00:29] Error - Already exists document
[2017-11-04 20:00:29] Complate to parse - kcgcg92_221131377528
[2017-11-04 20:00:29] Error - Already exists document
[2017-11-04 20:00:30] Complate to parse - blis2s2_221129417607
[2017-11-04 20:00:30] Error - Already exists document
[2017-11-04 20:00:30] Complate to parse - jhyang58_221132320324
[2017-11-04 20:00:30] Error - Already exists document
[2017-11-04 20:00:30] Complate to parse - naemoya_221132318740
[2017-11-04 20:00:30] Error - Already exists document
[2017-11-04 20:00:30] Complate to parse - dental3838_221132304840
[2017-11-04 20:00:30] Error - Already exists document
[2017-11-04 20:00:31] Complate to parse - so_happy_sb_221132280710
[2017-11-04 20:00:31] Error - Already exists document
[2017-11-04 20:00:31] Complate to parse - supergunman_221131299432
[2017-11-04 20:00:31] Error - Already exists document
[2017-11-04 20:00:31] Complate to parse - kjia76_221132548551
[2017-11-04 20:00:31] Complate to percolate - kjia76_221132548551
[2017-11-04 20:00:31] Click the page - 8page
[2017-11-04 20:00:33] Complate to parse - romantoia_221132524527
[2017-11-04 20:00:33] Complate to percolate - romantoia_221132524527
[2017-11-04 20:00:34] Complate to parse - ka8564_221132515684
[2017-11-04 20:00:34] Error - Already exists document
