[2017-11-08 12:00:01] Scraping start
[2017-11-08 12:00:01] Connected Elasticsearch server
[2017-11-08 12:00:02] Opened PhantomJS webdriver
[2017-11-08 12:00:05] Complete to bring blogs seed page
[2017-11-08 12:00:05] Complete to move to travel category
[2017-11-08 12:00:06] Complete to move to domestic travel page
[2017-11-08 12:00:06] Start to parse each posts
[2017-11-08 12:00:06] Click the page - 1page
[2017-11-08 12:00:08] Complate to parse - shillajeju__221134711242
[2017-11-08 12:00:08] Error - Already exists document
[2017-11-08 12:00:08] Complate to parse - jcjkks_221127464372
[2017-11-08 12:00:08] Error - Already exists document
[2017-11-08 12:00:08] Complate to parse - 8302yang_221135081513
[2017-11-08 12:00:08] Error - Already exists document
[2017-11-08 12:00:10] Complate to parse - kkongi3028_221134827471
[2017-11-08 12:00:10] Error - Already exists document
[2017-11-08 12:00:12] Complate to parse - natur_herz_221134955234
[2017-11-08 12:00:12] Error - Already exists document
[2017-11-08 12:00:17] Complate to parse - cyc0913_221133936579
[2017-11-08 12:00:17] Error - Already exists document
[2017-11-08 12:00:20] Complate to parse - whdrnr95_221134771425
[2017-11-08 12:00:20] Error - Already exists document
[2017-11-08 12:00:22] Complate to parse - hp0210_221134826251
[2017-11-08 12:00:22] Error - Already exists document
[2017-11-08 12:00:24] Complate to parse - byun07_221135156492
[2017-11-08 12:00:24] Complate to percolate - byun07_221135156492
[2017-11-08 12:00:25] Complate to parse - suhochung_221134164849
[2017-11-08 12:00:25] Error - Already exists document
[2017-11-08 12:00:25] Click the page - 2page
[2017-11-08 12:00:27] Complate to parse - ddawndew_221135022856
[2017-11-08 12:00:27] Error - Already exists document
[2017-11-08 12:00:28] Complate to parse - mongniyang_221134963520
[2017-11-08 12:00:28] Error - Already exists document
[2017-11-08 12:00:29] Complate to parse - jhgeel_221134089111
[2017-11-08 12:00:29] Error - Already exists document
[2017-11-08 12:00:29] Complate to parse - nailstan_221134115678
[2017-11-08 12:00:29] Error - Already exists document
[2017-11-08 12:00:29] Complate to parse - jtowelcome_221135097117
[2017-11-08 12:00:29] Error - Already exists document
[2017-11-08 12:00:29] Complate to parse - turpu_221135078341
[2017-11-08 12:00:29] Error - Already exists document
[2017-11-08 12:00:30] Complate to parse - top4228_221132087560
[2017-11-08 12:00:30] Error - Already exists document
[2017-11-08 12:00:32] Complate to parse - maimai20_221133962673
[2017-11-08 12:00:32] Error - Already exists document
[2017-11-08 12:00:33] Complate to parse - juomsook21_221135011966
[2017-11-08 12:00:33] Error - Already exists document
[2017-11-08 12:00:33] Complate to parse - my50cent_221135113063
[2017-11-08 12:00:33] Error - Already exists document
[2017-11-08 12:00:33] Click the page - 3page
[2017-11-08 12:00:35] Complate to parse - bolikeme_221133798744
[2017-11-08 12:00:35] Error - Already exists document
[2017-11-08 12:00:35] Complate to parse - jsj5564_221135101013
[2017-11-08 12:00:35] Error - Already exists document
[2017-11-08 12:00:36] Complate to parse - anndam_221132602846
