[2017-11-04 12:00:02] Scraping start
[2017-11-04 12:00:02] Connected Elasticsearch server
[2017-11-04 12:00:03] Opened PhantomJS webdriver
[2017-11-04 12:00:04] Complete to bring blogs seed page
[2017-11-04 12:00:04] Complete to move to travel category
[2017-11-04 12:00:05] Complete to move to domestic travel page
[2017-11-04 12:00:05] Start to parse each posts
[2017-11-04 12:00:05] Click the page - 1page
[2017-11-04 12:00:07] Complate to parse - anndam_221132135561
[2017-11-04 12:00:07] Error - Already exists document
[2017-11-04 12:00:07] Complate to parse - 0114977635_221132289202
[2017-11-04 12:00:07] Error - Already exists document
[2017-11-04 12:00:07] Complate to parse - turpu_221132270938
[2017-11-04 12:00:07] Error - Already exists document
[2017-11-04 12:00:07] Complate to parse - 8302yang_221132263298
[2017-11-04 12:00:07] Error - Already exists document
[2017-11-04 12:00:08] Complate to parse - cookbad1_221132199435
[2017-11-04 12:00:08] Error - Already exists document
[2017-11-04 12:00:08] Complate to parse - jcjkks_221127488959
[2017-11-04 12:00:08] Error - Already exists document
[2017-11-04 12:00:08] Complate to parse - babtol2000_221132295216
[2017-11-04 12:00:08] Error - Already exists document
[2017-11-04 12:00:08] Complate to parse - bolikeme_221131318828
[2017-11-04 12:00:08] Error - Already exists document
[2017-11-04 12:00:08] Complate to parse - kji206_221132088765
[2017-11-04 12:00:08] Error - Already exists document
[2017-11-04 12:00:08] Complate to parse - sseotaiji_221132255438
[2017-11-04 12:00:08] Error - Already exists document
[2017-11-04 12:00:08] Click the page - 2page
[2017-11-04 12:00:10] Complate to parse - sky047000_221132254423
[2017-11-04 12:00:10] Error - Already exists document
[2017-11-04 12:00:11] Complate to parse - alfyoun_221131768985
[2017-11-04 12:00:11] Error - Already exists document
[2017-11-04 12:00:11] Complate to parse - mjda20_221132246005
[2017-11-04 12:00:11] Error - Already exists document
[2017-11-04 12:00:11] Complate to parse - sandcastle44_221132203256
[2017-11-04 12:00:11] Error - Already exists document
[2017-11-04 12:00:11] Complate to parse - irisnu_221131936275
[2017-11-04 12:00:11] Error - Already exists document
[2017-11-04 12:00:11] Complate to parse - narulove09_221128200621
[2017-11-04 12:00:11] Error - Already exists document
[2017-11-04 12:00:12] Complate to parse - hey_mystyle_221132203985
[2017-11-04 12:00:12] Error - Already exists document
[2017-11-04 12:00:12] Complate to parse - koreamoringa_221132300803
[2017-11-04 12:00:12] Error - Already exists document
[2017-11-04 12:00:12] Complate to parse - 93jeongdahye_221132170610
[2017-11-04 12:00:12] Error - Already exists document
[2017-11-04 12:00:12] Complate to parse - junhyuk_abba_221132300908
[2017-11-04 12:00:12] Error - Already exists document
[2017-11-04 12:00:12] Click the page - 3page
[2017-11-04 12:00:14] Complate to parse - jhgeel_221132278470
[2017-11-04 12:00:14] Error - Already exists document
[2017-11-04 12:00:14] Complate to parse - qhadldhaus98_221132276228
[2017-11-04 12:00:14] Error - Already exists document
[2017-11-04 12:00:15] Complate to parse - suheeryu_221119236111
[2017-11-04 12:00:15] Error - Already exists document
[2017-11-04 12:00:15] Complate to parse - tastydish_221132261113
[2017-11-04 12:00:15] Error - Already exists document
[2017-11-04 12:00:15] Complate to parse - you1620_221132054868
[2017-11-04 12:00:15] Error - Already exists document
[2017-11-04 12:00:15] Complate to parse - 1006hjy_221131407060
[2017-11-04 12:00:15] Error - Already exists document
[2017-11-04 12:00:15] Complate to parse - ichmount_221131593864
[2017-11-04 12:00:15] Error - Already exists document
[2017-11-04 12:00:16] Complate to parse - kby8478_221132042952
[2017-11-04 12:00:16] Error - Already exists document
[2017-11-04 12:00:16] Complate to parse - jang_rabbit_221132189790
[2017-11-04 12:00:16] Error - Already exists document
[2017-11-04 12:00:16] Complate to parse - althxodid_221132151113
[2017-11-04 12:00:16] Error - Already exists document
[2017-11-04 12:00:16] Click the page - 4page
[2017-11-04 12:00:18] Complate to parse - lyu1388_221131214058
[2017-11-04 12:00:18] Error - Already exists document
[2017-11-04 12:00:18] Complate to parse - mss2mking_221132250946
[2017-11-04 12:00:18] Error - Already exists document
[2017-11-04 12:00:18] Complate to parse - hp0210_221132051892
[2017-11-04 12:00:18] Error - Already exists document
[2017-11-04 12:00:19] Complate to parse - kuj681_221131427381
[2017-11-04 12:00:19] Error - Already exists document
[2017-11-04 12:00:19] Complate to parse - lovelyhoya07_221132183125
[2017-11-04 12:00:19] Complate to percolate - lovelyhoya07_221132183125
[2017-11-04 12:00:19] Complate to parse - bk85219_221129736180
[2017-11-04 12:00:19] Error - Already exists document
[2017-11-04 12:00:19] Complate to parse - say7915_221132196126
[2017-11-04 12:00:19] Error - Already exists document
[2017-11-04 12:00:20] Complate to parse - 2remona2_221132165500
[2017-11-04 12:00:20] Error - Already exists document
[2017-11-04 12:00:20] Complate to parse - vm0812_221132146272
[2017-11-04 12:00:20] Error - Already exists document
[2017-11-04 12:00:20] Complate to parse - yko53_221132248498
[2017-11-04 12:00:20] Error - Already exists document
[2017-11-04 12:00:20] Click the page - 5page
[2017-11-04 12:00:22] Complate to parse - hwangyul9178_221130594806
[2017-11-04 12:00:22] Error - Already exists document
[2017-11-04 12:00:22] Complate to parse - hhocho65_221131410506
[2017-11-04 12:00:22] Error - Already exists document
[2017-11-04 12:00:22] Complate to parse - tjfcnzkcnzk_221131347013
[2017-11-04 12:00:22] Error - Already exists document
