[2017-11-14 16:00:04] Scraping start
[2017-11-14 16:00:04] Connected Elasticsearch server
[2017-11-14 16:00:06] Opened PhantomJS webdriver
[2017-11-14 16:00:07] Complete to bring blogs seed page
[2017-11-14 16:00:09] Complete to move to travel category
[2017-11-14 16:00:10] Complete to move to domestic travel page
[2017-11-14 16:00:10] Start to parse each posts
[2017-11-14 16:00:10] Click the page - 1page
[2017-11-14 16:00:12] Complate to parse - minahan_221139734899
[2017-11-14 16:00:22] Error - Already exists document
[2017-11-14 16:00:22] Complate to parse - violetjeun_221139643386
[2017-11-14 16:00:32] Error - Already exists document
[2017-11-14 16:00:33] Complate to parse - shbae3521_221139416044
[2017-11-14 16:00:43] Error - Already exists document
[2017-11-14 16:00:43] Complate to parse - 8302yang_221139728827
[2017-11-14 16:00:53] Error - Already exists document
[2017-11-14 16:00:54] Complate to parse - gbnadri_221139478213
[2017-11-14 16:01:04] Error - Already exists document
[2017-11-14 16:01:04] Complate to parse - jcjkks_221127481312
[2017-11-14 16:01:14] Error - Already exists document
[2017-11-14 16:01:14] Complate to parse - aksgek7_221139461251
[2017-11-14 16:01:24] Error - Already exists document
[2017-11-14 16:01:24] Complate to parse - kji206_221138401441
[2017-11-14 16:01:34] Error - Already exists document
[2017-11-14 16:01:35] Complate to parse - myk_2007_221138847208
[2017-11-14 16:01:45] Error - Already exists document
[2017-11-14 16:01:45] Complate to parse - dox1120_221139628962
[2017-11-14 16:01:55] Error - Already exists document
[2017-11-14 16:01:55] Click the page - 2page
[2017-11-14 16:01:57] Complate to parse - mhms0420_221139512551
[2017-11-14 16:02:07] Error - Already exists document
[2017-11-14 16:02:07] Complate to parse - spa7981_221139608766
[2017-11-14 16:02:17] Error - Already exists document
[2017-11-14 16:02:18] Complate to parse - deer402_221139376350
[2017-11-14 16:02:28] Error - Already exists document
[2017-11-14 16:02:28] Complate to parse - kimcoco1_221139464050
[2017-11-14 16:02:38] Error - Already exists document
