[2017-11-05 23:00:02] Scraping start
[2017-11-05 23:00:02] Connected Elasticsearch server
[2017-11-05 23:00:03] Opened PhantomJS webdriver
[2017-11-05 23:00:04] Complete to bring blogs seed page
[2017-11-05 23:00:04] Complete to move to travel category
[2017-11-05 23:00:05] Complete to move to domestic travel page
[2017-11-05 23:00:05] Start to parse each posts
[2017-11-05 23:00:05] Click the page - 1page
[2017-11-05 23:00:07] Complate to parse - 8302yang_221133062845
[2017-11-05 23:00:07] Error - Already exists document
[2017-11-05 23:00:07] Complate to parse - flskfl88_221132927660
[2017-11-05 23:00:07] Error - Already exists document
[2017-11-05 23:00:07] Complate to parse - tjdan6161_221133159425
[2017-11-05 23:00:07] Error - Already exists document
[2017-11-05 23:00:07] Complate to parse - 8980480_221133016544
[2017-11-05 23:00:07] Error - Already exists document
[2017-11-05 23:00:08] Complate to parse - kenykim70_221133045912
[2017-11-05 23:00:08] Error - Already exists document
[2017-11-05 23:00:08] Complate to parse - nata4224_221132975324
[2017-11-05 23:00:08] Error - Already exists document
[2017-11-05 23:00:08] Complate to parse - 8302yang_221132958577
[2017-11-05 23:00:08] Error - Already exists document
[2017-11-05 23:00:08] Complate to parse - xhfl1031_221132906243
[2017-11-05 23:00:08] Error - Already exists document
[2017-11-05 23:00:09] Complate to parse - you1620_221132653320
[2017-11-05 23:00:09] Error - Already exists document
[2017-11-05 23:00:09] Complate to parse - kjia76_221133189157
[2017-11-05 23:00:09] Error - Already exists document
[2017-11-05 23:00:09] Click the page - 2page
[2017-11-05 23:00:11] Complate to parse - sg83love_221133129039
[2017-11-05 23:00:11] Error - Already exists document
[2017-11-05 23:00:11] Complate to parse - lechy_221133126844
[2017-11-05 23:00:11] Error - Already exists document
[2017-11-05 23:00:11] Complate to parse - im-back_221133079966
[2017-11-05 23:00:11] Error - Already exists document
[2017-11-05 23:00:12] Complate to parse - neweunha_221133044057
[2017-11-05 23:00:12] Error - Already exists document
[2017-11-05 23:00:12] Complate to parse - pcn1970_221133019225
[2017-11-05 23:00:12] Error - Already exists document
[2017-11-05 23:00:12] Complate to parse - ejejucom_221133005962
[2017-11-05 23:00:12] Error - Already exists document
[2017-11-05 23:00:12] Complate to parse - tazan00009_221132864528
[2017-11-05 23:00:12] Error - Already exists document
[2017-11-05 23:00:12] Complate to parse - neweunha_221132989867
[2017-11-05 23:00:12] Error - Already exists document
[2017-11-05 23:00:13] Complate to parse - pinkdk1124_221132915040
[2017-11-05 23:00:13] Error - Already exists document
[2017-11-05 23:00:13] Complate to parse - ejumuk_221133129041
[2017-11-05 23:00:13] Error - Already exists document
[2017-11-05 23:00:13] Click the page - 3page
[2017-11-05 23:00:15] Complate to parse - jjuu0801_221133080047
[2017-11-05 23:00:15] Error - Already exists document
[2017-11-05 23:00:15] Complate to parse - wjgo1217_221132980327
[2017-11-05 23:00:15] Error - Already exists document
[2017-11-05 23:00:15] Complate to parse - spring921_221132916954
[2017-11-05 23:00:15] Error - Already exists document
[2017-11-05 23:00:15] Complate to parse - eom4128_221133022164
[2017-11-05 23:00:15] Error - Already exists document
[2017-11-05 23:00:16] Complate to parse - lhj815200_221133168234
[2017-11-05 23:00:16] Error - Already exists document
[2017-11-05 23:00:16] Complate to parse - inb4032_221133145818
[2017-11-05 23:00:16] Error - Already exists document
[2017-11-05 23:00:16] Complate to parse - titicoca_221133118632
[2017-11-05 23:00:16] Error - Already exists document
[2017-11-05 23:00:16] Complate to parse - skyline622_221133070709
[2017-11-05 23:00:16] Error - Already exists document
[2017-11-05 23:00:16] Complate to parse - mon9955_221133069760
[2017-11-05 23:00:16] Error - Already exists document
[2017-11-05 23:00:16] Complate to parse - mokchon27_221133048907
[2017-11-05 23:00:16] Error - Already exists document
[2017-11-05 23:00:16] Click the page - 4page
[2017-11-05 23:00:18] Complate to parse - tastydish_221133041680
[2017-11-05 23:00:18] Error - Already exists document
[2017-11-05 23:00:19] Complate to parse - beautiful-girl87_221133010572
[2017-11-05 23:00:19] Error - Already exists document
[2017-11-05 23:00:19] Complate to parse - babtol2000_221133003713
[2017-11-05 23:00:19] Error - Already exists document
[2017-11-05 23:00:19] Complate to parse - idioe48_221131713025
[2017-11-05 23:00:19] Error - Already exists document
[2017-11-05 23:00:19] Complate to parse - sopoongjeju_221132919438
[2017-11-05 23:00:19] Error - Already exists document
[2017-11-05 23:00:19] Complate to parse - junhyuk_abba_221132900916
[2017-11-05 23:00:19] Error - Already exists document
[2017-11-05 23:00:19] Complate to parse - sks_0426_221133178463
[2017-11-05 23:00:19] Error - Already exists document
[2017-11-05 23:00:20] Complate to parse - ds1cvq_221133129537
[2017-11-05 23:00:20] Error - Already exists document
[2017-11-05 23:00:20] Complate to parse - queen77577_221133120241
[2017-11-05 23:00:20] Error - Already exists document
[2017-11-05 23:00:20] Complate to parse - 2remona2_221133019001
[2017-11-05 23:00:20] Error - Already exists document
[2017-11-05 23:00:20] Click the page - 5page
[2017-11-05 23:00:22] Complate to parse - lsuhnok_221133013036
[2017-11-05 23:00:22] Error - Already exists document
[2017-11-05 23:00:22] Complate to parse - god_jhzz_221133008390
[2017-11-05 23:00:22] Error - Already exists document
[2017-11-05 23:00:22] Complate to parse - cjcityblog_221133007589
[2017-11-05 23:00:22] Error - Already exists document
[2017-11-05 23:00:23] Complate to parse - dailytalk_hy_221132993588
[2017-11-05 23:00:23] Error - Already exists document
[2017-11-05 23:00:23] Complate to parse - pinkwona_221132964165
[2017-11-05 23:00:23] Error - Already exists document
[2017-11-05 23:00:25] Complate to parse - altmqkr0_221132942220
[2017-11-05 23:00:25] Error - Already exists document
[2017-11-05 23:00:25] Complate to parse - arti76_221133033428
[2017-11-05 23:00:25] Error - Already exists document
[2017-11-05 23:00:25] Complate to parse - himy21_221132025220
[2017-11-05 23:00:25] Error - Already exists document
[2017-11-05 23:00:25] Complate to parse - modena153_221133145016
[2017-11-05 23:00:25] Error - Already exists document
[2017-11-05 23:00:25] Complate to parse - lovemw3_221132876454
[2017-11-05 23:00:25] Error - Already exists document
[2017-11-05 23:00:25] Click the page - 6page
[2017-11-05 23:00:27] Complate to parse - ann7686_221133043917
[2017-11-05 23:00:27] Error - Already exists document
[2017-11-05 23:00:27] Complate to parse - kdsdb_221133013653
[2017-11-05 23:00:27] Error - Already exists document
[2017-11-05 23:00:28] Complate to parse - cjstk1926_221133160662
[2017-11-05 23:00:28] Error - Already exists document
[2017-11-05 23:00:28] Complate to parse - kino003_221133105762
[2017-11-05 23:00:28] Error - Already exists document
[2017-11-05 23:00:28] Complate to parse - cherrytue_221133040159
[2017-11-05 23:00:28] Error - Already exists document
[2017-11-05 23:00:28] Complate to parse - hyojin03v_221133032026
[2017-11-05 23:00:29] Complate to percolate - hyojin03v_221133032026
[2017-11-05 23:00:29] Complate to parse - 1023cdh_221132998417
[2017-11-05 23:00:29] Error - Already exists document
