[2017-11-04 22:00:01] Scraping start
[2017-11-04 22:00:01] Connected Elasticsearch server
[2017-11-04 22:00:02] Opened PhantomJS webdriver
[2017-11-04 22:00:02] Complete to bring blogs seed page
[2017-11-04 22:00:03] Complete to move to travel category
[2017-11-04 22:00:04] Complete to move to domestic travel page
[2017-11-04 22:00:06] Start to parse each posts
[2017-11-04 22:00:06] Click the page - 1page
[2017-11-04 22:00:07] Complate to parse - koreamoringa_221132300803
[2017-11-04 22:00:07] Error - Already exists document
[2017-11-04 22:00:08] Complate to parse - daichung_221132360538
[2017-11-04 22:00:08] Error - Already exists document
[2017-11-04 22:00:08] Complate to parse - deux300_221123641532
[2017-11-04 22:00:08] Error - Already exists document
[2017-11-04 22:00:08] Complate to parse - toga33_221129793862
[2017-11-04 22:00:08] Error - Already exists document
[2017-11-04 22:00:08] Complate to parse - kinogirl100_221132318995
[2017-11-04 22:00:08] Error - Already exists document
[2017-11-04 22:00:08] Complate to parse - autopeed0050_221131739795
[2017-11-04 22:00:08] Error - Already exists document
[2017-11-04 22:00:09] Complate to parse - ksl1259_221132496864
[2017-11-04 22:00:09] Error - Already exists document
[2017-11-04 22:00:09] Complate to parse - babo0547_221132345839
[2017-11-04 22:00:09] Error - Already exists document
[2017-11-04 22:00:09] Complate to parse - forceofwill_221132542846
[2017-11-04 22:00:09] Error - Already exists document
[2017-11-04 22:00:09] Complate to parse - coooca_221132496622
[2017-11-04 22:00:09] Error - Already exists document
[2017-11-04 22:00:09] Click the page - 2page
[2017-11-04 22:00:11] Complate to parse - ejejucom_221132423375
[2017-11-04 22:00:11] Error - Already exists document
[2017-11-04 22:00:11] Complate to parse - sun751213_221132391060
[2017-11-04 22:00:11] Error - Already exists document
[2017-11-04 22:00:12] Complate to parse - sirenj2813_221132342317
[2017-11-04 22:00:12] Error - Already exists document
[2017-11-04 22:00:12] Complate to parse - smoodias_221132335467
[2017-11-04 22:00:12] Error - Already exists document
[2017-11-04 22:00:12] Complate to parse - jcjkks_221127488959
[2017-11-04 22:00:12] Error - Already exists document
[2017-11-04 22:00:12] Complate to parse - cyberbinpol_221132424159
[2017-11-04 22:00:12] Error - Already exists document
[2017-11-04 22:00:12] Complate to parse - oblove3_221132404420
[2017-11-04 22:00:12] Error - Already exists document
[2017-11-04 22:00:12] Complate to parse - junjuly4_221132365926
[2017-11-04 22:00:12] Error - Already exists document
[2017-11-04 22:00:13] Complate to parse - lovelyhoya07_221132183125
[2017-11-04 22:00:13] Error - Already exists document
[2017-11-04 22:00:13] Complate to parse - agant5548_221132161439
[2017-11-04 22:00:13] Error - Already exists document
[2017-11-04 22:00:13] Click the page - 3page
[2017-11-04 22:00:15] Complate to parse - hankookceo_221132498161
[2017-11-04 22:00:15] Error - Already exists document
[2017-11-04 22:00:15] Complate to parse - kcgcg92_221131377528
[2017-11-04 22:00:15] Error - Already exists document
[2017-11-04 22:00:15] Complate to parse - naemoya_221132318740
[2017-11-04 22:00:15] Error - Already exists document
[2017-11-04 22:00:15] Complate to parse - green2house_221132613799
[2017-11-04 22:00:15] Complate to percolate - green2house_221132613799
[2017-11-04 22:00:16] Complate to parse - jandb86_221132516683
[2017-11-04 22:00:16] Error - Already exists document
[2017-11-04 22:00:16] Complate to parse - sake1503_221132061763
[2017-11-04 22:00:16] Error - Already exists document
[2017-11-04 22:00:16] Complate to parse - sysjej0327_221132416606
[2017-11-04 22:00:16] Error - Already exists document
[2017-11-04 22:00:16] Complate to parse - jsn920_221132413601
[2017-11-04 22:00:16] Error - Already exists document
[2017-11-04 22:00:16] Complate to parse - idioe48_221131713781
[2017-11-04 22:00:16] Error - Already exists document
[2017-11-04 22:00:16] Complate to parse - kjcim2_221132409210
[2017-11-04 22:00:16] Error - Already exists document
[2017-11-04 22:00:16] Click the page - 4page
[2017-11-04 22:00:18] Complate to parse - mina860527_221132356748
[2017-11-04 22:00:18] Error - Already exists document
[2017-11-04 22:00:18] Complate to parse - uggang2_221132076136
[2017-11-04 22:00:18] Error - Already exists document
[2017-11-04 22:00:19] Complate to parse - kingcapper_221129417868
[2017-11-04 22:00:19] Error - Already exists document
[2017-11-04 22:00:19] Complate to parse - junhyuk_abba_221132300908
[2017-11-04 22:00:19] Error - Already exists document
[2017-11-04 22:00:19] Complate to parse - daesunjujo_221131771698
[2017-11-04 22:00:19] Error - Already exists document
[2017-11-04 22:00:19] Complate to parse - tazan00009_221132578554
[2017-11-04 22:00:19] Error - Already exists document
[2017-11-04 22:00:19] Complate to parse - jsj5564_221132558618
[2017-11-04 22:00:19] Error - Already exists document
[2017-11-04 22:00:20] Complate to parse - dct1028_221132047403
[2017-11-04 22:00:20] Error - Already exists document
[2017-11-04 22:00:20] Complate to parse - mss2mking_221132400272
[2017-11-04 22:00:20] Error - Already exists document
[2017-11-04 22:00:20] Complate to parse - dqtwdqtw_221132319508
[2017-11-04 22:00:20] Error - Already exists document
[2017-11-04 22:00:20] Click the page - 5page
[2017-11-04 22:00:22] Complate to parse - jina0676_221132179881
[2017-11-04 22:00:22] Error - Already exists document
[2017-11-04 22:00:22] Complate to parse - dingdong1233_221132307059
[2017-11-04 22:00:22] Error - Already exists document
[2017-11-04 22:00:22] Complate to parse - ehyeone_221132447102
[2017-11-04 22:00:22] Error - Already exists document
[2017-11-04 22:00:22] Complate to parse - namhaestorys_221132415685
[2017-11-04 22:00:22] Error - Already exists document
[2017-11-04 22:00:23] Complate to parse - jandb86_221132413905
[2017-11-04 22:00:23] Error - Already exists document
[2017-11-04 22:00:23] Complate to parse - shj8595_221132403988
[2017-11-04 22:00:23] Error - Already exists document
[2017-11-04 22:00:23] Complate to parse - dongtwo_221132383643
[2017-11-04 22:00:23] Error - Already exists document
[2017-11-04 22:00:23] Complate to parse - byun07_221132592458
[2017-11-04 22:00:23] Complate to percolate - byun07_221132592458
[2017-11-04 22:00:23] Complate to parse - kingdomofgod0691_221132555045
[2017-11-04 22:00:23] Error - Already exists document
