[2017-11-07 00:00:01] Scraping start
[2017-11-07 00:00:01] Connected Elasticsearch server
[2017-11-07 00:00:02] Opened PhantomJS webdriver
[2017-11-07 00:00:03] Complete to bring blogs seed page
[2017-11-07 00:00:03] Complete to move to travel category
[2017-11-07 00:00:04] Complete to move to domestic travel page
[2017-11-07 00:00:06] Start to parse each posts
[2017-11-07 00:00:06] Click the page - 1page
[2017-11-07 00:00:08] Complate to parse - gukjung_221133609471
[2017-11-07 00:00:08] Error - Already exists document
[2017-11-07 00:00:08] Complate to parse - marbin_221133733589
[2017-11-07 00:00:08] Error - Already exists document
[2017-11-07 00:00:08] Complate to parse - exhappyway_221133692144
[2017-11-07 00:00:08] Error - Already exists document
[2017-11-07 00:00:08] Complate to parse - mss2mking_221133671339
[2017-11-07 00:00:08] Error - Already exists document
[2017-11-07 00:00:09] Complate to parse - daichung_221133587803
[2017-11-07 00:00:09] Error - Already exists document
[2017-11-07 00:00:09] Complate to parse - wls62345_221133701919
[2017-11-07 00:00:09] Error - Already exists document
[2017-11-07 00:00:09] Complate to parse - ghostmom212_221133987745
[2017-11-07 00:00:09] Error - Already exists document
[2017-11-07 00:00:09] Complate to parse - kimyk5088_221133855828
[2017-11-07 00:00:09] Error - Already exists document
[2017-11-07 00:00:10] Complate to parse - fingership_221133769931
[2017-11-07 00:00:10] Error - Already exists document
[2017-11-07 00:00:10] Complate to parse - gusalsp464_221134022658
[2017-11-07 00:00:10] Error - Already exists document
[2017-11-07 00:00:10] Click the page - 2page
[2017-11-07 00:00:12] Complate to parse - gomsolvie_221133881052
[2017-11-07 00:00:12] Error - Already exists document
[2017-11-07 00:00:12] Complate to parse - nahe0904_221133644365
[2017-11-07 00:00:12] Error - Already exists document
[2017-11-07 00:00:12] Complate to parse - dakto_221133654932
[2017-11-07 00:00:12] Error - Already exists document
[2017-11-07 00:00:12] Complate to parse - natur_herz_221134043022
[2017-11-07 00:00:13] Complate to percolate - natur_herz_221134043022
[2017-11-07 00:00:13] Complate to parse - dox1120_221133848800
[2017-11-07 00:00:13] Error - Already exists document
[2017-11-07 00:00:13] Complate to parse - rltjru_221133615473
[2017-11-07 00:00:13] Error - Already exists document
[2017-11-07 00:00:13] Complate to parse - 00starhyunju_221133767391
[2017-11-07 00:00:13] Error - Already exists document
[2017-11-07 00:00:14] Complate to parse - aksgek7_221134029426
[2017-11-07 00:00:14] Error - Already exists document
[2017-11-07 00:00:14] Complate to parse - accaee_221133989891
[2017-11-07 00:00:14] Error - Already exists document
[2017-11-07 00:00:14] Complate to parse - maisonsondemul_221133901115
[2017-11-07 00:00:14] Error - Already exists document
[2017-11-07 00:00:14] Click the page - 3page
[2017-11-07 00:00:16] Complate to parse - wwwon2_221133872525
[2017-11-07 00:00:16] Error - Already exists document
[2017-11-07 00:00:16] Complate to parse - jejulovetour_221133823650
[2017-11-07 00:00:16] Error - Already exists document
[2017-11-07 00:00:16] Complate to parse - wls62345_221133760062
[2017-11-07 00:00:16] Error - Already exists document
[2017-11-07 00:00:17] Complate to parse - jesty3978_221133650598
[2017-11-07 00:00:17] Error - Already exists document
[2017-11-07 00:00:17] Complate to parse - limky5882_221133633622
[2017-11-07 00:00:17] Error - Already exists document
[2017-11-07 00:00:17] Complate to parse - hahaha1504_221133626830
[2017-11-07 00:00:17] Error - Already exists document
[2017-11-07 00:00:17] Complate to parse - goldkmsa_221133574513
[2017-11-07 00:00:17] Error - Already exists document
[2017-11-07 00:00:17] Complate to parse - cute_bbotty_221134045019
[2017-11-07 00:00:18] Complate to percolate - cute_bbotty_221134045019
