[2017-11-08 03:00:01] Scraping start
[2017-11-08 03:00:01] Connected Elasticsearch server
[2017-11-08 03:00:02] Opened PhantomJS webdriver
[2017-11-08 03:00:03] Complete to bring blogs seed page
[2017-11-08 03:00:04] Complete to move to travel category
[2017-11-08 03:00:04] Complete to move to domestic travel page
[2017-11-08 03:00:04] Start to parse each posts
[2017-11-08 03:00:04] Click the page - 1page
[2017-11-08 03:00:06] Complate to parse - scpark1214_221134743522
[2017-11-08 03:00:06] Error - Already exists document
[2017-11-08 03:00:06] Complate to parse - qnfjqekqnfjdnj_221134840496
[2017-11-08 03:00:06] Error - Already exists document
[2017-11-08 03:00:06] Complate to parse - oblove3_221134869690
[2017-11-08 03:00:06] Error - Already exists document
[2017-11-08 03:00:07] Complate to parse - wjsurdpqhk_221134728907
[2017-11-08 03:00:07] Error - Already exists document
[2017-11-08 03:00:07] Complate to parse - ksb115205_221134649828
[2017-11-08 03:00:07] Error - Already exists document
[2017-11-08 03:00:07] Complate to parse - sopoongjeju_221134631318
[2017-11-08 03:00:07] Error - Already exists document
[2017-11-08 03:00:07] Complate to parse - tazan00009_221134529284
[2017-11-08 03:00:07] Error - Already exists document
[2017-11-08 03:00:07] Complate to parse - bling0430_221134552794
[2017-11-08 03:00:07] Error - Already exists document
[2017-11-08 03:00:08] Complate to parse - ybg_baram_221134893090
[2017-11-08 03:00:08] Error - Already exists document
[2017-11-08 03:00:08] Complate to parse - bmcg1_221134754848
[2017-11-08 03:00:08] Error - Already exists document
[2017-11-08 03:00:08] Click the page - 2page
[2017-11-08 03:00:10] Complate to parse - choikoil_221134750804
[2017-11-08 03:00:10] Error - Already exists document
[2017-11-08 03:00:10] Complate to parse - newgisadan_221134575856
[2017-11-08 03:00:10] Error - Already exists document
[2017-11-08 03:00:10] Complate to parse - aurtkfwkqdl_221134826385
[2017-11-08 03:00:10] Error - Already exists document
[2017-11-08 03:00:11] Complate to parse - hexeph_221134772305
[2017-11-08 03:00:11] Error - Already exists document
[2017-11-08 03:00:11] Complate to parse - lyu1388_221134717700
[2017-11-08 03:00:11] Error - Already exists document
[2017-11-08 03:00:11] Complate to parse - ohho52_221134685334
[2017-11-08 03:00:11] Error - Already exists document
[2017-11-08 03:00:11] Complate to parse - vegemilstory_221134647378
[2017-11-08 03:00:11] Error - Already exists document
[2017-11-08 03:00:11] Complate to parse - wnhjeju_221134642846
[2017-11-08 03:00:11] Error - Already exists document
[2017-11-08 03:00:11] Complate to parse - dailytalk_hy_221134956249
[2017-11-08 03:00:11] Error - Already exists document
[2017-11-08 03:00:12] Complate to parse - lovtrout_221134859816
[2017-11-08 03:00:12] Error - Already exists document
[2017-11-08 03:00:12] Click the page - 3page
[2017-11-08 03:00:14] Complate to parse - jirisan72_221134749251
[2017-11-08 03:00:14] Error - Already exists document
[2017-11-08 03:00:14] Complate to parse - potoi_221134669611
[2017-11-08 03:00:14] Error - Already exists document
[2017-11-08 03:00:14] Complate to parse - hayanee_221134626672
[2017-11-08 03:00:14] Error - Already exists document
[2017-11-08 03:00:14] Complate to parse - capzzang70_221134571888
[2017-11-08 03:00:14] Error - Already exists document
[2017-11-08 03:00:14] Complate to parse - kissi3oy_221134779374
[2017-11-08 03:00:14] Error - Already exists document
[2017-11-08 03:00:15] Complate to parse - cyberbinpol_221134776563
[2017-11-08 03:00:15] Error - Already exists document
[2017-11-08 03:00:15] Complate to parse - joon-ri-1215_221134719323
[2017-11-08 03:00:15] Error - Already exists document
[2017-11-08 03:00:15] Complate to parse - bnbmoh_221134657447
[2017-11-08 03:00:15] Error - Already exists document
[2017-11-08 03:00:15] Complate to parse - suncheonsi_221134689948
[2017-11-08 03:00:15] Error - Already exists document
[2017-11-08 03:00:15] Complate to parse - so9122_221134662948
[2017-11-08 03:00:15] Error - Already exists document
[2017-11-08 03:00:15] Click the page - 4page
[2017-11-08 03:00:17] Complate to parse - mylittlechan_221134656985
[2017-11-08 03:00:17] Error - Already exists document
[2017-11-08 03:00:18] Complate to parse - gndctour_221134603428
[2017-11-08 03:00:18] Error - Already exists document
[2017-11-08 03:00:18] Complate to parse - madecolor_221134563568
[2017-11-08 03:00:18] Error - Already exists document
[2017-11-08 03:00:18] Complate to parse - trueka20_221134914945
[2017-11-08 03:00:18] Error - Already exists document
[2017-11-08 03:00:18] Complate to parse - acura06_221134675109
[2017-11-08 03:00:18] Error - Already exists document
[2017-11-08 03:00:18] Complate to parse - kunby_221134632472
[2017-11-08 03:00:18] Error - Already exists document
[2017-11-08 03:00:19] Complate to parse - fbf52_221134605477
[2017-11-08 03:00:19] Error - Already exists document
[2017-11-08 03:00:19] Complate to parse - canvaslab_221134793927
[2017-11-08 03:00:19] Error - Already exists document
[2017-11-08 03:00:19] Complate to parse - nopqda_221134706866
[2017-11-08 03:00:19] Error - Already exists document
[2017-11-08 03:00:19] Complate to parse - armful31_221134590765
[2017-11-08 03:00:19] Error - Already exists document
[2017-11-08 03:00:19] Click the page - 5page
[2017-11-08 03:00:21] Complate to parse - whiteday8277_221134582191
[2017-11-08 03:00:21] Error - Already exists document
[2017-11-08 03:00:21] Complate to parse - soot3879_221134158309
[2017-11-08 03:00:21] Error - Already exists document
[2017-11-08 03:00:21] Complate to parse - 2_eunjee_221134937709
[2017-11-08 03:00:21] Error - Already exists document
[2017-11-08 03:00:22] Complate to parse - candyra9_221134922238
[2017-11-08 03:00:22] Error - Already exists document
[2017-11-08 03:00:22] Complate to parse - sinymi77_221134918841
[2017-11-08 03:00:22] Error - Already exists document
[2017-11-08 03:00:22] Complate to parse - ailee06_221134913628
[2017-11-08 03:00:22] Error - Already exists document
[2017-11-08 03:00:22] Complate to parse - you1620_221134810134
[2017-11-08 03:00:22] Error - Already exists document
[2017-11-08 03:00:22] Complate to parse - woo4132_221134798646
[2017-11-08 03:00:22] Error - Already exists document
[2017-11-08 03:00:23] Complate to parse - congcookin_221134779975
[2017-11-08 03:00:23] Error - Already exists document
[2017-11-08 03:00:23] Complate to parse - jejubloger_221134740983
[2017-11-08 03:00:23] Error - Already exists document
[2017-11-08 03:00:23] Click the page - 6page
[2017-11-08 03:00:25] Complate to parse - lovingssu_221134725034
[2017-11-08 03:00:25] Error - Already exists document
[2017-11-08 03:00:25] Complate to parse - nam1991_221134615105
[2017-11-08 03:00:25] Error - Already exists document
[2017-11-08 03:00:25] Complate to parse - flyhighbaby_221134653955
[2017-11-08 03:00:25] Error - Already exists document
[2017-11-08 03:00:25] Complate to parse - rlaskfl26_221134633063
[2017-11-08 03:00:25] Error - Already exists document
[2017-11-08 03:00:25] Complate to parse - kpgg00_221134569208
[2017-11-08 03:00:25] Error - Already exists document
[2017-11-08 03:00:25] Complate to parse - km910102_221134562647
[2017-11-08 03:00:25] Error - Already exists document
[2017-11-08 03:00:26] Complate to parse - aejbaby_221134965258
[2017-11-08 03:00:26] Error - Already exists document
[2017-11-08 03:00:26] Complate to parse - natur_herz_221134955234
[2017-11-08 03:00:26] Error - Already exists document
[2017-11-08 03:00:26] Complate to parse - giyoung0901_221134806686
[2017-11-08 03:00:26] Error - Already exists document
[2017-11-08 03:00:26] Complate to parse - jongsulim_221134725949
[2017-11-08 03:00:26] Error - Already exists document
[2017-11-08 03:00:26] Click the page - 7page
[2017-11-08 03:00:28] Complate to parse - gndctour_221134640533
[2017-11-08 03:00:28] Error - Already exists document
[2017-11-08 03:00:28] Complate to parse - jjung8102_221134589043
[2017-11-08 03:00:28] Error - Already exists document
[2017-11-08 03:00:29] Complate to parse - kangchonplay_221134581748
[2017-11-08 03:00:29] Error - Already exists document
[2017-11-08 03:00:29] Complate to parse - the_trip_221134565163
[2017-11-08 03:00:29] Error - Already exists document
[2017-11-08 03:00:29] Complate to parse - chaein9885_221134934487
[2017-11-08 03:00:29] Error - Already exists document
[2017-11-08 03:00:29] Complate to parse - hyeon10108_221134860492
[2017-11-08 03:00:29] Error - Already exists document
[2017-11-08 03:00:30] Complate to parse - gy00ny_221134732964
[2017-11-08 03:00:30] Error - Already exists document
[2017-11-08 03:00:30] Complate to parse - joolp00_221134711000
[2017-11-08 03:00:30] Error - Already exists document
[2017-11-08 03:00:30] Complate to parse - bonnylady912_221134696750
[2017-11-08 03:00:30] Error - Already exists document
[2017-11-08 03:00:30] Complate to parse - kissi3oy_221134660653
[2017-11-08 03:00:30] Error - Already exists document
[2017-11-08 03:00:30] Click the page - 8page
[2017-11-08 03:00:32] Complate to parse - nscity_221134585217
[2017-11-08 03:00:32] Error - Already exists document
[2017-11-08 03:00:32] Complate to parse - seon7689_221134094401
[2017-11-08 03:00:32] Error - Already exists document
[2017-11-08 03:00:32] Complate to parse - allylove88_221134623751
[2017-11-08 03:00:32] Error - Already exists document
[2017-11-08 03:00:33] Complate to parse - namdokorea_221134569144
[2017-11-08 03:00:33] Error - Already exists document
[2017-11-08 03:00:33] Complate to parse - salee7908_221134918390
[2017-11-08 03:00:33] Error - Already exists document
[2017-11-08 03:00:33] Complate to parse - goofysms2_221134824038
[2017-11-08 03:00:33] Error - Already exists document
[2017-11-08 03:00:33] Complate to parse - dropy_221134805156
[2017-11-08 03:00:33] Error - Already exists document
[2017-11-08 03:00:33] Complate to parse - s2travel_221134700780
[2017-11-08 03:00:33] Error - Already exists document
[2017-11-08 03:00:33] Complate to parse - reise95_221134698819
[2017-11-08 03:00:33] Error - Already exists document
[2017-11-08 03:00:34] Complate to parse - greatkwon17_221134643474
[2017-11-08 03:00:34] Error - Already exists document
[2017-11-08 03:00:34] Click the page - 9page
[2017-11-08 03:00:36] Complate to parse - cherrylove22_221133104984
[2017-11-08 03:00:36] Error - Already exists document
[2017-11-08 03:00:36] Complate to parse - cybertoplee_221134612680
[2017-11-08 03:00:36] Error - Already exists document
[2017-11-08 03:00:36] Complate to parse - lsh5755_221134610856
[2017-11-08 03:00:36] Error - Already exists document
[2017-11-08 03:00:36] Complate to parse - yoojy10_221134549122
[2017-11-08 03:00:36] Error - Already exists document
[2017-11-08 03:00:37] Complate to parse - badddda_221134552487
[2017-11-08 03:00:37] Error - Already exists document
[2017-11-08 03:00:37] Complate to parse - yangju619_221134550160
[2017-11-08 03:00:37] Error - Already exists document
[2017-11-08 03:00:37] Complate to parse - woo_planet_221134852609
[2017-11-08 03:00:37] Error - Already exists document
[2017-11-08 03:00:37] Complate to parse - risapa_221134948072
[2017-11-08 03:00:37] Error - Already exists document
[2017-11-08 03:00:37] Complate to parse - 3000km_221134920383
[2017-11-08 03:00:37] Error - Already exists document
[2017-11-08 03:00:38] Complate to parse - koolhaas75_221134814117
[2017-11-08 03:00:38] Error - Already exists document
[2017-11-08 03:00:38] Click the page - 10page
[2017-11-08 03:00:40] Complate to parse - shensubin_221134788218
[2017-11-08 03:00:40] Error - Already exists document
[2017-11-08 03:00:40] Complate to parse - shinhye1014_221134741394
[2017-11-08 03:00:40] Error - Already exists document
[2017-11-08 03:00:40] Complate to parse - jjangrafting_221134718526
[2017-11-08 03:00:40] Error - Already exists document
[2017-11-08 03:00:41] Complate to parse - beomzzi_221134671966
[2017-11-08 03:00:41] Error - Already exists document
[2017-11-08 03:00:41] Complate to parse - gndctour_221134623123
[2017-11-08 03:00:41] Error - Already exists document
[2017-11-08 03:00:41] Complate to parse - jikwangk_221134551022
[2017-11-08 03:00:41] Error - Already exists document
[2017-11-08 03:00:41] Complate to parse - snslive_221127206021
[2017-11-08 03:00:41] Error - Already exists document
[2017-11-08 03:00:41] Complate to parse - tjdan6161_221134923443
[2017-11-08 03:00:41] Error - Already exists document
[2017-11-08 03:00:42] Complate to parse - komyou07_221134919859
[2017-11-08 03:00:42] Error - Already exists document
[2017-11-08 03:00:42] Complate to parse - im7769_221134872861
[2017-11-08 03:00:42] Error - Already exists document
[2017-11-08 03:00:42] Click the next
[2017-11-08 03:00:42] Click the page - 11page
