[2017-11-07 15:00:01] Scraping start
[2017-11-07 15:00:01] Connected Elasticsearch server
[2017-11-07 15:00:02] Opened PhantomJS webdriver
[2017-11-07 15:00:08] Complete to bring blogs seed page
[2017-11-07 15:00:08] Complete to move to travel category
[2017-11-07 15:00:09] Complete to move to domestic travel page
[2017-11-07 15:00:09] Start to parse each posts
[2017-11-07 15:00:09] Click the page - 1page
[2017-11-07 15:00:11] Complate to parse - marbin_221134150641
[2017-11-07 15:00:11] Error - Already exists document
[2017-11-07 15:00:11] Complate to parse - potoi_221134176645
[2017-11-07 15:00:11] Error - Already exists document
[2017-11-07 15:00:11] Complate to parse - newosilent_221131564876
[2017-11-07 15:00:11] Error - Already exists document
[2017-11-07 15:00:12] Complate to parse - soso7869_221134279713
[2017-11-07 15:00:12] Error - Already exists document
[2017-11-07 15:00:12] Complate to parse - 8302yang_221134421261
[2017-11-07 15:00:12] Error - Already exists document
[2017-11-07 15:00:12] Complate to parse - dewdoll_221134341848
[2017-11-07 15:00:12] Error - Already exists document
[2017-11-07 15:00:12] Complate to parse - ddaengule_221133500553
[2017-11-07 15:00:12] Error - Already exists document
[2017-11-07 15:00:13] Complate to parse - turpu_221134251742
[2017-11-07 15:00:13] Error - Already exists document
[2017-11-07 15:00:13] Complate to parse - kimrg_221134250869
[2017-11-07 15:00:13] Error - Already exists document
[2017-11-07 15:00:13] Complate to parse - 00starhyunju_221134454419
[2017-11-07 15:00:13] Error - Already exists document
[2017-11-07 15:00:13] Click the page - 2page
[2017-11-07 15:00:15] Complate to parse - vitamintrees_221134287223
[2017-11-07 15:00:15] Error - Already exists document
[2017-11-07 15:00:15] Complate to parse - kimcoco1_221134276906
[2017-11-07 15:00:15] Error - Already exists document
[2017-11-07 15:00:15] Complate to parse - suk4408_221133922012
[2017-11-07 15:00:15] Error - Already exists document
[2017-11-07 15:00:16] Complate to parse - lsy5088_221133810283
[2017-11-07 15:00:16] Error - Already exists document
[2017-11-07 15:00:16] Complate to parse - joolp00_221134340761
[2017-11-07 15:00:16] Error - Already exists document
[2017-11-07 15:00:16] Complate to parse - vllollv_221134456568
[2017-11-07 15:00:16] Error - Already exists document
[2017-11-07 15:00:16] Complate to parse - daeguvisit_221133788080
[2017-11-07 15:00:16] Error - Already exists document
[2017-11-07 15:00:17] Complate to parse - pcn1970_221134315841
[2017-11-07 15:00:17] Error - Already exists document
[2017-11-07 15:00:17] Complate to parse - youkino09_221134265636
[2017-11-07 15:00:17] Error - Already exists document
[2017-11-07 15:00:17] Complate to parse - kenykim70_221134453580
[2017-11-07 15:00:17] Error - Already exists document
[2017-11-07 15:00:17] Click the page - 3page
[2017-11-07 15:00:19] Complate to parse - violetjeun_221134397534
[2017-11-07 15:00:19] Error - Already exists document
[2017-11-07 15:00:19] Complate to parse - tourjeonju_221134322944
[2017-11-07 15:00:19] Error - Already exists document
[2017-11-07 15:00:20] Complate to parse - hjufa_221134399942
[2017-11-07 15:00:20] Error - Already exists document
[2017-11-07 15:00:20] Complate to parse - jcjkks_221127491218
[2017-11-07 15:00:20] Error - Already exists document
[2017-11-07 15:00:20] Complate to parse - bobtini8_221134295785
[2017-11-07 15:00:20] Error - Already exists document
[2017-11-07 15:00:20] Complate to parse - ailee06_221134173342
[2017-11-07 15:00:20] Error - Already exists document
[2017-11-07 15:00:21] Complate to parse - zizinara1004_221134248062
[2017-11-07 15:00:21] Error - Already exists document
[2017-11-07 15:00:21] Complate to parse - fingership_221133519384
[2017-11-07 15:00:21] Error - Already exists document
[2017-11-07 15:00:21] Complate to parse - ellwoo_221134228561
[2017-11-07 15:00:21] Error - Already exists document
[2017-11-07 15:00:21] Complate to parse - jejulovetour_221134487010
[2017-11-07 15:00:21] Complate to percolate - jejulovetour_221134487010
[2017-11-07 15:00:21] Click the page - 4page
[2017-11-07 15:00:23] Complate to parse - knkim2_221134317250
[2017-11-07 15:00:23] Error - Already exists document
[2017-11-07 15:00:24] Complate to parse - maria5757_221134283630
[2017-11-07 15:00:24] Error - Already exists document
[2017-11-07 15:00:24] Complate to parse - hyshee0757_221134193102
[2017-11-07 15:00:24] Error - Already exists document
[2017-11-07 15:00:24] Complate to parse - yolo_hui_221133647289
[2017-11-07 15:00:24] Error - Already exists document
[2017-11-07 15:00:24] Complate to parse - hari33_221134210093
[2017-11-07 15:00:24] Error - Already exists document
[2017-11-07 15:00:25] Complate to parse - hwa202_221134502258
[2017-11-07 15:00:25] Complate to percolate - hwa202_221134502258
[2017-11-07 15:00:25] Complate to parse - bnbk00_221134417354
[2017-11-07 15:00:25] Error - Already exists document
[2017-11-07 15:00:25] Complate to parse - oasi79_221134178884
[2017-11-07 15:00:25] Error - Already exists document
[2017-11-07 15:00:26] Complate to parse - dytksdytnsla_221134321661
[2017-11-07 15:00:26] Error - Already exists document
[2017-11-07 15:00:26] Complate to parse - pyj_5004_221134301447
[2017-11-07 15:00:26] Error - Already exists document
[2017-11-07 15:00:26] Click the page - 5page
[2017-11-07 15:00:28] Complate to parse - jcmook1_221134286330
[2017-11-07 15:00:28] Error - Already exists document
[2017-11-07 15:00:28] Complate to parse - innazzang-_221134072277
[2017-11-07 15:00:28] Error - Already exists document
[2017-11-07 15:00:28] Complate to parse - ejejucom_221134487899
[2017-11-07 15:00:28] Complate to percolate - ejejucom_221134487899
[2017-11-07 15:00:28] Complate to parse - tbvjaka012012_221134463788
[2017-11-07 15:00:29] Complate to percolate - tbvjaka012012_221134463788
[2017-11-07 15:00:29] Complate to parse - jinna21125_221134445925
[2017-11-07 15:00:29] Error - Already exists document
[2017-11-07 15:00:29] Complate to parse - junhyuk_abba_221134439033
[2017-11-07 15:00:29] Error - Already exists document
[2017-11-07 15:00:29] Complate to parse - sake1503_221134423353
[2017-11-07 15:00:29] Error - Already exists document
[2017-11-07 15:00:30] Complate to parse - joo1609_221134405938
[2017-11-07 15:00:30] Error - Already exists document
[2017-11-07 15:00:30] Complate to parse - bluebuskr_221134390336
[2017-11-07 15:00:30] Error - Already exists document
[2017-11-07 15:00:30] Complate to parse - orange8410_221134366589
[2017-11-07 15:00:30] Error - Already exists document
[2017-11-07 15:00:30] Click the page - 6page
[2017-11-07 15:00:32] Complate to parse - e_leisurvice_221134362425
[2017-11-07 15:00:32] Error - Already exists document
[2017-11-07 15:00:32] Complate to parse - ddawndew_221134359709
