[2017-11-05 10:00:02] Scraping start
[2017-11-05 10:00:02] Connected Elasticsearch server
[2017-11-05 10:00:03] Opened PhantomJS webdriver
[2017-11-05 10:00:03] Complete to bring blogs seed page
[2017-11-05 10:00:04] Complete to move to travel category
[2017-11-05 10:00:05] Complete to move to domestic travel page
[2017-11-05 10:00:05] Start to parse each posts
[2017-11-05 10:00:05] Click the page - 1page
[2017-11-05 10:00:06] Complate to parse - ey6202_221132715211
[2017-11-05 10:00:06] Error - Already exists document
[2017-11-05 10:00:07] Complate to parse - maum0577_221132671800
[2017-11-05 10:00:07] Error - Already exists document
[2017-11-05 10:00:07] Complate to parse - goldsunriver_221132724341
[2017-11-05 10:00:07] Error - Already exists document
[2017-11-05 10:00:07] Complate to parse - todaylike_221132728885
[2017-11-05 10:00:07] Error - Already exists document
[2017-11-05 10:00:07] Complate to parse - rsmvf_221132831524
[2017-11-05 10:00:07] Error - Already exists document
[2017-11-05 10:00:08] Complate to parse - jykim515_221132822630
[2017-11-05 10:00:08] Error - Already exists document
[2017-11-05 10:00:08] Complate to parse - z9205_221132670547
[2017-11-05 10:00:08] Error - Already exists document
[2017-11-05 10:00:08] Complate to parse - lifeofbliss_221132651127
[2017-11-05 10:00:08] Error - Already exists document
[2017-11-05 10:00:08] Complate to parse - austinwine_221132796755
[2017-11-05 10:00:08] Error - Already exists document
[2017-11-05 10:00:09] Complate to parse - shyran0104_221132659305
[2017-11-05 10:00:09] Error - Already exists document
[2017-11-05 10:00:09] Click the page - 2page
[2017-11-05 10:00:10] Complate to parse - 1006hjy_221124772075
[2017-11-05 10:00:10] Error - Already exists document
[2017-11-05 10:00:11] Complate to parse - binsuk8_221132697228
[2017-11-05 10:00:11] Error - Already exists document
[2017-11-05 10:00:11] Complate to parse - ichmount_221131671857
[2017-11-05 10:00:11] Error - Already exists document
[2017-11-05 10:00:11] Complate to parse - honguree_221132617120
[2017-11-05 10:00:11] Error - Already exists document
[2017-11-05 10:00:11] Complate to parse - 9594jh_221132804745
[2017-11-05 10:00:11] Error - Already exists document
[2017-11-05 10:00:11] Complate to parse - 1429son_221132777286
[2017-11-05 10:00:11] Error - Already exists document
[2017-11-05 10:00:11] Complate to parse - reeyoung82_221132738912
[2017-11-05 10:00:11] Error - Already exists document
[2017-11-05 10:00:12] Complate to parse - mt653_221132652562
[2017-11-05 10:00:12] Error - Already exists document
[2017-11-05 10:00:12] Complate to parse - maum0577_221132794539
[2017-11-05 10:00:12] Error - Already exists document
[2017-11-05 10:00:12] Complate to parse - inmagoong_221132766675
[2017-11-05 10:00:12] Error - Already exists document
[2017-11-05 10:00:12] Click the page - 3page
[2017-11-05 10:00:14] Complate to parse - redpudding_221132753432
[2017-11-05 10:00:14] Error - Already exists document
[2017-11-05 10:00:14] Complate to parse - zizinara1004_221132731334
[2017-11-05 10:00:14] Error - Already exists document
[2017-11-05 10:00:14] Complate to parse - mouche007_221132712293
[2017-11-05 10:00:14] Error - Already exists document
[2017-11-05 10:00:15] Complate to parse - jjjjjung_e_221132684989
[2017-11-05 10:00:15] Error - Already exists document
[2017-11-05 10:00:15] Complate to parse - hhocho65_221131423016
[2017-11-05 10:00:15] Error - Already exists document
[2017-11-05 10:00:15] Complate to parse - warmspeech3_221132767448
[2017-11-05 10:00:15] Error - Already exists document
[2017-11-05 10:00:15] Complate to parse - ii6087ii_221132698337
[2017-11-05 10:00:15] Error - Already exists document
[2017-11-05 10:00:15] Complate to parse - zzangkr19_221132659525
[2017-11-05 10:00:15] Error - Already exists document
[2017-11-05 10:00:16] Complate to parse - yllove7979_221132833204
[2017-11-05 10:00:16] Error - Already exists document
[2017-11-05 10:00:16] Complate to parse - jongsulim_221131875519
[2017-11-05 10:00:16] Error - Already exists document
[2017-11-05 10:00:16] Click the page - 4page
[2017-11-05 10:00:18] Complate to parse - rkdguswjdkhj_221132806068
[2017-11-05 10:00:18] Error - Already exists document
