[2017-11-07 01:00:01] Scraping start
[2017-11-07 01:00:01] Connected Elasticsearch server
[2017-11-07 01:00:03] Opened PhantomJS webdriver
[2017-11-07 01:00:03] Complete to bring blogs seed page
[2017-11-07 01:00:04] Complete to move to travel category
[2017-11-07 01:00:05] Complete to move to domestic travel page
[2017-11-07 01:00:05] Start to parse each posts
[2017-11-07 01:00:05] Click the page - 1page
[2017-11-07 01:00:07] Complate to parse - marbin_221133733589
[2017-11-07 01:00:07] Error - Already exists document
[2017-11-07 01:00:07] Complate to parse - exhappyway_221133692144
[2017-11-07 01:00:07] Error - Already exists document
[2017-11-07 01:00:07] Complate to parse - mss2mking_221133671339
[2017-11-07 01:00:07] Error - Already exists document
[2017-11-07 01:00:07] Complate to parse - wls62345_221133701919
[2017-11-07 01:00:07] Error - Already exists document
[2017-11-07 01:00:07] Complate to parse - cute_bbotty_221134045019
[2017-11-07 01:00:07] Error - Already exists document
[2017-11-07 01:00:08] Complate to parse - ghostmom212_221133987745
[2017-11-07 01:00:08] Error - Already exists document
[2017-11-07 01:00:08] Complate to parse - kimyk5088_221133855828
[2017-11-07 01:00:08] Error - Already exists document
[2017-11-07 01:00:08] Complate to parse - fingership_221133769931
[2017-11-07 01:00:08] Error - Already exists document
[2017-11-07 01:00:08] Complate to parse - gusalsp464_221134022658
[2017-11-07 01:00:08] Error - Already exists document
[2017-11-07 01:00:09] Complate to parse - gomsolvie_221133881052
[2017-11-07 01:00:09] Error - Already exists document
[2017-11-07 01:00:09] Click the page - 2page
[2017-11-07 01:00:10] Complate to parse - nahe0904_221133644365
[2017-11-07 01:00:10] Error - Already exists document
[2017-11-07 01:00:11] Complate to parse - mijungo5_221133839683
[2017-11-07 01:00:11] Error - Already exists document
[2017-11-07 01:00:11] Complate to parse - dakto_221133654932
[2017-11-07 01:00:11] Error - Already exists document
[2017-11-07 01:00:11] Complate to parse - natur_herz_221134043022
[2017-11-07 01:00:11] Error - Already exists document
[2017-11-07 01:00:11] Complate to parse - dox1120_221133848800
[2017-11-07 01:00:11] Error - Already exists document
[2017-11-07 01:00:12] Complate to parse - rltjru_221133615473
[2017-11-07 01:00:12] Error - Already exists document
[2017-11-07 01:00:12] Complate to parse - 00starhyunju_221133767391
[2017-11-07 01:00:12] Error - Already exists document
[2017-11-07 01:00:12] Complate to parse - aksgek7_221134029426
[2017-11-07 01:00:12] Error - Already exists document
[2017-11-07 01:00:12] Complate to parse - accaee_221133989891
[2017-11-07 01:00:12] Error - Already exists document
[2017-11-07 01:00:13] Complate to parse - maisonsondemul_221133901115
[2017-11-07 01:00:13] Error - Already exists document
[2017-11-07 01:00:13] Click the page - 3page
[2017-11-07 01:00:14] Complate to parse - wwwon2_221133872525
[2017-11-07 01:00:14] Error - Already exists document
[2017-11-07 01:00:15] Complate to parse - jejulovetour_221133823650
[2017-11-07 01:00:15] Error - Already exists document
[2017-11-07 01:00:15] Complate to parse - wls62345_221133760062
[2017-11-07 01:00:15] Error - Already exists document
[2017-11-07 01:00:15] Complate to parse - jesty3978_221133650598
[2017-11-07 01:00:15] Error - Already exists document
[2017-11-07 01:00:15] Complate to parse - limky5882_221133633622
[2017-11-07 01:00:15] Error - Already exists document
[2017-11-07 01:00:15] Complate to parse - hahaha1504_221133626830
[2017-11-07 01:00:15] Error - Already exists document
[2017-11-07 01:00:15] Complate to parse - hp0210_221134025430
[2017-11-07 01:00:16] Error - Already exists document
[2017-11-07 01:00:16] Complate to parse - cscom1890_221133982335
[2017-11-07 01:00:16] Error - Already exists document
[2017-11-07 01:00:16] Complate to parse - sg83love_221133975555
[2017-11-07 01:00:16] Error - Already exists document
[2017-11-07 01:00:16] Complate to parse - you1620_221133163210
[2017-11-07 01:00:16] Error - Already exists document
[2017-11-07 01:00:16] Click the page - 4page
[2017-11-07 01:00:18] Complate to parse - kjia76_221133818297
[2017-11-07 01:00:18] Error - Already exists document
[2017-11-07 01:00:18] Complate to parse - sunmi0402_221133791584
[2017-11-07 01:00:18] Error - Already exists document
[2017-11-07 01:00:19] Complate to parse - sanijowa_221133691179
[2017-11-07 01:00:19] Error - Already exists document
[2017-11-07 01:00:19] Complate to parse - seoyh1047_221133690916
[2017-11-07 01:00:19] Error - Already exists document
[2017-11-07 01:00:19] Complate to parse - violetravel_221133658802
[2017-11-07 01:00:19] Error - Already exists document
[2017-11-07 01:00:19] Complate to parse - sseotaiji_221133633911
[2017-11-07 01:00:19] Error - Already exists document
[2017-11-07 01:00:19] Complate to parse - oblove3_221134010658
[2017-11-07 01:00:19] Error - Already exists document
[2017-11-07 01:00:20] Complate to parse - nba123a_221133837737
[2017-11-07 01:00:20] Error - Already exists document
[2017-11-07 01:00:20] Complate to parse - kyr3690_221133790799
[2017-11-07 01:00:20] Error - Already exists document
[2017-11-07 01:00:20] Complate to parse - jinju5471_221133668464
[2017-11-07 01:00:20] Error - Already exists document
[2017-11-07 01:00:20] Click the page - 5page
[2017-11-07 01:00:22] Complate to parse - pjq000_221134091901
[2017-11-07 01:00:22] Complate to percolate - pjq000_221134091901
[2017-11-07 01:00:23] Complate to parse - dasan_books_221133970929
[2017-11-07 01:00:23] Error - Already exists document
[2017-11-07 01:00:23] Complate to parse - 333goo_221133921998
[2017-11-07 01:00:23] Error - Already exists document
[2017-11-07 01:00:23] Complate to parse - hanarin0730_221133898690
[2017-11-07 01:00:23] Error - Already exists document
[2017-11-07 01:00:23] Complate to parse - bobtini8_221133812387
[2017-11-07 01:00:23] Error - Already exists document
[2017-11-07 01:00:24] Complate to parse - kosh9767_221133532608
[2017-11-07 01:00:24] Error - Already exists document
[2017-11-07 01:00:24] Complate to parse - bnbmoh_221133891352
[2017-11-07 01:00:24] Error - Already exists document
[2017-11-07 01:00:25] Complate to parse - nh88nh_221133709029
[2017-11-07 01:00:25] Error - Already exists document
[2017-11-07 01:00:25] Complate to parse - jinju0788_221134040944
[2017-11-07 01:00:25] Error - Already exists document
[2017-11-07 01:00:25] Complate to parse - blog0149_221133955158
[2017-11-07 01:00:25] Error - Already exists document
[2017-11-07 01:00:25] Click the page - 6page
[2017-11-07 01:00:27] Complate to parse - kpostbank_221131921520
[2017-11-07 01:00:27] Error - Already exists document
[2017-11-07 01:00:27] Complate to parse - yeosuever_221133874552
[2017-11-07 01:00:27] Error - Already exists document
[2017-11-07 01:00:27] Complate to parse - gustn1007_221133839764
[2017-11-07 01:00:27] Error - Already exists document
[2017-11-07 01:00:27] Complate to parse - jejubnf_221133765052
[2017-11-07 01:00:28] Error - Already exists document
[2017-11-07 01:00:28] Complate to parse - yrjs0211_221133810563
[2017-11-07 01:00:28] Error - Already exists document
[2017-11-07 01:00:28] Complate to parse - ecopic2015_221133784445
[2017-11-07 01:00:28] Error - Already exists document
[2017-11-07 01:00:28] Complate to parse - bloom5487_221133778059
[2017-11-07 01:00:28] Error - Already exists document
[2017-11-07 01:00:28] Complate to parse - jmo0829_221133771189
[2017-11-07 01:00:28] Error - Already exists document
[2017-11-07 01:00:28] Complate to parse - snscometome_221133768328
[2017-11-07 01:00:28] Error - Already exists document
[2017-11-07 01:00:29] Complate to parse - autolian_221133765290
[2017-11-07 01:00:29] Error - Already exists document
[2017-11-07 01:00:29] Click the page - 7page
[2017-11-07 01:00:31] Complate to parse - bloom5487_221133764972
[2017-11-07 01:00:31] Error - Already exists document
[2017-11-07 01:00:31] Complate to parse - kkokkoddu_221133763309
[2017-11-07 01:00:31] Error - Already exists document
[2017-11-07 01:00:31] Complate to parse - numongs_221133760239
[2017-11-07 01:00:31] Error - Already exists document
[2017-11-07 01:00:31] Complate to parse - jujupinky_221133735011
[2017-11-07 01:00:31] Error - Already exists document
[2017-11-07 01:00:31] Complate to parse - 0purelop0_221133704399
[2017-11-07 01:00:31] Error - Already exists document
[2017-11-07 01:00:31] Complate to parse - suncheonsi_221133702891
[2017-11-07 01:00:31] Error - Already exists document
[2017-11-07 01:00:32] Complate to parse - euro1984_221133693976
[2017-11-07 01:00:32] Error - Already exists document
[2017-11-07 01:00:32] Complate to parse - ssovely8_221133684473
[2017-11-07 01:00:32] Error - Already exists document
[2017-11-07 01:00:32] Complate to parse - ppoby1004_221133672447
[2017-11-07 01:00:32] Error - Already exists document
[2017-11-07 01:00:32] Complate to parse - 1429son_221133646779
[2017-11-07 01:00:32] Error - Already exists document
[2017-11-07 01:00:32] Click the page - 8page
[2017-11-07 01:00:34] Complate to parse - junhyuk_abba_221133637608
[2017-11-07 01:00:34] Error - Already exists document
[2017-11-07 01:00:34] Complate to parse - idioe48_221133495349
[2017-11-07 01:00:34] Error - Already exists document
[2017-11-07 01:00:34] Complate to parse - kseongyeon_221133630720
[2017-11-07 01:00:34] Error - Already exists document
[2017-11-07 01:00:35] Complate to parse - violetjeun_221134090458
[2017-11-07 01:00:35] Complate to percolate - violetjeun_221134090458
[2017-11-07 01:00:35] Complate to parse - sun751213_221134061654
[2017-11-07 01:00:35] Error - Already exists document
[2017-11-07 01:00:35] Complate to parse - jb12mook_221134047148
[2017-11-07 01:00:35] Error - Already exists document
[2017-11-07 01:00:35] Complate to parse - elkjbc_221133994401
[2017-11-07 01:00:35] Error - Already exists document
