[2017-11-06 11:00:02] Scraping start
[2017-11-06 11:00:02] Connected Elasticsearch server
[2017-11-06 11:00:03] Opened PhantomJS webdriver
[2017-11-06 11:00:04] Complete to bring blogs seed page
[2017-11-06 11:00:04] Complete to move to travel category
[2017-11-06 11:00:05] Complete to move to domestic travel page
[2017-11-06 11:00:05] Start to parse each posts
[2017-11-06 11:00:05] Click the page - 1page
[2017-11-06 11:00:07] Complate to parse - jtowelcome_221133445965
[2017-11-06 11:00:07] Complate to percolate - jtowelcome_221133445965
[2017-11-06 11:00:07] Complate to parse - kkongi3028_221133423973
[2017-11-06 11:00:07] Error - Already exists document
[2017-11-06 11:00:07] Complate to parse - ksb115205_221133459652
[2017-11-06 11:00:08] Complate to percolate - ksb115205_221133459652
[2017-11-06 11:00:08] Complate to parse - sayjune2005_221133424440
[2017-11-06 11:00:08] Error - Already exists document
[2017-11-06 11:00:08] Complate to parse - anndam_221132554307
[2017-11-06 11:00:08] Error - Already exists document
[2017-11-06 11:00:08] Complate to parse - lsy5088_221133216240
[2017-11-06 11:00:08] Error - Already exists document
[2017-11-06 11:00:09] Complate to parse - 8302yang_221133412962
[2017-11-06 11:00:09] Error - Already exists document
[2017-11-06 11:00:09] Complate to parse - cucuya21_221133445754
[2017-11-06 11:00:09] Complate to percolate - cucuya21_221133445754
[2017-11-06 11:00:09] Complate to parse - hanjun66_221133218004
[2017-11-06 11:00:09] Error - Already exists document
[2017-11-06 11:00:09] Complate to parse - nailstan_221133186900
[2017-11-06 11:00:10] Complate to percolate - nailstan_221133186900
[2017-11-06 11:00:10] Click the page - 2page
[2017-11-06 11:00:11] Complate to parse - shillajeju__221131919410
[2017-11-06 11:00:11] Error - Already exists document
[2017-11-06 11:00:12] Complate to parse - kaite1130_221133275726
[2017-11-06 11:00:12] Error - Already exists document
[2017-11-06 11:00:12] Complate to parse - suk4408_221133030577
[2017-11-06 11:00:12] Error - Already exists document
[2017-11-06 11:00:12] Complate to parse - jbm993_221133023359
[2017-11-06 11:00:12] Error - Already exists document
[2017-11-06 11:00:12] Complate to parse - suheeryu_221132526364
[2017-11-06 11:00:12] Error - Already exists document
[2017-11-06 11:00:12] Complate to parse - goldenkd_221133069323
[2017-11-06 11:00:12] Error - Already exists document
[2017-11-06 11:00:13] Complate to parse - miyea5_221133272929
[2017-11-06 11:00:13] Error - Already exists document
[2017-11-06 11:00:13] Complate to parse - suni2park_221133384483
[2017-11-06 11:00:13] Complate to percolate - suni2park_221133384483
[2017-11-06 11:00:13] Complate to parse - okaban_221133374969
[2017-11-06 11:00:13] Complate to percolate - okaban_221133374969
[2017-11-06 11:00:14] Complate to parse - soon09143_221133008074
[2017-11-06 11:00:14] Error - Already exists document
[2017-11-06 11:00:14] Click the page - 3page
[2017-11-06 11:00:16] Complate to parse - ljw9773_221127847505
[2017-11-06 11:00:16] Error - Already exists document
[2017-11-06 11:00:16] Complate to parse - sajapyung_221133431156
[2017-11-06 11:00:16] Complate to percolate - sajapyung_221133431156
[2017-11-06 11:00:16] Complate to parse - gikimi23_221133428153
[2017-11-06 11:00:16] Complate to percolate - gikimi23_221133428153
[2017-11-06 11:00:16] Complate to parse - croxriver_221130169712
[2017-11-06 11:00:16] Error - Already exists document
[2017-11-06 11:00:17] Complate to parse - tpsxj8585_221133409116
[2017-11-06 11:00:17] Error - Already exists document
[2017-11-06 11:00:17] Complate to parse - hp0210_221133404745
[2017-11-06 11:00:17] Error - Already exists document
[2017-11-06 11:00:17] Complate to parse - youngrb_221133253851
[2017-11-06 11:00:17] Error - Already exists document
[2017-11-06 11:00:17] Complate to parse - goodjcs_221132883640
[2017-11-06 11:00:17] Error - Already exists document
[2017-11-06 11:00:17] Complate to parse - starofmemory_221133396380
[2017-11-06 11:00:17] Error - Already exists document
[2017-11-06 11:00:18] Complate to parse - r9600495_221133393503
[2017-11-06 11:00:18] Error - Already exists document
[2017-11-06 11:00:18] Click the page - 4page
[2017-11-06 11:00:20] Complate to parse - afeleia_221133463885
[2017-11-06 11:00:20] Complate to percolate - afeleia_221133463885
[2017-11-06 11:00:20] Complate to parse - lyu1388_221132942595
[2017-11-06 11:00:20] Error - Already exists document
[2017-11-06 11:00:20] Complate to parse - tudvhfpqj_221133435843
[2017-11-06 11:00:21] Complate to percolate - tudvhfpqj_221133435843
[2017-11-06 11:00:21] Complate to parse - bbibbiana89_221133435533
[2017-11-06 11:00:21] Complate to percolate - bbibbiana89_221133435533
[2017-11-06 11:00:21] Complate to parse - ddawndew_221133368028
[2017-11-06 11:00:21] Complate to percolate - ddawndew_221133368028
[2017-11-06 11:00:21] Complate to parse - idioe48_221131712146
[2017-11-06 11:00:21] Error - Already exists document
[2017-11-06 11:00:22] Complate to parse - ehy2106_221131989594
[2017-11-06 11:00:22] Error - Already exists document
[2017-11-06 11:00:22] Complate to parse - klj3486_221133279627
[2017-11-06 11:00:22] Error - Already exists document
[2017-11-06 11:00:22] Complate to parse - bong860527_221133440312
[2017-11-06 11:00:22] Complate to percolate - bong860527_221133440312
[2017-11-06 11:00:23] Complate to parse - bk85219_221123598113
[2017-11-06 11:00:23] Error - Already exists document
[2017-11-06 11:00:23] Click the page - 5page
[2017-11-06 11:00:24] Complate to parse - bada3347_221133416667
[2017-11-06 11:00:24] Error - Already exists document
[2017-11-06 11:00:25] Complate to parse - hari33_221133376359
[2017-11-06 11:00:25] Error - Already exists document
[2017-11-06 11:00:25] Complate to parse - kimnyanghk_221133444660
[2017-11-06 11:00:25] Complate to percolate - kimnyanghk_221133444660
[2017-11-06 11:00:25] Complate to parse - antaihee_221133420011
[2017-11-06 11:00:25] Error - Already exists document
[2017-11-06 11:00:25] Complate to parse - rockyu205_221123899364
[2017-11-06 11:00:25] Error - Already exists document
[2017-11-06 11:00:26] Complate to parse - kyunmom0413_221133331425
[2017-11-06 11:00:26] Error - Already exists document
[2017-11-06 11:00:26] Complate to parse - kobyungja_221133322387
[2017-11-06 11:00:26] Error - Already exists document
[2017-11-06 11:00:26] Complate to parse - miny8828_221132622103
[2017-11-06 11:00:26] Error - Already exists document
[2017-11-06 11:00:26] Complate to parse - mutability77_221133217754
[2017-11-06 11:00:26] Error - Already exists document
[2017-11-06 11:00:26] Complate to parse - joo1609_221133473978
[2017-11-06 11:00:27] Complate to percolate - joo1609_221133473978
[2017-11-06 11:00:27] Click the page - 6page
[2017-11-06 11:00:29] Complate to parse - hyang2yaaa_221133465336
[2017-11-06 11:00:29] Complate to percolate - hyang2yaaa_221133465336
[2017-11-06 11:00:29] Complate to parse - babtol2000_221133455291
[2017-11-06 11:00:29] Complate to percolate - babtol2000_221133455291
[2017-11-06 11:00:29] Complate to parse - lyulyu221_221133451804
[2017-11-06 11:00:30] Complate to percolate - lyulyu221_221133451804
[2017-11-06 11:00:30] Complate to parse - a0ap1p_221133449137
[2017-11-06 11:00:30] Complate to percolate - a0ap1p_221133449137
[2017-11-06 11:00:30] Complate to parse - wella5442_221133328914
[2017-11-06 11:00:31] Complate to percolate - wella5442_221133328914
[2017-11-06 11:00:31] Complate to parse - mina860527_221133206705
[2017-11-06 11:00:31] Error - Already exists document
[2017-11-06 11:00:31] Complate to parse - jma2564_221133429372
[2017-11-06 11:00:31] Complate to percolate - jma2564_221133429372
[2017-11-06 11:00:31] Complate to parse - sko100400_221133428211
[2017-11-06 11:00:32] Complate to percolate - sko100400_221133428211
[2017-11-06 11:00:32] Complate to parse - fairwalking_221133266697
[2017-11-06 11:00:32] Error - Already exists document
[2017-11-06 11:00:32] Complate to parse - okmy0721_221133417391
[2017-11-06 11:00:32] Error - Already exists document
[2017-11-06 11:00:32] Click the page - 7page
[2017-11-06 11:00:34] Complate to parse - whlee0517_221133325904
[2017-11-06 11:00:34] Error - Already exists document
[2017-11-06 11:00:34] Complate to parse - jvj24601_221133401687
[2017-11-06 11:00:34] Error - Already exists document
[2017-11-06 11:00:35] Complate to parse - ambidext_221133398711
[2017-11-06 11:00:35] Error - Already exists document
[2017-11-06 11:00:35] Complate to parse - iyc21net_221127890083
[2017-11-06 11:00:35] Complate to percolate - iyc21net_221127890083
[2017-11-06 11:00:35] Complate to parse - ckh1558_221133026779
[2017-11-06 11:00:35] Error - Already exists document
[2017-11-06 11:00:35] Complate to parse - jhkimism_221121078721
[2017-11-06 11:00:35] Error - Already exists document
[2017-11-06 11:00:36] Complate to parse - dirch10_221133294157
[2017-11-06 11:00:36] Error - Already exists document
[2017-11-06 11:00:36] Complate to parse - dinogoseong_221130302165
[2017-11-06 11:00:36] Complate to percolate - dinogoseong_221130302165
[2017-11-06 11:00:36] Complate to parse - usgreen99_221133481474
[2017-11-06 11:00:36] Complate to percolate - usgreen99_221133481474
[2017-11-06 11:00:37] Complate to parse - st_leo_221133465008
[2017-11-06 11:00:37] Complate to percolate - st_leo_221133465008
[2017-11-06 11:00:37] Click the page - 8page
[2017-11-06 11:00:39] Complate to parse - joolp00_221133458314
[2017-11-06 11:00:39] Complate to percolate - joolp00_221133458314
[2017-11-06 11:00:39] Complate to parse - nay87_221133454817
[2017-11-06 11:00:39] Complate to percolate - nay87_221133454817
[2017-11-06 11:00:39] Complate to parse - jeju8253_221133433767
[2017-11-06 11:00:40] Complate to percolate - jeju8253_221133433767
[2017-11-06 11:00:40] Complate to parse - rys21c_221132706906
[2017-11-06 11:00:40] Error - Already exists document
[2017-11-06 11:00:40] Complate to parse - deuboring2_221133409827
[2017-11-06 11:00:40] Error - Already exists document
[2017-11-06 11:00:40] Complate to parse - nicearra_221133400069
[2017-11-06 11:00:40] Error - Already exists document
[2017-11-06 11:00:40] Complate to parse - radet320_221133273349
[2017-11-06 11:00:41] Complate to percolate - radet320_221133273349
[2017-11-06 11:00:41] Complate to parse - dailytalk_hy_221133492712
[2017-11-06 11:00:41] Complate to percolate - dailytalk_hy_221133492712
[2017-11-06 11:00:41] Complate to parse - gkak1011_221133466595
[2017-11-06 11:00:42] Complate to percolate - gkak1011_221133466595
[2017-11-06 11:00:42] Complate to parse - skinsa_221133170373
[2017-11-06 11:00:42] Error - Already exists document
[2017-11-06 11:00:42] Click the page - 9page
[2017-11-06 11:00:44] Complate to parse - shinbi63_221133427054
[2017-11-06 11:00:44] Complate to percolate - shinbi63_221133427054
[2017-11-06 11:00:44] Complate to parse - somdari496_221131559237
[2017-11-06 11:00:44] Complate to percolate - somdari496_221131559237
[2017-11-06 11:00:44] Complate to parse - jbn9988_221133290721
[2017-11-06 11:00:44] Error - Already exists document
[2017-11-06 11:00:45] Complate to parse - brisgill_221131574820
[2017-11-06 11:00:45] Error - Already exists document
[2017-11-06 11:00:45] Complate to parse - yhanhyo_221133141841
[2017-11-06 11:00:45] Error - Already exists document
[2017-11-06 11:00:45] Complate to parse - csy817_221133098825
[2017-11-06 11:00:45] Error - Already exists document
[2017-11-06 11:00:45] Complate to parse - narulove09_221128192457
[2017-11-06 11:00:45] Error - Already exists document
[2017-11-06 11:00:45] Complate to parse - 7wayjeju_221133268078
[2017-11-06 11:00:45] Error - Already exists document
[2017-11-06 11:00:46] Complate to parse - organic_c2c_221133204623
[2017-11-06 11:00:46] Error - Already exists document
[2017-11-06 11:00:46] Complate to parse - micky0928_221127980227
[2017-11-06 11:00:46] Error - Already exists document
[2017-11-06 11:00:46] Click the page - 10page
[2017-11-06 11:00:48] Complate to parse - coya1016_221133274188
[2017-11-06 11:00:48] Error - Already exists document
[2017-11-06 11:00:48] Complate to parse - tnews_221133267254
[2017-11-06 11:00:48] Error - Already exists document
[2017-11-06 11:00:48] Complate to parse - unninephoto_221133471464
[2017-11-06 11:00:48] Complate to percolate - unninephoto_221133471464
[2017-11-06 11:00:48] Complate to parse - sweetcinnamonroll_221133442326
[2017-11-06 11:00:48] Complate to percolate - sweetcinnamonroll_221133442326
[2017-11-06 11:00:49] Complate to parse - spskgrprycauquw_221132335316
[2017-11-06 11:00:49] Error - Already exists document
[2017-11-06 11:00:49] Complate to parse - leeba37_221133346608
[2017-11-06 11:00:49] Complate to percolate - leeba37_221133346608
[2017-11-06 11:00:49] Complate to parse - ghy920_221133432937
[2017-11-06 11:00:49] Complate to percolate - ghy920_221133432937
[2017-11-06 11:00:50] Complate to parse - meei__221133430873
[2017-11-06 11:00:50] Complate to percolate - meei__221133430873
[2017-11-06 11:00:50] Complate to parse - minahongkong_221133429316
[2017-11-06 11:00:50] Complate to percolate - minahongkong_221133429316
[2017-11-06 11:00:50] Complate to parse - 7lovei_221133371578
[2017-11-06 11:00:50] Error - Already exists document
[2017-11-06 11:00:50] Click the next
[2017-11-06 11:00:50] Click the page - 11page
[2017-11-06 11:00:52] Complate to parse - jeju3377_221133301573
[2017-11-06 11:00:52] Error - Already exists document
[2017-11-06 11:00:52] Complate to parse - sandcastle44_221133288040
[2017-11-06 11:00:52] Error - Already exists document
[2017-11-06 11:00:53] Complate to parse - drttop_221133266743
[2017-11-06 11:00:53] Error - Already exists document
[2017-11-06 11:00:53] Complate to parse - hdn0525_221133260451
[2017-11-06 11:00:53] Error - Already exists document
[2017-11-06 11:00:53] Complate to parse - jejubnf_221133488111
[2017-11-06 11:00:53] Complate to percolate - jejubnf_221133488111
[2017-11-06 11:00:53] Complate to parse - hong0691_221133474664
[2017-11-06 11:00:54] Complate to percolate - hong0691_221133474664
[2017-11-06 11:00:54] Complate to parse - chammaja1_221133459739
[2017-11-06 11:00:54] Complate to percolate - chammaja1_221133459739
[2017-11-06 11:00:54] Complate to parse - papa3367_221130933778
[2017-11-06 11:00:54] Error - Already exists document
[2017-11-06 11:00:54] Complate to parse - nagaa_y_221131612078
[2017-11-06 11:00:54] Error - Already exists document
[2017-11-06 11:00:55] Complate to parse - bnosun_221132216247
[2017-11-06 11:00:55] Error - Already exists document
[2017-11-06 11:00:55] Click the page - 12page
[2017-11-06 11:00:57] Complate to parse - tryukjin_221133290306
[2017-11-06 11:00:57] Error - Already exists document
[2017-11-06 11:00:57] Complate to parse - amc7609_221133269321
[2017-11-06 11:00:57] Error - Already exists document
[2017-11-06 11:00:57] Complate to parse - namesora_221133492398
[2017-11-06 11:00:57] Complate to percolate - namesora_221133492398
[2017-11-06 11:00:57] Complate to parse - hjin066_221133489856
[2017-11-06 11:00:58] Complate to percolate - hjin066_221133489856
[2017-11-06 11:00:58] Complate to parse - ming_7663_221133480923
[2017-11-06 11:00:58] Complate to percolate - ming_7663_221133480923
[2017-11-06 11:00:58] Complate to parse - minororo_221133468975
[2017-11-06 11:00:58] Complate to percolate - minororo_221133468975
[2017-11-06 11:00:59] Complate to parse - kryhappy_221133469503
[2017-11-06 11:00:59] Complate to percolate - kryhappy_221133469503
[2017-11-06 11:00:59] Complate to parse - nova750_221133472327
[2017-11-06 11:00:59] Complate to percolate - nova750_221133472327
[2017-11-06 11:00:59] Complate to parse - s2sue_221133469589
[2017-11-06 11:01:00] Complate to percolate - s2sue_221133469589
[2017-11-06 11:01:00] Complate to parse - yeoniess_221132814917
[2017-11-06 11:01:00] Error - Already exists document
[2017-11-06 11:01:00] Click the page - 13page
[2017-11-06 11:01:02] Complate to parse - gbnadri_221133457340
[2017-11-06 11:01:02] Complate to percolate - gbnadri_221133457340
