[2017-11-06 14:00:02] Scraping start
[2017-11-06 14:00:02] Connected Elasticsearch server
[2017-11-06 14:00:03] Opened PhantomJS webdriver
[2017-11-06 14:00:04] Complete to bring blogs seed page
[2017-11-06 14:00:05] Complete to move to travel category
[2017-11-06 14:00:05] Complete to move to domestic travel page
[2017-11-06 14:00:05] Start to parse each posts
[2017-11-06 14:00:05] Click the page - 1page
[2017-11-06 14:00:07] Complate to parse - jtowelcome_221133445965
[2017-11-06 14:00:07] Error - Already exists document
[2017-11-06 14:00:07] Complate to parse - kkongi3028_221133423973
[2017-11-06 14:00:07] Error - Already exists document
[2017-11-06 14:00:08] Complate to parse - ksb115205_221133459652
[2017-11-06 14:00:08] Error - Already exists document
[2017-11-06 14:00:08] Complate to parse - sayjune2005_221133424440
[2017-11-06 14:00:08] Error - Already exists document
[2017-11-06 14:00:08] Complate to parse - daichung_221133587803
[2017-11-06 14:00:09] Complate to percolate - daichung_221133587803
[2017-11-06 14:00:09] Complate to parse - anndam_221132554307
[2017-11-06 14:00:09] Error - Already exists document
[2017-11-06 14:00:09] Complate to parse - lsy5088_221133216240
[2017-11-06 14:00:09] Error - Already exists document
[2017-11-06 14:00:09] Complate to parse - usgreen99_221133481474
[2017-11-06 14:00:09] Error - Already exists document
[2017-11-06 14:00:10] Complate to parse - mina860527_221133206705
[2017-11-06 14:00:10] Error - Already exists document
[2017-11-06 14:00:10] Complate to parse - 8302yang_221133412962
[2017-11-06 14:00:10] Error - Already exists document
[2017-11-06 14:00:10] Click the page - 2page
[2017-11-06 14:00:12] Complate to parse - gukjung_221133609471
[2017-11-06 14:00:12] Complate to percolate - gukjung_221133609471
[2017-11-06 14:00:12] Complate to parse - afeleia_221133463885
[2017-11-06 14:00:12] Error - Already exists document
[2017-11-06 14:00:12] Complate to parse - cucuya21_221133445754
[2017-11-06 14:00:12] Error - Already exists document
[2017-11-06 14:00:13] Complate to parse - hanjun66_221133218004
[2017-11-06 14:00:13] Error - Already exists document
[2017-11-06 14:00:13] Complate to parse - nailstan_221133186900
[2017-11-06 14:00:13] Error - Already exists document
[2017-11-06 14:00:13] Complate to parse - shillajeju__221131919410
[2017-11-06 14:00:13] Error - Already exists document
[2017-11-06 14:00:13] Complate to parse - bbibbiana89_221133435533
[2017-11-06 14:00:13] Error - Already exists document
[2017-11-06 14:00:13] Complate to parse - kaite1130_221133275726
[2017-11-06 14:00:13] Error - Already exists document
[2017-11-06 14:00:14] Complate to parse - suk4408_221133030577
[2017-11-06 14:00:14] Error - Already exists document
[2017-11-06 14:00:14] Complate to parse - jbm993_221133023359
[2017-11-06 14:00:14] Error - Already exists document
[2017-11-06 14:00:14] Click the page - 3page
[2017-11-06 14:00:16] Complate to parse - suheeryu_221132526364
[2017-11-06 14:00:16] Error - Already exists document
[2017-11-06 14:00:16] Complate to parse - goldenkd_221133069323
[2017-11-06 14:00:16] Error - Already exists document
[2017-11-06 14:00:16] Complate to parse - nopqda_221133564393
[2017-11-06 14:00:16] Error - Already exists document
[2017-11-06 14:00:16] Complate to parse - suni2park_221133384483
[2017-11-06 14:00:16] Error - Already exists document
[2017-11-06 14:00:17] Complate to parse - okaban_221133374969
[2017-11-06 14:00:17] Error - Already exists document
[2017-11-06 14:00:18] Complate to parse - troy1219_221133607579
[2017-11-06 14:00:18] Complate to percolate - troy1219_221133607579
[2017-11-06 14:00:18] Complate to parse - sksmstls1106_221132643259
[2017-11-06 14:00:18] Error - Already exists document
[2017-11-06 14:00:18] Complate to parse - hyang2yaaa_221133465336
[2017-11-06 14:00:18] Error - Already exists document
[2017-11-06 14:00:19] Complate to parse - soon09143_221133008074
[2017-11-06 14:00:19] Error - Already exists document
[2017-11-06 14:00:19] Complate to parse - labbor_221133567784
[2017-11-06 14:00:19] Error - Already exists document
[2017-11-06 14:00:19] Click the page - 4page
[2017-11-06 14:00:21] Complate to parse - kyunmom0413_221133331425
[2017-11-06 14:00:21] Error - Already exists document
[2017-11-06 14:00:21] Complate to parse - seinlove0523_221133497750
[2017-11-06 14:00:21] Error - Already exists document
[2017-11-06 14:00:22] Complate to parse - daesunjujo_221133497099
[2017-11-06 14:00:22] Error - Already exists document
[2017-11-06 14:00:22] Complate to parse - namesora_221133492398
[2017-11-06 14:00:22] Error - Already exists document
[2017-11-06 14:00:22] Complate to parse - joo1609_221133473978
[2017-11-06 14:00:22] Error - Already exists document
[2017-11-06 14:00:22] Complate to parse - ljw9773_221127847505
[2017-11-06 14:00:22] Error - Already exists document
[2017-11-06 14:00:22] Complate to parse - lyulyu221_221133451804
[2017-11-06 14:00:22] Error - Already exists document
[2017-11-06 14:00:23] Complate to parse - a0ap1p_221133449137
[2017-11-06 14:00:23] Error - Already exists document
[2017-11-06 14:00:23] Complate to parse - bong860527_221133440312
[2017-11-06 14:00:23] Error - Already exists document
[2017-11-06 14:00:23] Complate to parse - sajapyung_221133431156
[2017-11-06 14:00:23] Error - Already exists document
[2017-11-06 14:00:23] Click the page - 5page
[2017-11-06 14:00:25] Complate to parse - gikimi23_221133428153
[2017-11-06 14:00:25] Error - Already exists document
[2017-11-06 14:00:25] Complate to parse - croxriver_221130169712
[2017-11-06 14:00:25] Error - Already exists document
[2017-11-06 14:00:25] Complate to parse - tpsxj8585_221133409116
[2017-11-06 14:00:25] Error - Already exists document
[2017-11-06 14:00:25] Complate to parse - hp0210_221133404745
[2017-11-06 14:00:25] Error - Already exists document
