[2017-11-08 11:00:01] Scraping start
[2017-11-08 11:00:01] Connected Elasticsearch server
[2017-11-08 11:00:03] Opened PhantomJS webdriver
[2017-11-08 11:00:07] Complete to bring blogs seed page
[2017-11-08 11:00:07] Complete to move to travel category
[2017-11-08 11:00:08] Complete to move to domestic travel page
[2017-11-08 11:00:08] Start to parse each posts
[2017-11-08 11:00:08] Click the page - 1page
[2017-11-08 11:00:11] Complate to parse - shillajeju__221134711242
[2017-11-08 11:00:11] Error - Already exists document
[2017-11-08 11:00:11] Complate to parse - jcjkks_221127464372
[2017-11-08 11:00:11] Error - Already exists document
[2017-11-08 11:00:11] Complate to parse - 8302yang_221135081513
[2017-11-08 11:00:11] Error - Already exists document
[2017-11-08 11:00:11] Complate to parse - kkongi3028_221134827471
[2017-11-08 11:00:11] Error - Already exists document
[2017-11-08 11:00:12] Complate to parse - natur_herz_221134955234
[2017-11-08 11:00:12] Error - Already exists document
[2017-11-08 11:00:12] Complate to parse - cyc0913_221133936579
[2017-11-08 11:00:12] Error - Already exists document
[2017-11-08 11:00:12] Complate to parse - whdrnr95_221134771425
[2017-11-08 11:00:12] Error - Already exists document
[2017-11-08 11:00:12] Complate to parse - hp0210_221134826251
[2017-11-08 11:00:12] Error - Already exists document
[2017-11-08 11:00:13] Complate to parse - suhochung_221134164849
[2017-11-08 11:00:13] Error - Already exists document
[2017-11-08 11:00:13] Complate to parse - ddawndew_221135022856
[2017-11-08 11:00:13] Error - Already exists document
[2017-11-08 11:00:13] Click the page - 2page
[2017-11-08 11:00:15] Complate to parse - jhgeel_221134089111
[2017-11-08 11:00:15] Error - Already exists document
[2017-11-08 11:00:15] Complate to parse - jtowelcome_221135097117
[2017-11-08 11:00:15] Error - Already exists document
[2017-11-08 11:00:15] Complate to parse - top4228_221132087560
[2017-11-08 11:00:15] Error - Already exists document
[2017-11-08 11:00:15] Complate to parse - maimai20_221133962673
[2017-11-08 11:00:15] Error - Already exists document
[2017-11-08 11:00:17] Complate to parse - juomsook21_221135011966
[2017-11-08 11:00:17] Error - Already exists document
[2017-11-08 11:00:17] Complate to parse - bolikeme_221133798744
[2017-11-08 11:00:17] Error - Already exists document
[2017-11-08 11:00:18] Complate to parse - anndam_221132602846
[2017-11-08 11:00:18] Error - Already exists document
[2017-11-08 11:00:18] Complate to parse - jokjcj_221134952240
[2017-11-08 11:00:18] Error - Already exists document
[2017-11-08 11:00:18] Complate to parse - lsy5088_221134978235
[2017-11-08 11:00:18] Error - Already exists document
[2017-11-08 11:00:19] Complate to parse - suk4408_221134908884
[2017-11-08 11:00:19] Error - Already exists document
[2017-11-08 11:00:19] Click the page - 3page
[2017-11-08 11:00:21] Complate to parse - soon09143_221134832488
[2017-11-08 11:00:21] Error - Already exists document
[2017-11-08 11:00:21] Complate to parse - kci_kci_221135062205
[2017-11-08 11:00:21] Error - Already exists document
[2017-11-08 11:00:21] Complate to parse - ichmount_221131699932
[2017-11-08 11:00:21] Error - Already exists document
[2017-11-08 11:00:21] Complate to parse - dptmfdl3135_221134984334
[2017-11-08 11:00:21] Error - Already exists document
[2017-11-08 11:00:21] Complate to parse - dailytalk_hy_221134956249
[2017-11-08 11:00:21] Error - Already exists document
[2017-11-08 11:00:22] Complate to parse - rkdfurgkrp_221134820284
[2017-11-08 11:00:22] Error - Already exists document
[2017-11-08 11:00:22] Complate to parse - songsdang_221134979136
[2017-11-08 11:00:22] Error - Already exists document
[2017-11-08 11:00:22] Complate to parse - trueka20_221134914945
[2017-11-08 11:00:22] Error - Already exists document
