[2017-11-06 22:00:01] Scraping start
[2017-11-06 22:00:01] Connected Elasticsearch server
[2017-11-06 22:00:03] Opened PhantomJS webdriver
[2017-11-06 22:00:04] Complete to bring blogs seed page
[2017-11-06 22:00:04] Complete to move to travel category
[2017-11-06 22:00:05] Complete to move to domestic travel page
[2017-11-06 22:00:05] Start to parse each posts
[2017-11-06 22:00:05] Click the page - 1page
[2017-11-06 22:00:06] Complate to parse - gukjung_221133609471
[2017-11-06 22:00:07] Error - Already exists document
[2017-11-06 22:00:07] Complate to parse - exhappyway_221133692144
[2017-11-06 22:00:07] Error - Already exists document
[2017-11-06 22:00:07] Complate to parse - marbin_221133733589
[2017-11-06 22:00:07] Error - Already exists document
[2017-11-06 22:00:07] Complate to parse - mss2mking_221133671339
[2017-11-06 22:00:07] Error - Already exists document
[2017-11-06 22:00:08] Complate to parse - daichung_221133587803
[2017-11-06 22:00:08] Error - Already exists document
[2017-11-06 22:00:08] Complate to parse - kimyk5088_221133855828
[2017-11-06 22:00:08] Error - Already exists document
[2017-11-06 22:00:08] Complate to parse - fingership_221133769931
[2017-11-06 22:00:08] Error - Already exists document
[2017-11-06 22:00:08] Complate to parse - gomsolvie_221133881052
[2017-11-06 22:00:08] Error - Already exists document
[2017-11-06 22:00:09] Complate to parse - nahe0904_221133644365
[2017-11-06 22:00:09] Error - Already exists document
[2017-11-06 22:00:09] Complate to parse - dakto_221133654932
[2017-11-06 22:00:09] Error - Already exists document
[2017-11-06 22:00:09] Click the page - 2page
[2017-11-06 22:00:11] Complate to parse - dox1120_221133848800
[2017-11-06 22:00:11] Error - Already exists document
[2017-11-06 22:00:11] Complate to parse - rltjru_221133615473
[2017-11-06 22:00:11] Error - Already exists document
[2017-11-06 22:00:11] Complate to parse - 00starhyunju_221133767391
[2017-11-06 22:00:11] Error - Already exists document
[2017-11-06 22:00:11] Complate to parse - wwwon2_221133872525
[2017-11-06 22:00:11] Error - Already exists document
[2017-11-06 22:00:12] Complate to parse - jejulovetour_221133823650
[2017-11-06 22:00:12] Error - Already exists document
[2017-11-06 22:00:12] Complate to parse - wls62345_221133701919
[2017-11-06 22:00:12] Error - Already exists document
[2017-11-06 22:00:12] Complate to parse - jesty3978_221133650598
[2017-11-06 22:00:12] Error - Already exists document
[2017-11-06 22:00:12] Complate to parse - limky5882_221133633622
[2017-11-06 22:00:12] Error - Already exists document
[2017-11-06 22:00:12] Complate to parse - hahaha1504_221133626830
[2017-11-06 22:00:12] Error - Already exists document
[2017-11-06 22:00:13] Complate to parse - goldkmsa_221133574513
[2017-11-06 22:00:13] Error - Already exists document
[2017-11-06 22:00:13] Click the page - 3page
[2017-11-06 22:00:14] Complate to parse - findjeju_221133562586
[2017-11-06 22:00:14] Error - Already exists document
[2017-11-06 22:00:15] Complate to parse - 3dnjf06_221133548912
[2017-11-06 22:00:15] Error - Already exists document
[2017-11-06 22:00:15] Complate to parse - daesunjujo_221133497099
[2017-11-06 22:00:15] Error - Already exists document
[2017-11-06 22:00:15] Complate to parse - usgreen99_221133481474
[2017-11-06 22:00:15] Error - Already exists document
[2017-11-06 22:00:15] Complate to parse - ghostmom212_221133987745
[2017-11-06 22:00:15] Complate to percolate - ghostmom212_221133987745
[2017-11-06 22:00:16] Complate to parse - you1620_221133163210
[2017-11-06 22:00:16] Error - Already exists document
[2017-11-06 22:00:16] Complate to parse - kjia76_221133818297
[2017-11-06 22:00:16] Error - Already exists document
[2017-11-06 22:00:16] Complate to parse - sunmi0402_221133791584
[2017-11-06 22:00:16] Error - Already exists document
[2017-11-06 22:00:16] Complate to parse - sanijowa_221133691179
[2017-11-06 22:00:16] Error - Already exists document
[2017-11-06 22:00:16] Complate to parse - seoyh1047_221133690916
[2017-11-06 22:00:16] Error - Already exists document
[2017-11-06 22:00:16] Click the page - 4page
[2017-11-06 22:00:18] Complate to parse - violetravel_221133658802
[2017-11-06 22:00:18] Error - Already exists document
[2017-11-06 22:00:19] Complate to parse - sseotaiji_221133633911
[2017-11-06 22:00:19] Error - Already exists document
[2017-11-06 22:00:19] Complate to parse - shfrjf59_221133609029
[2017-11-06 22:00:19] Error - Already exists document
[2017-11-06 22:00:19] Complate to parse - kimsmell801_221133568535
[2017-11-06 22:00:19] Error - Already exists document
[2017-11-06 22:00:19] Complate to parse - sticket_221133557358
[2017-11-06 22:00:19] Error - Already exists document
[2017-11-06 22:00:19] Complate to parse - dailytalk_hy_221133492712
[2017-11-06 22:00:19] Error - Already exists document
[2017-11-06 22:00:20] Complate to parse - jejubnf_221133488111
[2017-11-06 22:00:20] Error - Already exists document
[2017-11-06 22:00:20] Complate to parse - nba123a_221133837737
[2017-11-06 22:00:20] Error - Already exists document
[2017-11-06 22:00:20] Complate to parse - kyr3690_221133790799
[2017-11-06 22:00:20] Error - Already exists document
[2017-11-06 22:00:20] Complate to parse - nopqda_221133564393
[2017-11-06 22:00:20] Error - Already exists document
[2017-11-06 22:00:20] Click the page - 5page
[2017-11-06 22:00:22] Complate to parse - dasan_books_221133970929
[2017-11-06 22:00:23] Complate to percolate - dasan_books_221133970929
[2017-11-06 22:00:23] Complate to parse - 333goo_221133921998
[2017-11-06 22:00:23] Error - Already exists document
[2017-11-06 22:00:23] Complate to parse - hanarin0730_221133898690
[2017-11-06 22:00:23] Error - Already exists document
[2017-11-06 22:00:23] Complate to parse - bobtini8_221133812387
[2017-11-06 22:00:23] Error - Already exists document
[2017-11-06 22:00:24] Complate to parse - kosh9767_221133532608
[2017-11-06 22:00:24] Error - Already exists document
[2017-11-06 22:00:24] Complate to parse - troy1219_221133607579
[2017-11-06 22:00:24] Error - Already exists document
[2017-11-06 22:00:24] Complate to parse - sksmstls1106_221132643259
[2017-11-06 22:00:24] Error - Already exists document
[2017-11-06 22:00:24] Complate to parse - skawjddl23_221133575431
[2017-11-06 22:00:24] Error - Already exists document
[2017-11-06 22:00:24] Complate to parse - ygene60_221133558825
[2017-11-06 22:00:24] Error - Already exists document
[2017-11-06 22:00:24] Complate to parse - bobtini8_221133512617
[2017-11-06 22:00:24] Error - Already exists document
[2017-11-06 22:00:24] Click the page - 6page
[2017-11-06 22:00:26] Complate to parse - jinju5471_221133668464
[2017-11-06 22:00:26] Error - Already exists document
[2017-11-06 22:00:27] Complate to parse - leejy2u_221133574586
[2017-11-06 22:00:27] Error - Already exists document
[2017-11-06 22:00:27] Complate to parse - kfcc_no1_221131909480
[2017-11-06 22:00:27] Error - Already exists document
[2017-11-06 22:00:27] Complate to parse - labbor_221133567784
[2017-11-06 22:00:27] Error - Already exists document
[2017-11-06 22:00:27] Complate to parse - accaee_221133989891
