[2017-11-04 09:00:01] Scraping start
[2017-11-04 09:00:01] Connected Elasticsearch server
[2017-11-04 09:00:02] Opened PhantomJS webdriver
[2017-11-04 09:00:03] Complete to bring blogs seed page
[2017-11-04 09:00:03] Complete to move to travel category
[2017-11-04 09:00:04] Complete to move to domestic travel page
[2017-11-04 09:00:04] Start to parse each posts
[2017-11-04 09:00:04] Click the page - 1page
[2017-11-04 09:00:06] Complate to parse - cookbad1_221132199435
[2017-11-04 09:00:06] Error - Already exists document
[2017-11-04 09:00:06] Complate to parse - shine092_221132109646
[2017-11-04 09:00:06] Error - Already exists document
[2017-11-04 09:00:06] Complate to parse - grant2_221132061719
[2017-11-04 09:00:06] Error - Already exists document
[2017-11-04 09:00:07] Complate to parse - juco9075_221132110968
[2017-11-04 09:00:07] Error - Already exists document
[2017-11-04 09:00:07] Complate to parse - alfyoun_221131768985
[2017-11-04 09:00:07] Error - Already exists document
[2017-11-04 09:00:07] Complate to parse - mjda20_221132246005
[2017-11-04 09:00:07] Error - Already exists document
[2017-11-04 09:00:07] Complate to parse - sandcastle44_221132203256
[2017-11-04 09:00:07] Error - Already exists document
[2017-11-04 09:00:07] Complate to parse - irisnu_221131936275
[2017-11-04 09:00:07] Error - Already exists document
[2017-11-04 09:00:08] Complate to parse - narulove09_221128200621
[2017-11-04 09:00:08] Error - Already exists document
[2017-11-04 09:00:08] Complate to parse - simple_choi_221132111965
[2017-11-04 09:00:08] Error - Already exists document
[2017-11-04 09:00:08] Click the page - 2page
[2017-11-04 09:00:10] Complate to parse - maycool0728_221132104764
[2017-11-04 09:00:10] Error - Already exists document
[2017-11-04 09:00:10] Complate to parse - mh84love_221132093034
[2017-11-04 09:00:10] Error - Already exists document
[2017-11-04 09:00:10] Complate to parse - hey_mystyle_221132203985
[2017-11-04 09:00:10] Error - Already exists document
[2017-11-04 09:00:10] Complate to parse - sun3034sksk_221132128036
[2017-11-04 09:00:10] Error - Already exists document
[2017-11-04 09:00:11] Complate to parse - todaylike_221132064534
[2017-11-04 09:00:11] Error - Already exists document
[2017-11-04 09:00:11] Complate to parse - sksmstls1106_221132048747
[2017-11-04 09:00:11] Error - Already exists document
[2017-11-04 09:00:11] Complate to parse - 93jeongdahye_221132170610
[2017-11-04 09:00:11] Error - Already exists document
[2017-11-04 09:00:11] Complate to parse - 1006hjy_221131407060
[2017-11-04 09:00:11] Error - Already exists document
[2017-11-04 09:00:12] Complate to parse - ichmount_221131593864
[2017-11-04 09:00:12] Error - Already exists document
[2017-11-04 09:00:12] Complate to parse - jang_rabbit_221132189790
[2017-11-04 09:00:12] Error - Already exists document
[2017-11-04 09:00:12] Click the page - 3page
[2017-11-04 09:00:14] Complate to parse - althxodid_221132151113
[2017-11-04 09:00:14] Error - Already exists document
[2017-11-04 09:00:14] Complate to parse - kokage1120_221132136171
[2017-11-04 09:00:14] Error - Already exists document
[2017-11-04 09:00:14] Complate to parse - ock811004_221132132339
[2017-11-04 09:00:14] Error - Already exists document
[2017-11-04 09:00:14] Complate to parse - hp0210_221132051892
[2017-11-04 09:00:14] Error - Already exists document
[2017-11-04 09:00:14] Complate to parse - b_sang_221132088921
[2017-11-04 09:00:14] Error - Already exists document
[2017-11-04 09:00:15] Complate to parse - kugsun12_221132083371
[2017-11-04 09:00:15] Error - Already exists document
[2017-11-04 09:00:15] Complate to parse - armeise5_221132049039
[2017-11-04 09:00:15] Error - Already exists document
[2017-11-04 09:00:15] Complate to parse - say7915_221132196126
[2017-11-04 09:00:15] Error - Already exists document
[2017-11-04 09:00:15] Complate to parse - 2remona2_221132165500
[2017-11-04 09:00:15] Error - Already exists document
[2017-11-04 09:00:15] Complate to parse - vm0812_221132146272
[2017-11-04 09:00:15] Error - Already exists document
[2017-11-04 09:00:15] Click the page - 4page
[2017-11-04 09:00:17] Complate to parse - joye009_221132117892
[2017-11-04 09:00:17] Error - Already exists document
[2017-11-04 09:00:17] Complate to parse - hanarin0730_221132218936
[2017-11-04 09:00:17] Error - Already exists document
[2017-11-04 09:00:18] Complate to parse - soonmin307_221132205391
[2017-11-04 09:00:18] Error - Already exists document
[2017-11-04 09:00:18] Complate to parse - fbdudqls4441_221132147014
[2017-11-04 09:00:18] Error - Already exists document
[2017-11-04 09:00:18] Complate to parse - artexhibit_221132114432
[2017-11-04 09:00:18] Error - Already exists document
[2017-11-04 09:00:18] Complate to parse - nicearra_221132059426
[2017-11-04 09:00:18] Error - Already exists document
[2017-11-04 09:00:18] Complate to parse - queen227_221132139600
[2017-11-04 09:00:18] Error - Already exists document
[2017-11-04 09:00:19] Complate to parse - happinesslek_221132199194
[2017-11-04 09:00:19] Error - Already exists document
[2017-11-04 09:00:19] Complate to parse - kyunmom0413_221132192321
[2017-11-04 09:00:19] Error - Already exists document
[2017-11-04 09:00:19] Complate to parse - rkdfurgkrp_221131980996
[2017-11-04 09:00:19] Error - Already exists document
[2017-11-04 09:00:19] Click the page - 5page
[2017-11-04 09:00:21] Complate to parse - yamyami01_221132092075
[2017-11-04 09:00:21] Error - Already exists document
[2017-11-04 09:00:21] Complate to parse - kby8478_221132042952
[2017-11-04 09:00:21] Error - Already exists document
[2017-11-04 09:00:21] Complate to parse - chfhrqoa53_221132153844
[2017-11-04 09:00:21] Error - Already exists document
[2017-11-04 09:00:22] Complate to parse - lechy_221132150828
[2017-11-04 09:00:22] Error - Already exists document
[2017-11-04 09:00:22] Complate to parse - cognos57_221128950245
[2017-11-04 09:00:22] Error - Already exists document
[2017-11-04 09:00:22] Complate to parse - rockyu205_221120442237
[2017-11-04 09:00:22] Error - Already exists document
[2017-11-04 09:00:22] Complate to parse - bbibbiana89_221132142662
[2017-11-04 09:00:22] Error - Already exists document
[2017-11-04 09:00:23] Complate to parse - mongniyang_221132116258
[2017-11-04 09:00:23] Error - Already exists document
[2017-11-04 09:00:23] Complate to parse - trekker8_221132099924
[2017-11-04 09:00:23] Error - Already exists document
[2017-11-04 09:00:23] Complate to parse - dct6851_221132098583
[2017-11-04 09:00:23] Error - Already exists document
[2017-11-04 09:00:23] Click the page - 6page
[2017-11-04 09:00:25] Complate to parse - cyber397_221128927224
[2017-11-04 09:00:25] Error - Already exists document
[2017-11-04 09:00:25] Complate to parse - sueevely_221132087475
[2017-11-04 09:00:25] Error - Already exists document
[2017-11-04 09:00:25] Complate to parse - soda305_221132074315
[2017-11-04 09:00:25] Error - Already exists document
[2017-11-04 09:00:25] Complate to parse - hyerinkang09_221132047289
[2017-11-04 09:00:25] Error - Already exists document
[2017-11-04 09:00:26] Complate to parse - sseotaiji_221132255438
[2017-11-04 09:00:26] Complate to percolate - sseotaiji_221132255438
[2017-11-04 09:00:26] Complate to parse - sky047000_221132254423
[2017-11-04 09:00:26] Complate to percolate - sky047000_221132254423
[2017-11-04 09:00:26] Complate to parse - wndp2023_221132154130
[2017-11-04 09:00:26] Error - Already exists document
[2017-11-04 09:00:27] Complate to parse - artraving_221132150054
[2017-11-04 09:00:27] Error - Already exists document
[2017-11-04 09:00:27] Complate to parse - bnosun_221132085162
[2017-11-04 09:00:27] Error - Already exists document
[2017-11-04 09:00:27] Complate to parse - jinmomo_221132147239
[2017-11-04 09:00:27] Error - Already exists document
[2017-11-04 09:00:27] Click the page - 7page
[2017-11-04 09:00:29] Complate to parse - lcu99_221132108472
[2017-11-04 09:00:29] Error - Already exists document
[2017-11-04 09:00:29] Complate to parse - dirch10_221132055529
[2017-11-04 09:00:29] Error - Already exists document
[2017-11-04 09:00:29] Complate to parse - bbo0305_221132044258
[2017-11-04 09:00:29] Error - Already exists document
[2017-11-04 09:00:30] Complate to parse - micky0928_221125715407
[2017-11-04 09:00:30] Error - Already exists document
[2017-11-04 09:00:30] Complate to parse - jvj24601_221132227928
[2017-11-04 09:00:30] Error - Already exists document
[2017-11-04 09:00:30] Complate to parse - nicearra_221132209365
[2017-11-04 09:00:30] Error - Already exists document
[2017-11-04 09:00:30] Complate to parse - estel0701_221132174036
[2017-11-04 09:00:30] Error - Already exists document
[2017-11-04 09:00:30] Complate to parse - ijun4u_221132170731
[2017-11-04 09:00:30] Error - Already exists document
[2017-11-04 09:00:31] Complate to parse - n9121_221132165118
[2017-11-04 09:00:31] Error - Already exists document
[2017-11-04 09:00:31] Complate to parse - joolp00_221132038354
[2017-11-04 09:00:31] Error - Already exists document
[2017-11-04 09:00:31] Click the page - 8page
[2017-11-04 09:00:33] Complate to parse - sonia03077_221132109428
[2017-11-04 09:00:33] Error - Already exists document
[2017-11-04 09:00:33] Complate to parse - namhaestorys_221132102145
[2017-11-04 09:00:33] Error - Already exists document
[2017-11-04 09:00:33] Complate to parse - kkhoon6543_221132093449
[2017-11-04 09:00:33] Error - Already exists document
[2017-11-04 09:00:33] Complate to parse - jbgjbg1013_221132074841
[2017-11-04 09:00:33] Error - Already exists document
[2017-11-04 09:00:33] Complate to parse - hyoung4647_221132070130
[2017-11-04 09:00:33] Error - Already exists document
[2017-11-04 09:00:34] Complate to parse - trekker8_221132062311
[2017-11-04 09:00:34] Error - Already exists document
[2017-11-04 09:00:34] Complate to parse - 19454861_221132059632
[2017-11-04 09:00:34] Error - Already exists document
[2017-11-04 09:00:34] Complate to parse - 8302yang_221132263298
[2017-11-04 09:00:35] Complate to percolate - 8302yang_221132263298
