[2017-11-05 02:00:01] Scraping start
[2017-11-05 02:00:01] Connected Elasticsearch server
[2017-11-05 02:00:02] Opened PhantomJS webdriver
[2017-11-05 02:00:03] Complete to bring blogs seed page
[2017-11-05 02:00:03] Complete to move to travel category
[2017-11-05 02:00:04] Complete to move to domestic travel page
[2017-11-05 02:00:04] Start to parse each posts
[2017-11-05 02:00:04] Click the page - 1page
[2017-11-05 02:00:06] Complate to parse - maum0577_221132671800
[2017-11-05 02:00:06] Error - Already exists document
[2017-11-05 02:00:06] Complate to parse - ey6202_221132715211
[2017-11-05 02:00:06] Error - Already exists document
[2017-11-05 02:00:06] Complate to parse - forceofwill_221132542846
[2017-11-05 02:00:06] Error - Already exists document
[2017-11-05 02:00:06] Complate to parse - goldsunriver_221132724341
[2017-11-05 02:00:07] Complate to percolate - goldsunriver_221132724341
[2017-11-05 02:00:07] Complate to parse - lifeofbliss_221132651127
[2017-11-05 02:00:07] Error - Already exists document
[2017-11-05 02:00:07] Complate to parse - green2house_221132613799
[2017-11-05 02:00:07] Error - Already exists document
[2017-11-05 02:00:08] Complate to parse - vitamintrees_221132567621
[2017-11-05 02:00:08] Error - Already exists document
[2017-11-05 02:00:08] Complate to parse - jandb86_221132516683
[2017-11-05 02:00:08] Error - Already exists document
[2017-11-05 02:00:08] Complate to parse - ksl1259_221132496864
[2017-11-05 02:00:08] Error - Already exists document
[2017-11-05 02:00:08] Complate to parse - shyran0104_221132659305
[2017-11-05 02:00:08] Error - Already exists document
[2017-11-05 02:00:08] Click the page - 2page
[2017-11-05 02:00:10] Complate to parse - titicoca_221132623899
[2017-11-05 02:00:10] Error - Already exists document
[2017-11-05 02:00:10] Complate to parse - hini0609_221132617190
[2017-11-05 02:00:10] Error - Already exists document
[2017-11-05 02:00:10] Complate to parse - tazan00009_221132578554
[2017-11-05 02:00:10] Error - Already exists document
[2017-11-05 02:00:11] Complate to parse - coooca_221132496622
[2017-11-05 02:00:11] Error - Already exists document
[2017-11-05 02:00:11] Complate to parse - ejejucom_221132423375
[2017-11-05 02:00:11] Error - Already exists document
[2017-11-05 02:00:11] Complate to parse - bbobbo790_221132627169
[2017-11-05 02:00:11] Error - Already exists document
[2017-11-05 02:00:11] Complate to parse - hankookceo_221132498161
[2017-11-05 02:00:11] Error - Already exists document
[2017-11-05 02:00:11] Complate to parse - cyberbinpol_221132424159
[2017-11-05 02:00:11] Error - Already exists document
[2017-11-05 02:00:12] Complate to parse - jandb86_221132413905
[2017-11-05 02:00:12] Error - Already exists document
[2017-11-05 02:00:12] Complate to parse - byun07_221132592458
[2017-11-05 02:00:12] Error - Already exists document
[2017-11-05 02:00:12] Click the page - 3page
[2017-11-05 02:00:14] Complate to parse - jm0238_221132483674
[2017-11-05 02:00:14] Error - Already exists document
[2017-11-05 02:00:14] Complate to parse - reeyoung82_221132738912
[2017-11-05 02:00:14] Complate to percolate - reeyoung82_221132738912
[2017-11-05 02:00:14] Complate to parse - z9205_221132670547
[2017-11-05 02:00:14] Error - Already exists document
[2017-11-05 02:00:14] Complate to parse - mt653_221132652562
[2017-11-05 02:00:14] Error - Already exists document
[2017-11-05 02:00:14] Complate to parse - namdokorea_221132647314
[2017-11-05 02:00:14] Error - Already exists document
[2017-11-05 02:00:15] Complate to parse - you1620_221132629164
[2017-11-05 02:00:15] Error - Already exists document
[2017-11-05 02:00:15] Complate to parse - z9205_221132549463
[2017-11-05 02:00:15] Error - Already exists document
[2017-11-05 02:00:15] Complate to parse - sake1503_221132061763
[2017-11-05 02:00:15] Error - Already exists document
[2017-11-05 02:00:15] Complate to parse - kokage1120_221132459481
[2017-11-05 02:00:15] Error - Already exists document
[2017-11-05 02:00:15] Complate to parse - tjsal2772_221132206990
[2017-11-05 02:00:15] Error - Already exists document
[2017-11-05 02:00:15] Click the page - 4page
[2017-11-05 02:00:17] Complate to parse - sysjej0327_221132416606
[2017-11-05 02:00:17] Error - Already exists document
[2017-11-05 02:00:18] Complate to parse - jsn920_221132413601
[2017-11-05 02:00:18] Error - Already exists document
[2017-11-05 02:00:18] Complate to parse - idioe48_221131713781
[2017-11-05 02:00:18] Error - Already exists document
[2017-11-05 02:00:18] Complate to parse - kjcim2_221132409210
[2017-11-05 02:00:18] Error - Already exists document
[2017-11-05 02:00:18] Complate to parse - bnbmoh_221132644818
[2017-11-05 02:00:18] Error - Already exists document
[2017-11-05 02:00:18] Complate to parse - jsj5564_221132558618
[2017-11-05 02:00:18] Error - Already exists document
[2017-11-05 02:00:18] Complate to parse - dct1028_221132047403
[2017-11-05 02:00:18] Error - Already exists document
[2017-11-05 02:00:19] Complate to parse - s2sue_221132642560
[2017-11-05 02:00:19] Error - Already exists document
[2017-11-05 02:00:19] Complate to parse - kwpjulie_221132603058
[2017-11-05 02:00:19] Error - Already exists document
[2017-11-05 02:00:19] Complate to parse - aroma1004kr_221132593869
[2017-11-05 02:00:19] Error - Already exists document
[2017-11-05 02:00:19] Click the page - 5page
[2017-11-05 02:00:21] Complate to parse - ehyeone_221132447102
[2017-11-05 02:00:21] Error - Already exists document
[2017-11-05 02:00:21] Complate to parse - namhaestorys_221132415685
[2017-11-05 02:00:21] Error - Already exists document
[2017-11-05 02:00:21] Complate to parse - erumyang_221132648170
[2017-11-05 02:00:21] Error - Already exists document
[2017-11-05 02:00:22] Complate to parse - kunby_221132585634
[2017-11-05 02:00:22] Error - Already exists document
[2017-11-05 02:00:22] Complate to parse - kingdomofgod0691_221132555045
[2017-11-05 02:00:22] Error - Already exists document
[2017-11-05 02:00:22] Complate to parse - miryangsi_221122786727
[2017-11-05 02:00:22] Error - Already exists document
[2017-11-05 02:00:22] Complate to parse - foxray03_221132584519
[2017-11-05 02:00:22] Error - Already exists document
[2017-11-05 02:00:22] Complate to parse - maisonsondemul_221132558194
[2017-11-05 02:00:22] Error - Already exists document
[2017-11-05 02:00:23] Complate to parse - healthgoodlu_221132024643
[2017-11-05 02:00:23] Error - Already exists document
[2017-11-05 02:00:23] Complate to parse - skykicha_221132497326
[2017-11-05 02:00:23] Error - Already exists document
[2017-11-05 02:00:23] Click the page - 6page
[2017-11-05 02:00:25] Complate to parse - apfhd5102_221132432088
[2017-11-05 02:00:25] Error - Already exists document
[2017-11-05 02:00:25] Complate to parse - suk4408_221132690436
[2017-11-05 02:00:25] Error - Already exists document
[2017-11-05 02:00:25] Complate to parse - kjia76_221132548551
[2017-11-05 02:00:25] Error - Already exists document
[2017-11-05 02:00:25] Complate to parse - meekblue_221132546346
[2017-11-05 02:00:25] Error - Already exists document
[2017-11-05 02:00:25] Complate to parse - wkd7425_221132543027
[2017-11-05 02:00:25] Error - Already exists document
[2017-11-05 02:00:26] Complate to parse - nastevia_221132525015
[2017-11-05 02:00:26] Error - Already exists document
[2017-11-05 02:00:26] Complate to parse - romantoia_221132524527
[2017-11-05 02:00:26] Error - Already exists document
[2017-11-05 02:00:26] Complate to parse - ka8564_221132515684
[2017-11-05 02:00:26] Error - Already exists document
[2017-11-05 02:00:26] Complate to parse - qortmd457_221132491632
[2017-11-05 02:00:26] Error - Already exists document
[2017-11-05 02:00:26] Complate to parse - dhksdl1208_221132457208
[2017-11-05 02:00:26] Error - Already exists document
[2017-11-05 02:00:26] Click the page - 7page
[2017-11-05 02:00:28] Complate to parse - llam24_221132438842
[2017-11-05 02:00:28] Error - Already exists document
[2017-11-05 02:00:28] Complate to parse - todaylike_221132728885
[2017-11-05 02:00:29] Complate to percolate - todaylike_221132728885
[2017-11-05 02:00:29] Complate to parse - mouche007_221132712293
[2017-11-05 02:00:29] Error - Already exists document
[2017-11-05 02:00:29] Complate to parse - mystyle0504_221132652413
[2017-11-05 02:00:29] Error - Already exists document
[2017-11-05 02:00:29] Complate to parse - hong0691_221132631846
[2017-11-05 02:00:29] Error - Already exists document
[2017-11-05 02:00:29] Complate to parse - dahalife_221132593134
[2017-11-05 02:00:29] Error - Already exists document
[2017-11-05 02:00:30] Complate to parse - hyerinkang09_221132592764
[2017-11-05 02:00:30] Error - Already exists document
[2017-11-05 02:00:30] Complate to parse - cybertoplee_221132540411
[2017-11-05 02:00:30] Error - Already exists document
[2017-11-05 02:00:30] Complate to parse - foryouwi_221132504854
[2017-11-05 02:00:30] Error - Already exists document
[2017-11-05 02:00:30] Complate to parse - eriogena_221132104002
[2017-11-05 02:00:30] Error - Already exists document
[2017-11-05 02:00:30] Click the page - 8page
[2017-11-05 02:00:32] Complate to parse - 2_eunjee_221132714107
[2017-11-05 02:00:32] Error - Already exists document
[2017-11-05 02:00:32] Complate to parse - lkd8659_221132659932
[2017-11-05 02:00:32] Error - Already exists document
[2017-11-05 02:00:33] Complate to parse - hyoung4647_221132161313
[2017-11-05 02:00:33] Error - Already exists document
[2017-11-05 02:00:33] Complate to parse - tnwlsdl702_221132646668
[2017-11-05 02:00:33] Error - Already exists document
